stratum,channel,wz_center,n,F,partial_R2_chi,slope_dF_dchi,chi_swing_abs,channel_rms,rel_swing
psi<0.5,Fpar,0.625,36648901,54.62574475494344,2.981022367873367e-06,-28.567261667983008,0.09105960051166986,22.376897645629512,0.004069357689959088
psi<0.5,Fpar,1.875,5780670,37.38002735875962,1.2932621512773163e-05,87.23657380106175,0.018099452999677634,24.5036366311885,0.0007386435438991309
psi<0.5,Fpar,3.125,4056546,136.43702895801283,6.726322742512567e-05,-67.06026010371735,0.44578508334750105,24.781058884521,0.017988944113520183
psi<0.5,Fpar,4.375,3318467,85.92349228840463,5.178252600707533e-05,-37.37239895505508,0.38429299179351145,25.296469146162824,0.015191566442457609
psi<0.5,Fpar,5.625,2549698,200.69212122759293,0.00015740006798797897,-176.78275898652845,0.6569411478540966,26.738576941634005,0.024569039305573106
psi<0.5,Fpar,6.875,2216596,94.73952094475257,8.547507119277577e-05,-110.14685726287847,0.47855911757314795,26.89517399717797,0.017793494015817177
psi<0.5,Fpar,8.125,1979012,121.33619728415682,0.000122608587989639,-136.1148764171653,0.5415162142498072,26.774399039880514,0.020225149159957535
psi<0.5,Fpar,9.375,1710524,264.4158737742336,0.0003090698477771901,-261.4423261445263,0.7714879338147864,26.924681437030475,0.028653558468986436
psi<0.5,Fpar,10.625,1373412,410.23929583296655,0.0005970493165755649,-314.6163976234233,1.0611963830963809,27.568845709238655,0.0384925939333311
psi<0.5,Fpar,11.875,898111,281.98222839248945,0.0006275580768032699,-318.49206600799545,1.0137007073463877,29.171384023071862,0.03474983245719999
psi<0.5,Fpar,13.125,572822,8.276056760720321,2.8895405894782273e-05,40.84732581115375,0.18441809727309794,30.716376680202146,0.0060039014104148
psi<0.5,Fpar,14.375,173481,322.163427800921,0.003700553918393852,193.14620245093076,2.424045261654834,32.168506903345694,0.07535460905718072
psi<0.5,Fpar,15.625,21589,56.853271271476835,0.005241452967936428,382.71984169627177,2.6991439429282504,33.46760474603343,0.08064945081700692
psi<0.5,Fperp,0.625,36648901,21.3639070498532,1.165867864452461e-06,-1.6937399751044901,0.01649007759124707,6.943232061807764,0.002374985805523207
psi<0.5,Fperp,1.875,5780670,229.6020861770082,7.943170796800024e-05,54.715743276609295,0.35873696043503944,16.93759007466385,0.021179929308341058
psi<0.5,Fperp,3.125,4056546,364.0861488567223,0.00017947372090909854,147.57807778375,0.6231261819761751,19.977835877670074,0.031190875017281777
psi<0.5,Fperp,4.375,3318467,515.7692195815351,0.00031075222198179473,201.43805936049284,0.9193391309580823,21.764898336357742,0.042239532514716516
psi<0.5,Fperp,5.625,2549698,249.05211235201497,0.00019532073517256548,81.06896522960342,0.8375150713126558,24.11069011899554,0.03473625463141853
psi<0.5,Fperp,6.875,2216596,212.41326123864383,0.00019162131163051428,107.74221502889853,0.9072195708141313,25.507930754073257,0.03556617663583947
psi<0.5,Fperp,8.125,1979012,111.22379831096157,0.00011239129391921262,152.19265574684678,0.7310130168335347,26.621997718364145,0.02745898427935308
psi<0.5,Fperp,9.375,1710524,17.766862857980193,2.0773280758824354e-05,152.6687621710225,0.11074264953388524,27.842132014378112,0.003977520452697229
psi<0.5,Fperp,10.625,1373412,38.32610698768037,5.580881352018205e-05,-78.50377131334729,0.5537989652210638,29.223751743992676,0.018950303509025133
psi<0.5,Fperp,11.875,898111,491.2348922691114,0.0010927459102030514,-475.74403017939574,2.550822815521344,31.257224955959703,0.08160746256634621
psi<0.5,Fperp,13.125,572822,667.0571434797973,0.002323649422615096,-698.152527821748,4.017229473678023,32.831233332028134,0.1223599927864745
psi<0.5,Fperp,14.375,173481,335.4978805717821,0.0038531309181329887,-1041.6008380195208,4.793869784529303,35.002903767438454,0.13695634557578656
psi<0.5,Fperp,15.625,21589,63.31833508646871,0.005834006995056434,-484.5659907787084,2.738623448876453,37.008808421156125,0.07399923330984404
psi<0.5,Mz,0.625,36648901,526.40806956936,2.8726268842876173e-05,0.002630685377404647,0.00014689614460402232,0.010998417914877656,0.013356115919664647
psi<0.5,Mz,1.875,5780670,9.226780374745326,3.192282860521974e-06,-0.04472439344299648,4.948616234599359e-05,0.026781850207959652,0.0018477499486307387
psi<0.5,Mz,3.125,4056546,90.7565975952666,4.474385869859794e-05,0.06314869958923666,0.0005439119295666254,0.030805584465373327,0.01765627690583191
psi<0.5,Mz,4.375,3318467,470.5341121507375,0.0002835056853560488,0.09904259537364715,0.0013857662401058643,0.03149019563001585,0.044006275997376734
psi<0.5,Mz,5.625,2549698,3.869181989053068,3.035014673190569e-06,-0.05142419150886677,4.2742259514314245e-05,0.029646953914070778,0.0014417082995507437
psi<0.5,Mz,6.875,2216596,130.3399226779678,0.00011759038084407362,-0.11521066008788852,0.0007776050062701237,0.027034029752778965,0.02876393247256043
psi<0.5,Mz,8.125,1979012,81.08610914577757,8.193975040978478e-05,-0.25777813650436043,0.00031074422941445093,0.023934798318829692,0.012982947475683805
psi<0.5,Mz,9.375,1710524,179.8015920962844,0.00021018687968725057,-0.2887751793806307,0.00022573038809074958,0.019837968693427722,0.01137870472421572
psi<0.5,Mz,10.625,1373412,400.56297892334317,0.0005829749203112064,0.014030573134521931,0.0009662983325826368,0.015815846578338122,0.061096845356739184
psi<0.5,Mz,11.875,898111,575.3461437612307,0.0012796109224941492,-0.14327322232181833,0.0014035250117942707,0.016341514896602773,0.085887080890282
psi<0.5,Mz,13.125,572822,1646.9706565012405,0.005717596498823223,0.07038925364348544,0.004273627402637446,0.0206882087147987,0.20657309975708207
psi<0.5,Mz,14.375,173481,8551.406323574867,0.08974330033222008,1.113024050573328,0.02168537320271062,0.02522517691438154,0.8596717983907266
psi<0.5,Mz,15.625,21589,2561.6365693555,0.19185936915291224,-0.5507231782031439,0.0337570999228509,0.017512667713560574,1.9275818210558395
0.5<=psi<2,Fpar,0.625,2294108,9.698450356193947,8.455060206854521e-06,-57.401004476418315,0.16131210518648564,25.178357026390238,0.006406776463508294
0.5<=psi<2,Fpar,1.875,2022042,28.13790428938125,2.783053996802356e-05,-58.92105127224432,0.3111665675628213,24.517844313576138,0.012691432557572798
0.5<=psi<2,Fpar,3.125,1526357,55.00184959249593,7.206472171729116e-05,-138.64432746745555,0.45903002962718253,24.734318835025185,0.01855842615633992
0.5<=psi<2,Fpar,4.375,996206,13.464279198685215,2.7030655112844964e-05,-60.822450668581375,0.2840217435700626,25.453783743918546,0.01115833097458139
0.5<=psi<2,Fpar,5.625,641216,4.230303063473135,1.3194658958484236e-05,-19.472818062913195,0.18736422856314133,26.299301714664107,0.007124304310280214
0.5<=psi<2,Fpar,6.875,494623,10.174928062879397,4.114129411548568e-05,-3.066975332530225,0.28706189782970537,25.901420436595547,0.011082863139973665
0.5<=psi<2,Fpar,8.125,390523,19.045681290217356,9.753234192110192e-05,65.27835564608235,0.3184590588244546,25.354938032118707,0.012560040904893646
0.5<=psi<2,Fpar,9.375,306899,31.092500598333093,0.00020258922016027974,6.9596451267480495,0.4641963392976733,25.239923666211002,0.018391352740860255
0.5<=psi<2,Fpar,10.625,227528,19.765868643381037,0.00017372194620392142,89.96822858630597,0.25953202416523335,25.8720798295702,0.010031355263081871
0.5<=psi<2,Fpar,11.875,144511,29.913655653632727,0.0004138556234077797,202.85452995996525,0.3393121741569818,26.364960509672706,0.012869815376074463
0.5<=psi<2,Fpar,13.125,71715,338.75713845980846,0.009360192633369933,-227.4744185271233,1.63646465387982,26.942559071645594,0.060739020726581196
0.5<=psi<2,Fpar,14.375,33363,1011.1099750880967,0.05716325692864541,-781.5689298146507,4.155388011762641,24.343387223413803,0.17069884209728758
0.5<=psi<2,Fpar,15.625,13549,145.7200547929812,0.02107084347521977,-835.6683774842566,2.3489648321481313,20.701982503689344,0.11346569497532506
0.5<=psi<2,Fpar,16.875,3469,321.3299659600701,0.15660652748568124,-3584.9128565620176,10.772122702566541,14.051323289449035,0.766626920516105
0.5<=psi<2,Fpar,18.125,975,216.51231590486375,0.30907710112875186,-4393.442438327718,7.4377112967701215,11.36305070208578,0.6545523285753596
0.5<=psi<2,Fperp,0.625,2294108,32.53587681683784,2.8364048935691194e-05,22.09700447202769,0.14517458058659966,12.792114551614924,0.011348755516598487
0.5<=psi<2,Fperp,1.875,2022042,59.70897298794683,5.905489812290805e-05,21.010005386784112,0.21880375457092713,13.574328662421086,0.016118937445257185
0.5<=psi<2,Fperp,3.125,1526357,122.15144485535565,0.00016003162683310602,53.03113274043534,0.3907977568201592,15.265199654059574,0.02560056636509381
0.5<=psi<2,Fperp,4.375,996206,218.0560785495594,0.00043758589732293757,75.55308125543351,0.698882686012324,17.977230372539594,0.03887599321638969
0.5<=psi<2,Fperp,5.625,641216,181.9086397289229,0.0005670735587291082,99.37976391304025,0.8246267557701973,21.282458669677194,0.03874678055619149
0.5<=psi<2,Fperp,6.875,494623,214.72715930903632,0.0008675100789268231,93.54798661653274,0.9786834690325278,23.312096569963753,0.04198178684166499
0.5<=psi<2,Fperp,8.125,390523,322.73081450842267,0.0016501282532116488,160.59399915531597,1.220992807236168,25.028298564043407,0.04878449104767721
0.5<=psi<2,Fperp,9.375,306899,451.20554151760587,0.002931891698536583,182.52798805570978,1.4287202268753194,26.88588088230656,0.05314016799857028
0.5<=psi<2,Fperp,10.625,227528,545.8768952804579,0.004775622091615206,176.01445619927,1.392918660197506,28.66772482317052,0.048588392304913144
0.5<=psi<2,Fperp,11.875,144511,996.345398462271,0.01360257077341911,156.7954061329325,1.2507117965460226,30.377638389398307,0.0411721207723151
0.5<=psi<2,Fperp,13.125,71715,1595.2927276716723,0.04260044748893429,155.74266315002652,1.2121469059107324,32.897610742026686,0.03684604682741337
0.5<=psi<2,Fperp,14.375,33363,3217.8949025627653,0.16174475504006064,293.07864562377694,2.2692745802698586,35.06133049591968,0.06472300246945704
0.5<=psi<2,Fperp,15.625,13549,2691.0635736431927,0.28443562953535245,547.8020703400202,4.340905762398156,37.198481132770056,0.11669577977940689
0.5<=psi<2,Fperp,16.875,3469,854.0030683440544,0.3304322129867821,1634.1233636445206,11.12487792323041,40.33015976193857,0.2758451240684018
0.5<=psi<2,Fperp,18.125,975,572.2368232074734,0.5417694314706454,2526.6799234453338,11.75847161758589,42.44109361523728,0.27705392618262653
