dataset,scheme,channel,stratum,vcod_center,wz_center,n,channel_rms,N_bar,mu_bar,wz_bar,A_dF_dmu,abs_A,B_intercept,C_a,C_b,R2_form,R2_form_a,R2_form_b,partial_R2_chi_a,partial_R2_chi_b,chi_swing_a,chi_swing_b
full,unbinned,Fpar,trans,-0.01874999999999999,,154598109,22.612348049640147,87.81110659966814,0.5040168337376151,1.8146992961726585,5.821149318843628,5.821149318843628,-3.0242477006159842,-0.04095043087114163,,0.017335358149512703,0.018526038694049785,,0.0012116855474669425,,2.8998327493566407,
full,unbinned,Fpar,trans,0.01874999999999999,,154439757,22.590832743302116,87.74970619214497,0.5050875015298214,1.8131055183730265,-6.725232785843772,6.725232785843772,3.5603038251904344,0.03694541227303291,,0.01842077400323161,0.019382515511458753,,0.000979789998357524,,2.6199487310673546,
full,unbinned,Fpar,gross,-0.28125,,19265983,32.50752572625603,80.39822305385998,0.5336765842677171,6.38590579860694,54.66102017193622,54.66102017193622,-0.058292304682729085,-0.020136329837012752,-0.0032883715357031377,0.9822510136677735,0.9842720407530916,0.9901083851712658,0.11386718359507715,0.44269409849202324,1.382371900295604,1.441610606333716
full,unbinned,Fpar,gross,-0.24375,,1661218,37.37199467771687,84.86363859729386,0.5668319269355363,6.6698558894890265,56.120584878795185,56.120584878795185,-11.75323423877833,-0.043033071211426514,-0.0058281908003293675,0.9725412557220958,0.9792192803679844,0.9909267423727472,0.24320211362551042,0.6695676417164509,3.312060623135207,2.991893614085542
full,unbinned,Fpar,gross,-0.20625,,1934490,36.19471667689322,84.50453468520982,0.5467311281009464,6.329033286293637,55.00321212702258,55.00321212702258,-5.038719118068573,-0.049707950825397376,-0.006610221491938835,0.9663592908804595,0.9754084722590286,0.9887791804990135,0.2689949651897459,0.6664511600776923,3.674511902686613,3.0926244858815126
full,unbinned,Fpar,gross,-0.16875,,2837517,34.89699334317034,83.40350834779511,0.5508983734722984,6.2324318579242135,51.78777568996552,51.78777568996552,11.683950056497444,-0.05555732026260328,-0.007312165988925044,0.953500008740067,0.9648786838064553,0.9843661183627906,0.24470273559368866,0.6637874284789297,4.0842948071154765,3.350266637861764
full,unbinned,Fpar,gross,-0.13124999999999998,,6247188,36.446420074933066,86.00338268286916,0.5856711851796351,5.2923405034756525,43.864443271937034,43.864443271937034,-122.41012245780787,-0.027150480112914432,-0.005634187063044734,0.8387815199467096,0.8412484919307807,0.8555290519798645,0.015302042193026933,0.10388096964826297,2.188098594189996,2.4030810229664765
full,unbinned,Fpar,gross,-0.09375,,58606248,30.15457227318692,88.04347272544251,0.5891456487710821,2.2459785843148534,11.940270774080785,11.940270774080785,18.807642760637968,-0.007584868857106368,0.003962677639620615,0.16353907225299424,0.16364484351773068,0.16701483843565024,0.00012645093300572076,0.004155324017366828,0.6294886407304727,0.7386423028547121
full,unbinned,Fpar,gross,-0.056249999999999994,,146073851,25.457930518087572,87.17139524741948,0.5088333455383184,2.06922992839163,7.16148016928682,7.16148016928682,3.215486983270665,-0.033087432481159015,0.0055546842495438255,0.028138158321858175,0.028728089387584088,0.03056194948890878,0.0006070112442188112,0.0024939667997102427,2.3481866374715015,0.8157135422810639
full,unbinned,Fpar,gross,-0.01874999999999999,,64015484,22.686832079947376,86.74781581411673,0.4911057768461136,3.652592680915046,12.2991456276388,12.2991456276388,-6.255694510052968,-0.09488438153026527,0.001648841967446671,0.04186696920424915,0.04900430755955398,0.042199242835040174,0.007449214384538048,0.0003467927940183522,6.467676737949076,0.41051955691864284
