controller,finalized,trajectory,mode,seed,sensor_noise,ok,tracking,ce,chatter,est_rmse_vx,est_rmse_vy,est_rmse_psidot,est_rmse_psi,est_rmse_X,est_rmse_Y,est_rmse_pos,est_rmse_heading,ctrl_rmse_vx,ctrl_rmse_vy,ctrl_rmse_psidot,ctrl_rmse_psi,ctrl_rmse_pos,ctrl_rmse_heading,ctrl_pos_final,ctrl_head_final
asmc,true,octagon,pose,42,realistic,true,1.0341728402328145,48.814027957873584,0.5907848912416244,0.019802723911039783,0.03335847402237775,0.02497205423962618,0.013030553770090535,0.025867980867634144,0.023365301333443344,0.034858137365196315,0.013030553770090535,0.022478234742393004,0.02501220615323702,0.02626051871967565,0.005829852463806728,0.02697251680782502,0.005829852463806728,0.01346268520266389,0.018912051546157868
asmc,true,octagon,pose,43,realistic,true,0.845739760866211,48.83477720232661,0.5910046528401045,0.01991295980386916,0.03283007445880341,0.056647962837760656,0.013106126433282338,0.023396214530302755,0.021622455304863116,0.0318577059399881,0.013106126433282338,0.021770342272695482,0.023554440194013104,0.023869861511606246,0.00891262830578585,0.025251069075305693,0.00891262830578585,0.01234788173015646,0.013226616067846942
asmc,true,octagon,pose,44,realistic,true,1.3887318641182118,48.73380784174331,0.5881202368324,0.020007098466889365,0.03245917821768543,0.04478666221277009,0.01125470067690434,0.03151439503256474,0.024404440133620108,0.03985892362450333,0.01125470067690434,0.02337965990171767,0.02393860530727206,0.024244041195360198,0.010202246213023538,0.03441117509491073,0.010202246213023538,0.02822401971783509,0.018334374995260166
asmc,true,octagon,pose,45,realistic,true,0.3722926860598713,48.83830187165024,0.5886572453313645,0.020294248216061447,0.03236447361517593,0.06170301587890054,0.012462599473822639,0.022974147809019407,0.02249674982496427,0.0321545520920087,0.012462599473822639,0.02287801561577263,0.024067393644704824,0.025247634816941915,0.013104396342615825,0.025621502037654842,0.013104396342615825,0.001965388381002175,0.0037493620773925147
asmc,true,octagon,pose,46,realistic,true,0.9038482449717113,48.87537553446924,0.592712220349418,0.019546307363594695,0.03235039576902796,0.0293579146705822,0.013288310704627453,0.022581910124797627,0.026760975586576124,0.03501560336806665,0.013288310704627453,0.022329081035715383,0.024791178472724988,0.02497965735356406,0.006906807878112695,0.030446739276799268,0.006906807878112695,0.017515138972309628,0.00969687858875461
asmc,true,spin_creep,pose,42,realistic,true,0.42892357379796003,45.62349521783515,0.6593941562328993,0.005597187624226185,0.01578701558331848,0.017005431508298047,0.013517931745714555,0.024907479871222524,0.024599010721926582,0.03500705474661949,0.013517931745714555,0.01372292999125713,0.015762116094737648,0.02713823316101203,0.0043997272805050116,0.01221869410615249,0.0043997272805050116,0.012584135920362014,0.0010429133030574005
asmc,true,spin_creep,pose,43,realistic,true,0.5863285014400021,45.526195007736675,0.6646796363284618,0.005644150169516066,0.013974453594466134,0.04358149068440598,0.013219308450153011,0.02403926602239074,0.02132451287370993,0.03213442329023956,0.013219308450153011,0.012715312627143534,0.01438940623607327,0.0273341397194255,0.005372702787645606,0.008374027127463452,0.005372702787645606,0.00999028680356025,0.010468352037042442
asmc,true,spin_creep,pose,44,realistic,true,1.1666022760425634,45.642225640663206,0.6599970958857819,0.005739388190603562,0.014092873891747437,0.019373064522147432,0.010664168733575534,0.030470507579203374,0.02387979145413991,0.03871299874754607,0.010664168733575534,0.013922873895410599,0.015106926643405788,0.026259527354833355,0.0058175345912380265,0.025253416004023935,0.0058175345912380265,0.029180916376720357,0.012761959216062923
asmc,true,spin_creep,pose,45,realistic,true,0.9994825970476267,45.56143384695529,0.6657590888292493,0.005505890386526986,0.014868027740178362,0.06033031272421673,0.011530662822105589,0.02320673155016999,0.022796860006557576,0.0325307426198702,0.011530662822105589,0.013254798892434718,0.01473142253822754,0.026089898142329888,0.013335755894435022,0.006187082611621266,0.013335755894435022,0.008712569299180063,0.02711090084881909
asmc,true,spin_creep,pose,46,realistic,true,0.8683981938234431,45.56352848480503,0.6643085422045467,0.005800063631321453,0.014148099007354463,0.021925482642329346,0.012809342385820894,0.022567816712495962,0.026532567267755335,0.034832218950086626,0.012809342385820894,0.01350250019228077,0.014256955327511894,0.027172643601628636,0.0071414609611205465,0.01676549647633813,0.0071414609611205465,0.016838716842191313,0.01388327791268105
