iter,tier,score,best_so_far
1,full,4.090556894366372,4.090556894366372
1,full,4.090556894366372,4.090556894366372
2,full,4.096682622542377,4.090556894366372
3,full,4.127235513449658,4.090556894366372
4,full,4.111253450280412,4.090556894366372
5,full,4.0898158179615685,4.0898158179615685
6,full,4.136036967807593,4.0898158179615685
7,full,4.13535083475141,4.0898158179615685
8,full,4.094247581071809,4.0898158179615685
9,full,4.099723827324213,4.0898158179615685
10,full,4.082419493907423,4.082419493907423
11,full,4.0757614232905395,4.0757614232905395
12,full,4.082113940965534,4.0757614232905395
13,full,4.0842381433171075,4.0757614232905395
14,full,4.077462291492036,4.0757614232905395
15,full,4.080203829218512,4.0757614232905395
16,full,4.081336197397365,4.0757614232905395
17,full,4.081083153302728,4.0757614232905395
18,full,4.076929379944781,4.0757614232905395
19,full,4.0764656745003,4.0757614232905395
20,full,4.073266780803062,4.073266780803062
21,full,4.0737129078631575,4.073266780803062
22,full,4.073538090355434,4.073266780803062
23,full,4.074331034373637,4.073266780803062
24,full,4.074557409406937,4.073266780803062
25,full,4.0735468578923335,4.073266780803062
26,full,4.072670245165,4.072670245165
27,full,4.073404291074125,4.072670245165
28,full,4.072616718125854,4.072616718125854
29,full,4.074038404271667,4.072616718125854
30,full,4.0728471631472685,4.072616718125854
31,full,4.072688148861758,4.072616718125854
