iter,tier,score,best_so_far
1,screen,44.57311105498296,44.57311105498296
2,screen,43.86057706281338,43.86057706281338
3,screen,42.68328728113454,42.68328728113454
4,screen,40.76642076146127,40.76642076146127
5,screen,38.820380828705446,38.820380828705446
6,screen,37.60978043844024,37.60978043844024
7,screen,38.516566295890975,37.60978043844024
8,screen,38.719543491494214,37.60978043844024
9,screen,44.35572585346112,37.60978043844024
10,screen,40.37067471262582,37.60978043844024
11,screen,42.40439147992051,37.60978043844024
12,screen,40.051150619274985,37.60978043844024
13,screen,39.75381971285411,37.60978043844024
14,screen,39.17317327326029,37.60978043844024
15,screen,36.48772686553589,36.48772686553589
16,screen,38.9445496681735,36.48772686553589
17,screen,38.41602825255454,36.48772686553589
18,screen,37.244059410430104,36.48772686553589
19,screen,37.556008247183534,36.48772686553589
20,screen,36.97655770165809,36.48772686553589
21,screen,36.63462172662107,36.48772686553589
22,screen,38.31862144293038,36.48772686553589
23,screen,39.54755617430786,36.48772686553589
24,screen,39.267614072433744,36.48772686553589
25,screen,37.94026309549628,36.48772686553589
26,screen,36.225761072007664,36.225761072007664
27,screen,36.21902165822155,36.21902165822155
28,screen,36.93047898281826,36.21902165822155
29,screen,40.229035426321275,36.21902165822155
30,screen,39.86207863626094,36.21902165822155
31,screen,39.66770917932114,36.21902165822155
32,screen,40.375498736625424,36.21902165822155
33,screen,36.11983715425988,36.11983715425988
34,screen,36.80741924155817,36.11983715425988
35,screen,38.23830144775525,36.11983715425988
36,screen,40.46168432346381,36.11983715425988
