iter,tier,score,best_so_far
1,full,1.9121691211829048,1.9121691211829048
1,full,1.9121691211829048,1.9121691211829048
2,full,1.9361142623005185,1.9121691211829048
3,full,1.910553456874092,1.910553456874092
4,full,1.91217404480054,1.910553456874092
5,full,1.9656674904046105,1.910553456874092
6,full,1.9301735763490564,1.910553456874092
7,full,1.9121725314164666,1.910553456874092
8,full,1.906538058424649,1.906538058424649
9,full,1.906955724989478,1.906538058424649
10,full,1.9061188343969149,1.9061188343969149
11,full,1.9055888388779392,1.9055888388779392
12,full,1.906491606591909,1.9055888388779392
13,full,1.9069776671982963,1.9055888388779392
14,full,1.9064591823920296,1.9055888388779392
15,full,1.9059688141658588,1.9055888388779392
16,full,1.9056761766003283,1.9055888388779392
17,full,1.9057194179134886,1.9055888388779392
18,full,1.9055352602180626,1.9055352602180626
19,full,1.9055974689859223,1.9055352602180626
20,full,1.9056764530307708,1.9055352602180626
21,full,1.9054421545724483,1.9054421545724483
22,full,1.9056240864922707,1.9054421545724483
23,full,1.9055523936778815,1.9054421545724483
24,full,1.9054686311679696,1.9054421545724483
25,full,1.9054746633464434,1.9054421545724483
26,full,1.9054477960911727,1.9054421545724483
27,full,1.9054852215249174,1.9054421545724483
28,full,1.9054323907590793,1.9054323907590793
