iter,tier,score,best_so_far
1,full,1.04925864521329,1.04925864521329
1,full,1.04925864521329,1.04925864521329
2,full,1.069145443198448,1.04925864521329
3,full,1.066802444825647,1.04925864521329
4,full,1.0351205058831519,1.0351205058831519
5,full,1.0623887750275622,1.0351205058831519
6,full,1.0558951150406244,1.0351205058831519
7,full,1.0390875461483036,1.0351205058831519
8,full,1.0434848132497443,1.0351205058831519
9,full,1.0373815071066508,1.0351205058831519
10,full,1.0338898331977662,1.0338898331977662
11,full,1.0356969868639387,1.0338898331977662
12,full,1.0298944119627162,1.0298944119627162
13,full,1.035245491544049,1.0298944119627162
14,full,1.0300131203388956,1.0298944119627162
15,full,1.0353846763266081,1.0298944119627162
16,full,1.036817230576735,1.0298944119627162
17,full,1.0286013451968297,1.0286013451968297
18,full,1.0384144497802474,1.0286013451968297
19,full,1.0307260718260023,1.0286013451968297
20,full,1.0236908752569005,1.0236908752569005
21,full,1.0409640399268352,1.0236908752569005
22,full,1.0363251692731668,1.0236908752569005
23,full,1.0447791023166464,1.0236908752569005
24,full,1.0370339084419722,1.0236908752569005
25,full,1.029412563806051,1.0236908752569005
26,full,1.036265808777852,1.0236908752569005
27,full,1.0338067502205823,1.0236908752569005
28,full,1.0337957866315617,1.0236908752569005
29,full,1.032542094303335,1.0236908752569005
30,full,1.0322898056193115,1.0236908752569005
31,full,1.0259985615650524,1.0236908752569005
32,full,1.0231655813710026,1.0231655813710026
33,full,1.0388180451863844,1.0231655813710026
34,full,1.0337109336510162,1.0231655813710026
35,full,1.0325774073218401,1.0231655813710026
36,full,1.0319833043142657,1.0231655813710026
37,full,1.0335936981909541,1.0231655813710026
38,full,1.0358089569082596,1.0231655813710026
39,full,1.0356873718250967,1.0231655813710026
40,full,1.039334265365083,1.0231655813710026
