iter,tier,score,best_so_far
1,full,2.006567486620994,2.006567486620994
1,full,2.006567486620994,2.006567486620994
2,full,2.024691307680566,2.006567486620994
3,full,2.0047249684389077,2.0047249684389077
4,full,2.1161433396815594,2.0047249684389077
5,full,2.0739314019386184,2.0047249684389077
6,full,2.0248866568193815,2.0047249684389077
7,full,2.238037554001072,2.0047249684389077
8,full,2.0000967258930693,2.0000967258930693
9,full,2.0099673006180026,2.0000967258930693
10,full,2.00036425647343,2.0000967258930693
11,full,1.999573688755531,1.999573688755531
12,full,1.9995472721950105,1.9995472721950105
13,full,1.9994911646062428,1.9994911646062428
14,full,2.0005731093127648,1.9994911646062428
15,full,2.0094559713761777,1.9994911646062428
16,full,2.000485406711928,1.9994911646062428
17,full,1.9996358468587014,1.9994911646062428
18,full,1.9997131583445558,1.9994911646062428
19,full,2.000463414882995,1.9994911646062428
20,full,1.999598230783617,1.9994911646062428
21,full,1.9996076748554557,1.9994911646062428
22,full,1.999678601740346,1.9994911646062428
23,full,1.9996519268372095,1.9994911646062428
24,full,1.9997138982131517,1.9994911646062428
25,full,1.999491044029275,1.999491044029275
26,full,1.9993100708960305,1.9993100708960305
27,full,1.99948242354596,1.9993100708960305
28,full,1.9994800528207108,1.9993100708960305
