iter,tier,score,best_so_far
1,screen,4.520047302080784,4.520047302080784
2,screen,2.471851136530285,2.471851136530285
3,screen,2.5854509208434298,2.471851136530285
4,screen,4.388045692405471,2.471851136530285
5,screen,4.569163564808925,2.471851136530285
6,screen,4.172151342557913,2.471851136530285
7,screen,6.434953308789088,2.471851136530285
8,screen,4.673104923119076,2.471851136530285
9,screen,3.4440907449046603,2.471851136530285
10,screen,3.1625360749946476,2.471851136530285
11,screen,6.0197400206184275,2.471851136530285
12,screen,4.8869310976372216,2.471851136530285
13,screen,1.997535156622317,1.997535156622317
14,screen,6.392671709636425,1.997535156622317
15,screen,3.316421734186574,1.997535156622317
16,screen,4.111293156864536,1.997535156622317
17,screen,7.808435075902267,1.997535156622317
18,screen,1.8086751018825349,1.8086751018825349
19,screen,3.182446852698479,1.8086751018825349
20,screen,3.8726256234002046,1.8086751018825349
21,screen,1.8623968392753962,1.8086751018825349
22,screen,3.105694800609309,1.8086751018825349
23,screen,2.43045832703562,1.8086751018825349
24,screen,1.833907128963807,1.8086751018825349
25,screen,3.9099986097371415,1.8086751018825349
26,screen,2.0275070047526356,1.8086751018825349
27,screen,1.9883697960533695,1.8086751018825349
28,screen,2.198941614583471,1.8086751018825349
29,screen,2.4578671552270084,1.8086751018825349
30,screen,4.226791702735438,1.8086751018825349
31,screen,1.9618040722320012,1.8086751018825349
32,screen,6.597418784706031,1.8086751018825349
33,screen,2.015735501537537,1.8086751018825349
34,screen,1.7329320324620672,1.7329320324620672
35,screen,4.332813457314306,1.7329320324620672
36,screen,2.4047602048211147,1.7329320324620672
37,screen,1.816567997813356,1.7329320324620672
38,screen,3.319889586428158,1.7329320324620672
39,screen,2.4803319107181525,1.7329320324620672
40,screen,2.298221028434282,1.7329320324620672
41,screen,2.4939805961141777,1.7329320324620672
42,screen,3.083760387488661,1.7329320324620672
43,screen,1.866477225285282,1.7329320324620672
44,screen,1.9005005451632526,1.7329320324620672
45,screen,2.879677206702642,1.7329320324620672
46,screen,2.298276621218096,1.7329320324620672
47,screen,1.8396172916455151,1.7329320324620672
48,screen,3.8346707437773704,1.7329320324620672
49,screen,1.8998936663659953,1.7329320324620672
50,screen,3.735028827792706,1.7329320324620672
51,screen,1.944596929345229,1.7329320324620672
52,screen,3.527206452526344,1.7329320324620672
53,screen,1.8891483090101922,1.7329320324620672
54,screen,1.9674730984381237,1.7329320324620672
55,screen,3.326727322549024,1.7329320324620672
56,screen,1.8812671176849711,1.7329320324620672
57,screen,1.7617250043980448,1.7329320324620672
58,screen,2.175232287935539,1.7329320324620672
59,screen,2.0573255959278467,1.7329320324620672
60,screen,2.0873188617183005,1.7329320324620672
61,screen,2.2399253712515454,1.7329320324620672
62,screen,1.8415837599265041,1.7329320324620672
63,screen,1.8643823054971058,1.7329320324620672
64,screen,1.8640916994954664,1.7329320324620672
65,screen,1.7920131656179294,1.7329320324620672
1,full,1.7329320324620672,1.7329320324620672
1,full,1.7329320324620672,1.7329320324620672
2,full,1.7539318707835865,1.7329320324620672
3,full,1.766154751871111,1.7329320324620672
4,full,1.8009276522808901,1.7329320324620672
5,full,1.8138543888846759,1.7329320324620672
6,full,1.74130695883792,1.7329320324620672
7,full,1.8723888708486771,1.7329320324620672
8,full,1.7354827138562448,1.7329320324620672
9,full,1.7356734362873993,1.7329320324620672
10,full,1.7399254509800013,1.7329320324620672
11,full,1.775291202411816,1.7329320324620672
12,full,1.7698332505493684,1.7329320324620672
13,full,1.7403703572737927,1.7329320324620672
14,full,1.7321550720841097,1.7321550720841097
15,full,1.7529293500531407,1.7321550720841097
16,full,1.7357456765933383,1.7321550720841097
17,full,1.7317415914815566,1.7317415914815566
18,full,1.7544462845325168,1.7317415914815566
19,full,1.7451826347205464,1.7317415914815566
20,full,1.7300592804996628,1.7300592804996628
21,full,1.7498707254714694,1.7300592804996628
22,full,1.7283814876719803,1.7283814876719803
23,full,1.730601986874947,1.7283814876719803
24,full,1.7339030767756696,1.7283814876719803
25,full,1.7305267247347151,1.7283814876719803
26,full,1.7303890869040812,1.7283814876719803
27,full,1.738343436256034,1.7283814876719803
28,full,1.7304296925565597,1.7283814876719803
29,full,1.7322107618223626,1.7283814876719803
30,full,1.7397354976207768,1.7283814876719803
31,full,1.734964238298679,1.7283814876719803
32,full,1.7619009720292829,1.7283814876719803
33,full,1.7303689945966279,1.7283814876719803
34,full,1.7386128817295032,1.7283814876719803
35,full,1.7532539273093648,1.7283814876719803
36,full,1.7423952118287898,1.7283814876719803
37,full,1.732100438495016,1.7283814876719803
38,full,1.734967323386528,1.7283814876719803
39,full,1.73445038544954,1.7283814876719803
40,full,1.7344467928564593,1.7283814876719803
