iter,tier,score,best_so_far
1,screen,402.9962380928923,402.9962380928923
2,screen,450.9879211817718,402.9962380928923
3,screen,534.5881227000322,402.9962380928923
4,screen,872.1353679977151,402.9962380928923
5,screen,717.5052559378511,402.9962380928923
6,screen,596.2601278143591,402.9962380928923
7,screen,687.550970422745,402.9962380928923
8,screen,297.5254751878385,297.5254751878385
9,screen,384.45712718448857,297.5254751878385
10,screen,450.7435305698305,297.5254751878385
11,screen,1036.2228552205115,297.5254751878385
12,screen,206.1839831231895,206.1839831231895
13,screen,662.893916465537,206.1839831231895
14,screen,463.2163919836823,206.1839831231895
15,screen,510.5390335837876,206.1839831231895
16,screen,274.03584476703776,206.1839831231895
17,screen,870.271879037038,206.1839831231895
18,screen,297.64192632553306,206.1839831231895
19,screen,318.9517340179045,206.1839831231895
20,screen,358.9658020692733,206.1839831231895
21,screen,1090.5025536002422,206.1839831231895
22,screen,495.4601741240769,206.1839831231895
23,screen,416.38603430127733,206.1839831231895
24,screen,191.8333060292353,191.8333060292353
25,screen,222.39888067504373,191.8333060292353
26,screen,212.3718327596768,191.8333060292353
27,screen,195.62049700536033,191.8333060292353
28,screen,168.77352649012101,168.77352649012101
29,screen,355.18302822216197,168.77352649012101
30,screen,218.09463560918167,168.77352649012101
31,screen,348.5520115515132,168.77352649012101
32,screen,255.9374038564331,168.77352649012101
33,screen,360.7225514481078,168.77352649012101
34,screen,182.88379306375668,168.77352649012101
35,screen,215.7713906626373,168.77352649012101
36,screen,162.8357553819311,162.8357553819311
37,screen,189.96431310526066,162.8357553819311
38,screen,243.92808109030844,162.8357553819311
39,screen,181.1538348138197,162.8357553819311
40,screen,185.87084658994692,162.8357553819311
41,screen,193.0730993875358,162.8357553819311
42,screen,200.64345799338386,162.8357553819311
43,screen,167.029705065648,162.8357553819311
44,screen,221.03961953464966,162.8357553819311
45,screen,200.99290123573135,162.8357553819311
46,screen,225.07237694612206,162.8357553819311
47,screen,187.3611910891664,162.8357553819311
48,screen,180.42444288663032,162.8357553819311
49,screen,198.8477892397637,162.8357553819311
50,screen,257.23725659297855,162.8357553819311
51,screen,187.931983802261,162.8357553819311
52,screen,181.76689262391082,162.8357553819311
53,screen,174.17809320769857,162.8357553819311
54,screen,184.64647133212353,162.8357553819311
55,screen,185.8297499425604,162.8357553819311
56,screen,177.6834432972383,162.8357553819311
57,screen,218.98431062930254,162.8357553819311
58,screen,170.51681055596308,162.8357553819311
59,screen,195.99330359820883,162.8357553819311
60,screen,199.39066022006162,162.8357553819311
61,screen,168.18521923837008,162.8357553819311
1,full,162.8357553819311,162.8357553819311
1,full,162.8357553819311,162.8357553819311
2,full,162.83574096057671,162.83574096057671
3,full,161.23143871777674,161.23143871777674
4,full,159.28985415539898,159.28985415539898
5,full,162.30058593757929,159.28985415539898
6,full,162.71824736298367,159.28985415539898
7,full,162.83515457728072,159.28985415539898
8,full,162.81822075980796,159.28985415539898
9,full,175.05539508168837,159.28985415539898
10,full,190.62121989808108,159.28985415539898
11,full,162.5069904730736,159.28985415539898
12,full,162.83580077541734,159.28985415539898
13,full,167.20394914694202,159.28985415539898
14,full,163.94959577953227,159.28985415539898
15,full,164.48276423110423,159.28985415539898
16,full,162.97322307592245,159.28985415539898
17,full,162.8381961583896,159.28985415539898
18,full,162.8731921211944,159.28985415539898
19,full,214.85282946612784,159.28985415539898
20,full,195.43022812875395,159.28985415539898
21,full,163.04959821588594,159.28985415539898
22,full,150.5730276783442,150.5730276783442
23,full,149.13098339227562,149.13098339227562
24,full,148.38678832746135,148.38678832746135
25,full,147.90848431964523,147.90848431964523
26,full,147.84962967363265,147.84962967363265
27,full,147.85330887998,147.84962967363265
28,full,147.78073695471076,147.78073695471076
29,full,148.2003913557188,147.78073695471076
30,full,147.50527284176394,147.50527284176394
31,full,147.21105726356078,147.21105726356078
32,full,147.23949901114477,147.21105726356078
33,full,147.20320426046646,147.20320426046646
34,full,147.24331824362935,147.20320426046646
35,full,149.20797927674738,147.20320426046646
36,full,147.08967197311574,147.08967197311574
37,full,148.04640272982192,147.08967197311574
38,full,148.87239774085356,147.08967197311574
39,full,149.03480557249583,147.08967197311574
40,full,148.90915889043316,147.08967197311574
41,full,146.8979027254736,146.8979027254736
42,full,146.95363101532172,146.8979027254736
43,full,146.86788502416684,146.86788502416684
44,full,147.49008358625647,146.86788502416684
45,full,146.94334041930054,146.86788502416684
46,full,147.33796342230045,146.86788502416684
47,full,149.05645989318347,146.86788502416684
48,full,146.8561118561278,146.8561118561278
49,full,149.0594129655128,146.8561118561278
50,full,146.560447579155,146.560447579155
51,full,149.23181282375796,146.560447579155
52,full,146.67097130859406,146.560447579155
53,full,146.72307856939696,146.560447579155
54,full,146.36546471838096,146.36546471838096
55,full,144.8515203882559,144.8515203882559
56,full,145.41687186110357,144.8515203882559
57,full,145.62892445594713,144.8515203882559
58,full,144.77942774287902,144.77942774287902
59,full,145.8406086710444,144.77942774287902
60,full,144.74579240529485,144.74579240529485
