iter,tier,score,best_so_far
1,full,1.9823259180973245,1.9823259180973245
1,full,1.9823259180973245,1.9823259180973245
2,full,1.9770536216832097,1.9770536216832097
3,full,1.98607519431474,1.9770536216832097
4,full,1.9825337710370454,1.9770536216832097
5,full,2.0523641113441733,1.9770536216832097
6,full,1.9923421935175203,1.9770536216832097
7,full,1.9820903697514936,1.9770536216832097
8,full,1.969406716789164,1.969406716789164
9,full,1.9686249379912657,1.9686249379912657
10,full,1.9687576812876146,1.9686249379912657
11,full,1.9689013391048915,1.9686249379912657
12,full,1.9683240044568155,1.9683240044568155
13,full,1.9683796581335122,1.9683240044568155
14,full,1.9692213216700138,1.9683240044568155
15,full,1.9687099794034655,1.9683240044568155
16,full,1.968679644178467,1.9683240044568155
17,full,1.9684253164028185,1.9683240044568155
18,full,1.9686223145064616,1.9683240044568155
19,full,1.9683020910437654,1.9683020910437654
20,full,1.9684956429340508,1.9683020910437654
21,full,1.9683024705670484,1.9683020910437654
22,full,1.9686009686906165,1.9683020910437654
23,full,1.9684507665142263,1.9683020910437654
24,full,1.9683025574523751,1.9683020910437654
25,full,1.9684971317345499,1.9683020910437654
26,full,1.9683811267139923,1.9683020910437654
27,full,1.9683159290032661,1.9683020910437654
28,full,1.968379364069873,1.9683020910437654
