iter,tier,score,best_so_far
1,full,33.64126038194328,33.64126038194328
1,full,33.64126038194328,33.64126038194328
2,full,36.69291285461373,33.64126038194328
3,full,32.7494651207931,32.7494651207931
4,full,10.542799319288427,10.542799319288427
5,full,37.75449215867702,10.542799319288427
6,full,24.066310355811783,10.542799319288427
7,full,46.52674838254459,10.542799319288427
8,full,2.2077117115003384,2.2077117115003384
9,full,1.5395608734351367,1.5395608734351367
10,full,1.582177262894659,1.5395608734351367
11,full,1.5854974425459822,1.5395608734351367
12,full,1.4983296114166809,1.4983296114166809
13,full,1.494630429271935,1.494630429271935
14,full,1.4880175945132754,1.4880175945132754
15,full,1.485845157923772,1.485845157923772
16,full,1.4781514801983868,1.4781514801983868
17,full,1.477077237257335,1.477077237257335
18,full,1.4809716866665756,1.477077237257335
19,full,1.4810223782993372,1.477077237257335
20,full,1.480909027375655,1.477077237257335
21,full,1.4759742813110206,1.4759742813110206
22,full,1.4787091327199289,1.4759742813110206
23,full,1.476335566082583,1.4759742813110206
24,full,1.4747890165305366,1.4747890165305366
25,full,1.4759777622157841,1.4747890165305366
26,full,1.476381747217421,1.4747890165305366
27,full,1.475887790467042,1.4747890165305366
28,full,1.4779425368812176,1.4747890165305366
29,full,1.4792889626113097,1.4747890165305366
30,full,1.474522005959736,1.474522005959736
31,full,1.4792299933674096,1.474522005959736
32,full,1.4748128242431227,1.474522005959736
33,full,1.4761192733683464,1.474522005959736
34,full,1.4746646707154212,1.474522005959736
35,full,1.4749986002652158,1.474522005959736
36,full,1.4742609667300048,1.4742609667300048
37,full,1.4740857714237023,1.4740857714237023
38,full,1.4738080872878614,1.4738080872878614
39,full,1.4774850672989048,1.4738080872878614
40,full,1.4738147120196188,1.4738080872878614
41,full,1.4764037325906612,1.4738080872878614
42,full,1.473544179490148,1.473544179490148
43,full,1.4743009872443058,1.473544179490148
44,full,1.4734547313282256,1.4734547313282256
