stratum,channel,vcod_center,vcod_mean,n,n_mu03,n_mu05,n_mu08,N_bar,channel_rms,F_mu03_q,F_mu05_q,F_mu08_q,affine_A_q,affine_B_q,mult_mu03_q,mult_mu05_q,mult_mu08_q,mu_swing_abs_q,rel_swing_q,curvature_resid_q,F_mu03_l,F_mu05_l,F_mu08_l,affine_A_l,affine_B_l,mult_mu03_l,mult_mu05_l,mult_mu08_l,mu_swing_abs_l,rel_swing_l,curvature_resid_l,d_swing_q_minus_l,d_mult05_q_minus_l
preslip,Fpar,-0.01874999999999999,-0.0028719839447945315,216292012,64144391,69938691,82208930,87.64705070561718,15.419269088742354,,,,,,,,,,,,,,,,,,,,,,,,
preslip,Fpar,0.01874999999999999,0.0027742107895785736,221152073,66357290,71360943,83433840,87.71515014111547,15.172623898834019,,,,,,,,,,,,,,,,,,,,,,,,
preslip,Fperp,-0.01874999999999999,-0.0013115246519458275,184322290,55439906,59065959,69816425,87.48453917352113,8.302139973908675,,,,,,,,,,,,,,,,,,,,,,,,
preslip,Fperp,0.01874999999999999,0.0010495278211931198,253121795,75061775,82233675,95826345,87.82488931915123,7.735053151122849,,,,,,,,,,,,,,,,,,,,,,,,
transition,Fpar,-0.01874999999999999,-0.017731745068340212,154598109,59210418,53844096,41543595,87.81110659966834,22.61234804964013,6.695606405654056,7.825510905453963,9.574686643433104,5.758930241883476,4.9602029072201805,0.25832977881295177,0.36729426687431493,0.48154876634053695,2.879080237779048,0.12732336471465502,0.0217275953117122,6.6982151651943935,7.840353338974754,9.65401361448453,5.913020440338996,4.910024122953433,0.2653986598319265,0.37583389218330093,0.4906846698994814,2.9557984492901364,0.1307161221294388,0.04018120593569385,-0.07671821151108826,-0.008539625308985999
transition,Fpar,0.01874999999999999,0.017720541518954854,154439757,58768049,53873967,41797741,87.74970619214548,22.590832743302137,-6.585090919381535,-7.922914914761535,-9.917677430756052,-6.664958127065619,-4.587318260035972,0.30355949905726737,0.42077832643716484,0.5375353797933395,3.332586511374518,0.14751941857311934,0.004789390830193696,-6.5866132872393495,-7.936338206861724,-9.997888146795349,-6.823213109925623,-4.53435576963429,0.3110263633242575,0.42935096034900927,0.5462434473388433,3.4112748595559994,0.15100261678345586,0.014785024200024921,-0.07868834818148152,-0.00857263391184443
transition,Fperp,-0.01874999999999999,-0.00460554098683438,145893906,56472370,50888301,38533235,87.77144435759925,11.635271951305995,4.609863103997403,7.095652228986426,9.770363900584618,10.31418375360414,1.6640355924157115,0.6502871113050978,0.7560468412406701,0.8321763606777366,5.160500796587215,0.4435221469841087,0.4215888063541362,4.680084806562805,7.00429080248697,9.729365243536021,10.093636668200586,1.7591961103851954,0.6325275527344453,0.7415233063734432,0.8211127468346039,5.049280436973216,0.43396325054580803,0.3044938211348782,0.11122035961399845,0.014523534867226906
transition,Fperp,0.01874999999999999,0.005056399619646891,163143960,61506097,56829762,44808101,87.78845063004897,12.564976359302523,-5.108662622253272,-7.942703823901646,-11.330439430961764,-12.422384812371124,-1.5066218492637287,0.7121106924856282,0.8047864590418261,0.8683544113329333,6.221776808708492,0.4951682065125557,0.34533047816497753,-5.186067420402162,-7.846413689918796,-11.284401852776863,-12.183120768799741,-1.6109233366392974,0.6940815993937274,0.7908566385880057,0.85816115425043,6.098334432374701,0.4853438843010459,0.22101249656675304,0.12344237633379151,0.013929820453820407
gross,Fpar,-0.28125,-0.6142635423441666,19265983,6393655,6447183,6425145,80.39822305385992,32.507525726256034,16.754784395577413,27.797207422396383,44.10539687503391,54.673909137045584,0.3931876566890452,0.9765895076154195,0.9858209289553674,0.9910907085434094,27.350612479456498,0.8413624804845007,0.10217803503637057,16.731330447345076,27.812257111560317,44.26306432273028,55.04522661324532,0.24485857054364066,0.9853889283849481,0.9911818198060375,0.9944703518410704,27.531733875385203,0.846934156331316,0.06823311406115806,-0.1811213959287059,-0.0053608908506700415
gross,Fpar,-0.24375,-0.24327992556372194,1661218,494984,466170,700064,84.86363859729363,37.37199467771687,18.02920435629539,29.505467799027112,46.262434011877666,56.39084127451709,1.183474655679653,0.934617286190061,0.9597168428601832,0.9744368653741954,28.233229655582274,0.755464884843741,0.1829715804988119,18.028460841364694,29.50425515473546,46.26672558369065,56.40193768382899,1.1784315614623406,0.9348897329292304,0.9598891895245454,0.9745479043840454,28.238264742325956,0.7555996137172492,0.18048841644038305,-0.005035086743681916,-0.00017234666436216628
