model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys
ssm,16,S1_train,same_subset,1,gamma,overall,,267791,0.1271555508387852,4.405221208657934
ssm,16,S1_train,same_subset,1,zx,overall,,267791,0.08663531697357194,1.3350140878779224e-05
ssm,16,S1_train,same_subset,1,zy,overall,,267791,0.18654959339672086,1.852769772944252e-05
ssm,16,S1_train,same_subset,1,omega_z_derived,overall,,267791,0.32393983005178,0.4807644257357994
ssm,16,S1_train,same_subset,2,gamma,overall,,267791,0.12519318469713875,4.337236190705441
ssm,16,S1_train,same_subset,2,zx,overall,,267791,0.11179069637764091,1.7226481592543738e-05
ssm,16,S1_train,same_subset,2,zy,overall,,267791,0.18898085309793056,1.8769164160625295e-05
ssm,16,S1_train,same_subset,2,omega_z_derived,overall,,267791,0.3196339992372453,0.4680634950427063
ssm,16,S1_train,same_subset,3,gamma,overall,,267791,0.12914652861149917,4.4741968832333585
ssm,16,S1_train,same_subset,3,zx,overall,,267791,0.12700911825745081,1.9571577370435044e-05
ssm,16,S1_train,same_subset,3,zy,overall,,267791,0.2090656386179214,2.0763943421980153e-05
ssm,16,S1_train,same_subset,3,omega_z_derived,overall,,267791,0.24393533578081922,0.4764456011877108
ssm,16,S1_train,same_subset,4,gamma,overall,,267791,0.11280764121760804,3.908147171473803
ssm,16,S1_train,same_subset,4,zx,overall,,267791,0.08276609807385016,1.2753910492331874e-05
ssm,16,S1_train,same_subset,4,zy,overall,,267791,0.17433480803833823,1.731455219058746e-05
ssm,16,S1_train,same_subset,4,omega_z_derived,overall,,267791,0.2640075343526685,0.42324683617077846
ssm,16,S1_train,same_subset,1,gamma,slip,0.005,79981,0.09799321570460484,3.394910918736757
ssm,16,S1_train,same_subset,1,gamma,slip,0.02,64648,0.10388920848223908,3.5991737390399647
ssm,16,S1_train,same_subset,1,gamma,slip,0.065,101334,0.12106929493744892,4.194366604544823
ssm,16,S1_train,same_subset,1,gamma,slip,0.2,17909,0.25029950750720714,8.671462876877095
ssm,16,S1_train,same_subset,1,gamma,slip,0.65,2989,0.277560854367921,9.615914407904453
ssm,16,S1_train,same_subset,1,gamma,slip,1.5,930,0.16852896986785912,5.838576016661134
ssm,16,S1_train,same_subset,1,zx,slip,0.005,79981,0.06711663774255361,1.0342394020984308e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.02,64648,0.0914940199866974,1.4098846981672008e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.065,101334,0.09098541114864458,1.4020472478014715e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.2,17909,0.11167849246463439,1.7209190019339592e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.65,2989,0.10400369672708126,1.6026535981988544e-05
ssm,16,S1_train,same_subset,1,zx,slip,1.5,930,0.12232926514459283,1.8850429684648523e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.005,79981,0.17469934806839368,1.7350756704840252e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.02,64648,0.1890473948323532,1.8775773313196612e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.065,101334,0.17941560047699695,1.7819164594233215e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.2,17909,0.23933841293947294,2.377056708924327e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.65,2989,0.2935406905223604,2.9153818450622115e-05
ssm,16,S1_train,same_subset,1,zy,slip,1.5,930,0.1555532459457088,1.5449207775413513e-05
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.005,79981,0.5270284278439009,0.3577649900702233
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.02,64648,0.20636085992425227,0.3742440751039391
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.065,101334,0.13808121872961726,0.4467492665938609
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.2,17909,0.23424519087887388,1.0277555268563539
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.65,2989,0.26064162408766883,1.036977536431997
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,1.5,930,0.12662930952133214,0.5165643200480246
ssm,16,S1_train,same_subset,2,gamma,slip,0.005,94360,0.10489852827226168,3.6341409646215017
ssm,16,S1_train,same_subset,2,gamma,slip,0.02,62317,0.12842745656699384,4.449285307710622
ssm,16,S1_train,same_subset,2,gamma,slip,0.065,96724,0.13533001354970042,4.688419888452394
ssm,16,S1_train,same_subset,2,gamma,slip,0.2,13894,0.1599074957264607,5.5398906955501115
ssm,16,S1_train,same_subset,2,gamma,slip,0.65,496,0.09351015044344872,3.239598061652047
ssm,16,S1_train,same_subset,2,zx,slip,0.005,94360,0.08583872756882042,1.3227389994724962e-05
ssm,16,S1_train,same_subset,2,zx,slip,0.02,62317,0.12730489499774442,1.9617153494590358e-05
ssm,16,S1_train,same_subset,2,zx,slip,0.065,96724,0.11573133034778171,1.7833715441459534e-05
ssm,16,S1_train,same_subset,2,zx,slip,0.2,13894,0.15207040531632926,2.3433415371385264e-05
ssm,16,S1_train,same_subset,2,zx,slip,0.65,496,0.22276019066794883,3.432641653113238e-05
ssm,16,S1_train,same_subset,2,zy,slip,0.005,94360,0.16556138831505834,1.6443194568349823e-05
ssm,16,S1_train,same_subset,2,zy,slip,0.02,62317,0.21847234585584263,2.169819501944057e-05
