model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys,batch,fold
ssm,32,S1_train,same_subset,1,gamma,overall,,133759,0.053533571995505805,4.432927219719515,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,overall,,133759,0.04303239659622137,1.3179671286249498e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,overall,,133759,0.09330217076825245,1.943404510281729e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,overall,,133759,0.052884599085446155,0.4763163006394875,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,overall,,133759,0.06084014123863724,5.0379586274176305,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,overall,,133759,0.06245617808002466,1.912865505378525e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,overall,,133759,0.0974599398110127,2.0300072899669464e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,overall,,133759,0.06117511672189427,0.5509865970824863,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,overall,,133759,0.060162834091425824,4.981873000715407,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,overall,,133759,0.05751028763892996,1.761386119811408e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,overall,,133759,0.10172458706946307,2.1188362570024772e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,overall,,133759,0.06010923264368922,0.5413864872240214,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,overall,,133759,0.05481653466435073,4.539164888101186,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,overall,,133759,0.041122127495679596,1.259460710773385e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,overall,,133759,0.09025114850425334,1.8798544043945404e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,overall,,133759,0.05427606537839587,0.48884883541490465,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,slip,0.005,39923,0.044839285202951724,3.7129837317488015,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,slip,0.02,32253,0.044035112824516685,3.646393044799559,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,slip,0.065,50620,0.04982241419519341,4.12561913817846,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,slip,0.2,8996,0.10401589379211981,8.613190862982133,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,slip,0.65,1503,0.10522925269423043,8.713664859781273,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,slip,1.5,464,0.04396949736746421,3.6409596578941668,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,slip,0.005,39923,0.03471345303868631,1.0631801231353946e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,slip,0.02,32253,0.04364388500824951,1.3366953437958315e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,slip,0.065,50620,0.043909036868965294,1.3448162354021329e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,slip,0.2,8996,0.05952819458515622,1.8231892172237203e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,slip,0.65,1503,0.05970540862240119,1.8286168088760254e-05,b4096_ep100,S1
