integrator,crossover_hz,rate_hz,stage,rmse_pooled_overall,rmse_pooled_lowslip,rmse_wholesample_overall,rmse_spin_creep_overall,pass_overall,pass_lowslip,pass_both
euler,0.2,500.0,none,0.05399493673974487,0.017191780617521763,0.12661844161104402,0.012830046270256542,False,False,False
euler,0.5,500.0,none,0.05852464631050567,0.010452205034868043,0.13733828280595445,0.018340656198489385,False,False,False
euler,1.0,500.0,none,0.06044876284199731,0.00778132682086121,0.1421841578775953,0.02121132192873784,False,True,False
euler,2.0,500.0,none,0.06187043452111665,0.006746781930007133,0.14510530049490306,0.02289832193794506,False,True,False
euler,5.0,500.0,none,0.0644320307440264,0.004404154811203979,0.1467955984900382,0.025894227964460063,False,True,False
rot_ab2,0.2,500.0,none,0.05424972659066396,0.017207109250173908,0.12658181403628052,0.013074267944688248,False,False,False
rot_ab2,0.5,500.0,none,0.0588126788451761,0.01045917054156988,0.13732044391720866,0.018576028381735145,False,False,False
rot_ab2,1.0,500.0,none,0.06081877686493751,0.007806180963221373,0.14218525211814048,0.021512351538651456,False,True,False
rot_ab2,2.0,500.0,none,0.06237221523922057,0.006815137042470419,0.14512786486196455,0.023350066884101666,False,True,False
rot_ab2,5.0,500.0,none,0.06514525697543322,0.004625517714339326,0.14685812716843974,0.02669917649779371,False,True,False
euler,0.2,2000.0,none,0.05401482378722134,0.017136841862594628,0.1266642583161633,0.012817530082367412,False,False,False
euler,0.5,2000.0,none,0.05854120505096443,0.01037358295977484,0.13738580860238522,0.01830642216525099,False,False,False
euler,1.0,2000.0,none,0.060456235362616566,0.007698302687308474,0.1422253106561284,0.021140204690010565,False,True,False
euler,2.0,2000.0,none,0.06187567081206468,0.0066713295684332095,0.1451414513458505,0.022758301559250512,False,True,False
euler,5.0,2000.0,none,0.06453038458158329,0.004417095130509105,0.1468149401486228,0.025673207274634107,False,True,False
rot_ab2,0.2,2000.0,none,0.054031173507171563,0.017126785455513313,0.12665197224614477,0.012803631063264825,False,False,False
rot_ab2,0.5,2000.0,none,0.05857424109996392,0.010363562568764638,0.1373783981969922,0.01831018448683147,False,False,False
rot_ab2,1.0,2000.0,none,0.0605147276242421,0.007693094698747793,0.14222266176259235,0.021165905836183285,False,True,False
rot_ab2,2.0,2000.0,none,0.06197343464256519,0.006678003598698879,0.14514411533758548,0.02282330251495907,False,True,False
rot_ab2,5.0,2000.0,none,0.06468994050115533,0.004468651310335957,0.14682759820205793,0.02583203936989241,False,True,False
euler,0.2,500.0,real,0.1565694105120691,0.1362505773643606,0.1811528937010041,0.10067893331298801,False,False,False
euler,0.5,500.0,real,0.09516372445226329,0.05712366080329599,0.1476345232090175,0.05256203476167263,False,False,False
euler,1.0,500.0,real,0.07599148352380455,0.02997197458468675,0.14485685688062233,0.034072886363712925,False,False,False
euler,2.0,500.0,real,0.067713837356834,0.01696224613392234,0.1457900489852481,0.026754718614126222,False,False,False
euler,5.0,500.0,real,0.06554577413378344,0.007604820811061546,0.14691269057403203,0.02652118144395423,False,True,False
rot_ab2,0.2,500.0,real,0.1565585334297214,0.13629180010962635,0.18111967887091515,0.10066735754004599,False,False,False
rot_ab2,0.5,500.0,real,0.09519278248534997,0.057158375640284254,0.1476159571749843,0.05262237706052955,False,False,False
rot_ab2,1.0,500.0,real,0.0760955524555189,0.029996290509050953,0.14485747954132058,0.03425227511290472,False,False,False
rot_ab2,2.0,500.0,real,0.06798458337318636,0.016993080448622817,0.1458124714875195,0.02714063801463738,False,False,False
rot_ab2,5.0,500.0,real,0.06617478218597211,0.0077202038057338045,0.1469752097096563,0.027307752420302412,False,True,False
euler,0.2,2000.0,real,0.15656956641985148,0.13600337962059642,0.1811857883218361,0.10064994142012731,False,False,False
euler,0.5,2000.0,real,0.09516883698673395,0.05692102856245525,0.1476787608478096,0.052534921450751566,False,False,False
euler,1.0,2000.0,real,0.0759975784311682,0.029783389378029174,0.14489727650848966,0.034017626442516984,False,False,False
euler,2.0,2000.0,real,0.06772921263559756,0.01682346889763101,0.14582604999676685,0.026628085812258676,False,False,False
euler,5.0,2000.0,real,0.06564446506406167,0.007588577212712088,0.146932014191415,0.02630266416852791,False,True,False
rot_ab2,0.2,2000.0,real,0.15656409560791112,0.13601562828710814,0.1811752864453082,0.10063742046269072,False,False,False
rot_ab2,0.5,2000.0,real,0.09517016930001038,0.05693035889208497,0.1476713630592021,0.052530623788443705,False,False,False
rot_ab2,1.0,2000.0,real,0.07601303665566347,0.02978837701218558,0.14489455358329015,0.03403134114184102,False,False,False
rot_ab2,2.0,2000.0,real,0.0677803824720382,0.01682807231185974,0.14582868304862345,0.026683173933757524,False,False,False
rot_ab2,5.0,2000.0,real,0.06578355674012057,0.00761499235648807,0.14694466345266247,0.026457694137042145,False,True,False
