model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys
ssm,16,S1_train,same_subset,1,gamma,overall,,267791,0.061016175133185246,5.052535237074605
ssm,16,S1_train,same_subset,1,zx,overall,,267791,0.04570334403254614,1.3997711744795322e-05
ssm,16,S1_train,same_subset,1,zy,overall,,267791,0.09149804201990011,1.9058261039097327e-05
ssm,16,S1_train,same_subset,1,omega_z_derived,overall,,267791,0.06152867934853149,0.5541710334831883
ssm,16,S1_train,same_subset,2,gamma,overall,,267791,0.07015330500097462,5.809149498424104
ssm,16,S1_train,same_subset,2,zx,overall,,267791,0.06011255333025689,1.8410865240967427e-05
ssm,16,S1_train,same_subset,2,zy,overall,,267791,0.09960301559706466,2.0746458001725742e-05
ssm,16,S1_train,same_subset,2,omega_z_derived,overall,,267791,0.06891860369511278,0.6207299464302652
ssm,16,S1_train,same_subset,3,gamma,overall,,267791,0.06621516448604141,5.483045639027226
ssm,16,S1_train,same_subset,3,zx,overall,,267791,0.0623708629379979,1.910252597964598e-05
ssm,16,S1_train,same_subset,3,zy,overall,,267791,0.10726571694852287,2.2342534003977776e-05
ssm,16,S1_train,same_subset,3,omega_z_derived,overall,,267791,0.0661609320243353,0.5958923946416855
ssm,16,S1_train,same_subset,4,gamma,overall,,267791,0.06629195149664124,5.4894039369921375
ssm,16,S1_train,same_subset,4,zx,overall,,267791,0.03902280429009142,1.19516407543433e-05
ssm,16,S1_train,same_subset,4,zy,overall,,267791,0.09120071934343436,1.899633081533352e-05
ssm,16,S1_train,same_subset,4,omega_z_derived,overall,,267791,0.064906990661298,0.5845985071661325
ssm,16,S1_train,same_subset,1,gamma,slip,0.005,79981,0.0401350005717325,3.32343845087471
ssm,16,S1_train,same_subset,1,gamma,slip,0.02,64648,0.04584985732781196,3.796665661479844
ssm,16,S1_train,same_subset,1,gamma,slip,0.065,101334,0.0598936607759293,4.959583704576586
ssm,16,S1_train,same_subset,1,gamma,slip,0.2,17909,0.12579390969726267,10.416551879803938
ssm,16,S1_train,same_subset,1,gamma,slip,0.65,2989,0.15223231141939647,12.605823066072166
ssm,16,S1_train,same_subset,1,gamma,slip,1.5,930,0.13143892597767445,10.883995854404997
ssm,16,S1_train,same_subset,1,zx,slip,0.005,79981,0.03627687188670926,1.1110634568531336e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.02,64648,0.04705857509135737,1.4412781584785575e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.065,101334,0.04669610253034193,1.4301765945631848e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.2,17909,0.05907272864411709,1.8092395146566227e-05
ssm,16,S1_train,same_subset,1,zx,slip,0.65,2989,0.086131354017473,2.6379727680921494e-05
ssm,16,S1_train,same_subset,1,zx,slip,1.5,930,0.07556656301833081,2.3144015019298048e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.005,79981,0.08047176295080442,1.676158084007599e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.02,64648,0.08972761762076355,1.8689496306798048e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.065,101334,0.09070838675467595,1.889378213363138e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.2,17909,0.13194618345517636,2.748326295748813e-05
ssm,16,S1_train,same_subset,1,zy,slip,0.65,2989,0.13264465051943994,2.7628747684089193e-05
ssm,16,S1_train,same_subset,1,zy,slip,1.5,930,0.07577867127014704,1.578404992671112e-05
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.005,79981,0.03812551795957402,0.34338552222221924
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.02,64648,0.04195004128164122,0.3778318985204138
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.065,101334,0.058556185692650954,0.5273986421570118
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.2,17909,0.1395486175037277,1.2568740691658726
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,0.65,2989,0.15689415039036841,1.413100271123768
ssm,16,S1_train,same_subset,1,omega_z_derived,slip,1.5,930,0.12261827904614644,1.1043874034418835
ssm,16,S1_train,same_subset,2,gamma,slip,0.005,94360,0.04927382445678896,4.080192354175811
ssm,16,S1_train,same_subset,2,gamma,slip,0.02,62317,0.07092855589911445,5.873344617300921
ssm,16,S1_train,same_subset,2,gamma,slip,0.065,96724,0.08216436869861428,6.803742810633139
ssm,16,S1_train,same_subset,2,gamma,slip,0.2,13894,0.09314687896477751,7.713165905788426
