stratum,quantity,bin_center,n,meas_rms,roller_rms,total_rms,roller_mag_frac,body_mag_frac,yaw_mag_frac,wheel_mag_frac,roller_energy_frac,meas_energy_frac,roller_over_total_median,meas_roller_align
psi<0.5,Vp_par,-0.28125,17810229,0.6686762504496647,0.007713886974475909,0.663745696661626,0.003259895351095016,0.30917360902304486,0.012865189313773319,0.6747013063120868,0.00013506508792088053,1.0149119363667236,0.005,-0.6425904018299988
psi<0.5,Vp_par,-0.24375,1512265,0.24951658944899519,0.008246137853826425,0.2437002297369226,0.0043597179115884436,0.3968536902719417,0.012346267798341675,0.5864403240181282,0.0011449573368551378,1.0483033507620334,0.015,-0.713646765440407
psi<0.5,Vp_par,-0.20625,1666584,0.21117353335399003,0.007961844316934549,0.20559616944479372,0.004430368195160153,0.40686511166188327,0.012374899953821378,0.5763296201891351,0.001499675597865211,1.0549914390353534,0.015,-0.7101122720305316
psi<0.5,Vp_par,-0.16875,2328263,0.17395023371257037,0.008090258093910029,0.1682407722187424,0.004493791031370048,0.42144495748557487,0.01277054338657836,0.5612907080964766,0.0023123962002880773,1.069024176286584,0.025,-0.7173933659034004
psi<0.5,Vp_par,-0.13124999999999998,3838826,0.13310447413793422,0.007302668288520688,0.12821931214045731,0.004645242451584343,0.42395449328647566,0.018039925295936253,0.5533603389660039,0.0032438163808209968,1.0776517104736838,0.015,-0.684111938752613
psi<0.5,Vp_par,-0.09375,42362525,0.0895535734307531,0.0027135622943505206,0.08843463427654445,0.0042067045434120735,0.3484209983606675,0.062158775769419555,0.585213521326501,0.0009415314334712742,1.0254655425087171,0.005,-0.42492505378048206
psi<0.5,Vp_par,-0.056249999999999994,111784688,0.05616258890789008,0.002398217238455275,0.05533003175712504,0.003283959716595939,0.42201863389257654,0.05748617912643787,0.5172112272643894,0.0018786903378529155,1.0303206383302985,0.005,-0.36593421735116566
psi<0.5,Vp_par,-0.01874999999999999,373425287,0.016751070618433207,0.002576531546962008,0.016105393184859092,0.0011618921611448849,0.4828736525039841,0.025972020107729338,0.4899924352271416,0.02559341653953676,1.081788786543842,0.045,-0.32267620754151805
psi<0.5,Vp_par,0.01874999999999999,378308114,0.016580556211569352,0.0025213909817165905,0.015958116728409653,0.0011565009348285652,0.48423072488273283,0.02592838383911452,0.488684390343324,0.024964169080789418,1.0795304967619272,0.045,-0.31826443497427453
psi<0.5,Vp_par,0.056249999999999994,111185979,0.056152995910319886,0.002331184790672398,0.055344876579448435,0.00331900345224464,0.42972291086619274,0.05879273811143098,0.5081653475701317,0.001774183579197609,1.029416244701594,0.005,-0.36491906727737183
psi<0.5,Vp_par,0.09375,41514195,0.08935479553243017,0.0024695676477555907,0.08835097614957155,0.004117037882709771,0.3442970704793676,0.06515849341780555,0.5864273982201172,0.0007813023845855564,1.022852536239198,0.005,-0.4180114539008562
psi<0.5,Vp_par,0.13124999999999998,3312873,0.1330098853132094,0.007129805223020064,0.12831189845525479,0.004626410150631498,0.41956576409237173,0.01772548438685474,0.5580823413701421,0.003087603111699648,1.0745681811808556,0.015,-0.6740872167050618
psi<0.5,Vp_par,0.16874999999999998,2545526,0.1750108586471001,0.008127858537465841,0.16924422536056924,0.004539420930065931,0.41558462206207314,0.015399001189038534,0.5644769558188225,0.0023063464918610817,1.0693066613366897,0.025,-0.7210219835475323
psi<0.5,Vp_par,0.20625000000000002,2611818,0.2119474877474695,0.008002816806923857,0.2063126094346309,0.004421856758387748,0.3981688334655761,0.017968184320666592,0.5794411254553695,0.0015046455568082308,1.0553706257680948,0.015,-0.7136312854903923
psi<0.5,Vp_par,0.24375000000000002,2101353,0.248586657064271,0.007897775292011524,0.2430605650350097,0.004150694724929822,0.39106398767010814,0.014656133315242834,0.5901291842897193,0.0010557972821254617,1.0459878066274924,0.015,-0.7078105120398921
psi<0.5,Vp_par,0.28125,19124631,0.680540493868429,0.008009835366092913,0.6754519310683967,0.003299772420550431,0.30948033526411595,0.012917083077960162,0.6743028092373735,0.0001406236234223316,1.0151238898908372,0.005,-0.6387991148926829
0.5<=psi<2,Vp_par,-0.28125,1357332,0.8912908595802852,0.007930619883226403,0.8864611644163742,0.0026629714856868368,0.23841932235461794,0.10190979755660144,0.6570079086030938,8.003774439440908e-05,1.0109262585703338,0.005,-0.6117923554164576
0.5<=psi<2,Vp_par,-0.24375,112681,0.24631328481235407,0.006602283565006853,0.24162027066707883,0.0054646389459367326,0.1347792027254447,0.28813245754549593,0.5716237007831226,0.0007466578119556564,1.0392234523082855,0.015,-0.7174474114237385
0.5<=psi<2,Vp_par,-0.20625,144760,0.21246092321695995,0.0072283721790870935,0.2072281270840262,0.00591762190458618,0.13249931708747478,0.30053125238049877,0.5610518086274402,0.0012167002789610273,1.0511403916897055,0.015,-0.7320206878452264
0.5<=psi<2,Vp_par,-0.16875,273943,0.1711071938156113,0.00496079570365007,0.16768438794431717,0.0038690852016769533,0.1371658852128614,0.3012963909716811,0.5576686386137806,0.0008752203850285664,1.041241040963639,0.015,-0.6975662582210381
0.5<=psi<2,Vp_par,-0.13124999999999998,996269,0.1275910062734524,0.004772172769720425,0.12509801944847687,0.003463453252347129,0.1357212227739737,0.342631996283949,0.5181833276897302,0.0014552293611292339,1.0402536713296149,0.015,-0.5359982785192717
0.5<=psi<2,Vp_par,-0.09375,8413501,0.09118628726985172,0.0037627647355836487,0.0899708922224771,0.0031369191163254585,0.053632645380737476,0.44301121952980044,0.5002192159731366,0.0017490816187127264,1.0272000033829947,0.015,-0.3414855269283252
0.5<=psi<2,Vp_par,-0.056249999999999994,17338756,0.05692991349230056,0.003604060579206765,0.05613408677667161,0.003074451791398659,0.10285188762430823,0.41555484206241877,0.47851881852187433,0.004122216916108688,1.0285554848013538,0.025,-0.2509240137030513
0.5<=psi<2,Vp_par,-0.01874999999999999,41607696,0.017248357237047908,0.0033250348145204855,0.016595116466011615,0.001788268109457606,0.3384414245641367,0.21379655226545416,0.44597375506095155,0.04014502978537053,1.0802763478491069,0.115,-0.2891280782680336
0.5<=psi<2,Vp_par,0.01874999999999999,40824779,0.01734012635770541,0.003318973691965307,0.016744030337498987,0.0018585960971740532,0.34316950805284413,0.2160270719511043,0.43894482389887773,0.03929050542454037,1.0724684164033,0.125,-0.2722175646207454
0.5<=psi<2,Vp_par,0.056249999999999994,17337120,0.05709733332243861,0.003667303666571253,0.056284234685377486,0.003126883785096962,0.09934616920129781,0.4238647187745011,0.47366222823910403,0.004245415633999801,1.0291012846803214,0.025,-0.25225146854327823
0.5<=psi<2,Vp_par,0.09375,8982053,0.09135118747213604,0.0038642452102462897,0.09006492409567404,0.003221307904620978,0.049770959549006594,0.4460279367979401,0.5009797957484322,0.0018408482114209677,1.0287669874366623,0.015,-0.35166984120405315
0.5<=psi<2,Vp_par,0.13124999999999998,1025687,0.12709761174983053,0.004807283116869824,0.12463760131914749,0.0036161689539434974,0.0894429334107521,0.3731889492586427,0.5337519483766617,0.0014876516053196225,1.039864172501009,0.015,-0.5256852009101435
0.5<=psi<2,Vp_par,0.16874999999999998,291919,0.17388010120839315,0.006926202513433437,0.16935999059264695,0.0032033096602755453,0.2835681443417708,0.2066283248445184,0.5066002211534352,0.0016725100244878207,1.0540910523304687,0.015,-0.6640443506337592
0.5<=psi<2,Vp_par,0.20625000000000002,207888,0.2129847750222981,0.008220606916811007,0.20720733446132727,0.0030969320364331726,0.310708470189532,0.13768711951620236,0.5485074782578325,0.0015739738631903974,1.0565422557969306,0.015,-0.7125662391011016
0.5<=psi<2,Vp_par,0.24375000000000002,178096,0.24781476924009146,0.007651960997823696,0.24250177345364787,0.0026058672004972178,0.33003646747285664,0.11838784243039352,0.5489698228962527,0.0009956705402561958,1.0442982101939369,0.015,-0.7023271234808173
0.5<=psi<2,Vp_par,0.28125,1187396,0.6809163898322169,0.008094998761072808,0.6761689627457619,0.002874754855608784,0.2581671490355027,0.11096152515082733,0.6279965709580612,0.00014332538238126999,1.0140914278796964,0.005,-0.5903639606245487
psi>=2,Vp_par,-0.28125,98422,0.37846465015513936,0.00435337092832036,0.37530467894527736,0.001974383357832847,0.011644853006098134,0.37818856845879967,0.6081921951772694,0.00013454990263154714,1.016910390251774,0.005,-0.7285887293527981
