t,Xo,Yo,Vx,Vy,Vx_des,Vy_des
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,8.364610357698394e-8,-5.727829659495116e-8,1.4991081658136981e-5,-1.4849825075114058e-5,2.7701209189437715e-5,1.5993300582399995e-5
0.04,2.8701328942652047e-7,-4.070602623788946e-7,-5.156512930209673e-6,-6.93984482122344e-6,0.00021626572515858733,0.00012486107463679998
0.06,1.4373623094952218e-6,1.1110246009854647e-6,0.00026751485517734897,0.00027066782802601943,0.0007120963745288708,0.0004111290335232
0.08,1.4444861898683508e-5,1.3080430070429202e-5,0.001042292506580994,0.0009521063878148919,0.0016462964254121098,0.0009504896843776001
0.1,4.638415802902112e-5,4.185722407151243e-5,0.0023039280366397748,0.001963150019171056,0.003135192649239914,0.0018101043200000001
0.12,0.00010872301319126595,9.634463881492163e-5,0.003918863196046353,0.0036838329613363475,0.0052808583825930695,0.0030489050087424
0.14,0.00020643529838360907,0.00019416838886683474,0.006143487025633098,0.0060849483553019465,0.00817163658903093,0.004717896584396801
0.16,0.00036277798163051906,0.00034012991429088665,0.009462854636035573,0.008696423353422016,0.011882662920920786,0.006860458636083199
0.18,0.0005877986287347425,0.0005483021309433043,0.013304449172403454,0.012105045799841415,0.01647638878126729,0.009512647498137596
0.2,0.000899809183500977,0.000831174054676808,0.018415014708268864,0.016013781034313827,0.022003104385541823,0.012703498240000005
0.22,0.0013424036529580009,0.0011782350389771773,0.02564573034180835,0.019064370998673957,0.028501461823511834,0.016455326656102394
0.24,0.0019297436554621297,0.0016033485731310898,0.03352851334432303,0.02335842192753955,0.03599899812107036,0.0207840312557568
0.26,0.002687556400349949,0.002116427852009114,0.042236882750012396,0.028148391885687418,0.04451265830206527,0.025699395253043208
0.28,0.0036292388246963896,0.0027334029875711267,0.052186060004180995,0.033652658003570264,0.054049318450128704,0.03120538855669761
0.3,0.004777588639335385,0.0034679876682859523,0.06290836227266375,0.0397004703713308,0.0646063087705065,0.037300469759999996
0.32,0.006151500933817773,0.004317623546815506,0.07453137170718577,0.045505670887008576,0.07617193665188755,0.04397788813066239
0.34,0.007769775953543532,0.005298690224636866,0.08748806921760466,0.052736801908357084,0.08872600972823325,0.05122598560071681
0.36,0.009654218629879445,0.006431803702513265,0.10116466315990819,0.060654486214044706,0.10224035894060661,0.059028498756403175
0.38,0.011823185553168875,0.007729324268488676,0.11586777598035004,0.06911920303949096,0.11667936159900219,0.06736486082805758
0.4,0.014293529626732632,0.00920021843410001,0.13133964806473752,0.07796592118455538,0.132000464444175,0.07621050368000003
0.42,0.017079454720767367,0.010849985174965058,0.14740405814287919,0.08695071574139791,0.14815470670946976,0.0855371598004224
0.44,0.020193473257710974,0.012682117823348996,0.1641101015353717,0.09625363108969116,0.16508724318265106,0.09531316429127677
0.46,0.023646158661155055,0.014694406780672848,0.1812492873243837,0.10459066025579983,0.18273786726773208,0.1055037568581632
0.48,0.027466125598498932,0.0168794943425486,0.20074930973066005,0.11454469190776302,0.201041534046804,0.11607138380021759
0.5,0.031667847546335344,0.019286685926378284,0.219508617677765,0.12559233050175844,0.21992888334186583,0.126976
0.52,0.036241692838096036,0.021900681708282944,0.2378885345114735,0.13572271359966687,0.2393267627766533,0.13817537091338244
0.54,0.041187191520721755,0.024716344552330956,0.2571641678569593,0.14619452708640165,0.25915875083846834,0.1496253745594368
0.56,0.0465456514453937,0.027774366406359698,0.27889218891560635,0.15954072717879655,0.27934567994000903,0.16128030351032321
0.58,0.052322390657185455,0.031082730977290324,0.29836154614754573,0.17039290250390637,0.2998061594811981,0.17309316688117754
0.6,0.05847632493684961,0.034579986752575655,0.31776215765744525,0.1799204526891926,0.32045709891101337,0.18501599232000004
0.62,0.06505918273204257,0.038313241218276194,0.3403844758529521,0.19299402032921836,0.3412142307893155,0.19700012799754235
0.64,0.07205675457435531,0.042269079645494485,0.35927630626081203,0.20188226908103787,0.3619926338486795,0.20899654459719672
