controller,trajectory,tracking_mean,tracking_std,ce_mean,ce_std,chatter_mean,chatter_std,est_nrmse_vx_mean,est_nrmse_vy_mean,est_nrmse_psidot_mean,est_nrmse_psi_mean,est_nrmse_X_mean,est_nrmse_Y_mean,n
asmc,octagon,25.790161977623494,6.634033350493548,46.13055417687434,0.13372193841944055,0.21229854598239456,0.0054667848956118925,0.035029441603083855,0.07625403363882474,1.0152065296923904,6.938130983246806,1.0000016193057146,1.0959057525831148,10
asmc,spin_creep,18.08622410282,6.304633678667527,45.80371627636403,0.5568702334364073,0.2261156319149756,0.00216609173348166,0.3517529658028896,0.0897148176454507,0.021820309475155925,0.17160346231471785,3.706957608499272,2.4797156249627315,10
asmc,coupled_vomega,32.94758027359403,5.301524502487541,40.48139051885131,0.38772986547565413,0.1726326406737823,0.0020156372961946485,0.5283030501467458,0.1250661708448558,0.0755018719670835,0.3457598121436651,1.7761863662441038,0.7817185178379201,10
asmc,spiral_orbit,64.09997021995358,1.092217898467802,51.20325733910975,0.30003952357074376,0.12499770236724209,0.002177260207545353,0.04423164622593471,0.11012865048809592,0.009873322820049567,0.27898020221059255,1.3925878397467764,1.0526808995825347,10
pid,octagon,37.25827928887655,6.592909307419336,44.18704594102461,0.2509516692272144,0.7366235210189174,0.003554062563217936,0.03703738362691999,0.07404191616860346,0.8731871623662404,7.15961022265178,1.0001127256076023,1.0904297164716028,10
pid,spin_creep,30.574560189814072,6.462558578950288,44.44560608610509,0.5204133120076476,0.7462664941685452,0.003091097045884802,0.33271462574702027,0.20850955031434332,0.022563800579909886,0.17663845802357575,4.182216895811368,3.738734302084312,10
pid,coupled_vomega,38.23474355398179,3.7268549778459152,39.21343552639111,0.4400620256556104,0.7467453171092193,0.004451116282247541,0.4461157052734325,0.1007140213335167,0.07649398594126318,0.36344727594663306,1.95201017977872,0.8040146040157099,10
pid,spiral_orbit,77.72289406120133,1.9198724518930326,47.56073221199126,0.24982722060847076,0.6059382786352294,0.002816308406990595,0.038243134112580464,0.19989643999404655,0.010841626647398019,0.2919617129598497,1.400304590663087,1.0157378724732875,10
mpc,octagon,123.44995649076085,1.770520330520748,23.969494009173374,0.01626441529644528,0.15000008619255348,0.004794524318105414,0.009109505644276492,0.021239685323169784,2.7713714173371504,20.705066180077683,1.1257679955941804,1.1041398920647865,10
mpc,spin_creep,340.4947265015623,1.7002187882944118,14.261902012226694,0.1639885573949476,0.09406953288380543,0.004547239468666069,0.04335965953183061,0.04952584458520605,0.07731779317878297,0.8474617558001268,28.679705912105867,1.312893020309863,10
mpc,coupled_vomega,160.4610413837599,2.0971622860646075,19.56217220009671,0.1268073583320824,0.10065868874187722,0.004139888623577392,0.041743027456731086,0.025692744843070332,0.2823176021482163,1.6807210433800748,1.8461193831321736,0.5962635395676622,10
mpc,spiral_orbit,368.389928653015,1.189097201109276,20.02284254429892,0.06889367757314835,0.12579193037209951,0.007696510695499157,0.008497583368255773,0.057444042352104804,0.03300382055642685,0.6906376979639333,1.2674524784036685,1.3045904377625939,10
