time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.83662797252528e-5,0.00010476119509551102,-0.00013549682966182931,0.0,0.0,0.0,-1.2972885023094927e-7,1.76548899649134e-8,2.9511624497608218e-8,1.7848016583204598e-8,2.9512442837807417e-8,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-9.133841763243882e-5,-6.91547296874115e-5,-0.0010646118600874572,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-3.154937547834726e-7,-1.0039218710275302e-7,1.1870483532703761e-7,-4.905376014647094e-7,2.2217670079617406e-8,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00010713019072638863,0.00028884366624407537,0.0020498071815599015,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.286420519061532e-6,-5.248391568314996e-8,5.6232816321571584e-8,1.7216393246003106e-7,2.2519445513740684e-8,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00012293299704565437,0.000226771490254838,0.008343514360572294,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,1.177798052867964e-6,3.5558053695463006e-8,3.4112773300710864e-7,4.801919673126006e-8,2.250380642868063e-8,0.0,2.7611808971105294e-5
0.004,-3.066785465174432e-7,3.555953933186267e-7,1.1997417766686961e-6,0.0001226571624207898,0.00013243142378310425,-0.0027718998772455813,-2.779189753254965e-10,4.169390278420726e-10,9.690923739930064e-10,9.197286903498685e-6,8.878795292142418e-8,5.690065329165981e-7,-5.200779056265603e-7,2.274043564509234e-8,0.0,6.351417986683643e-5
0.005,-3.43584755301218e-7,6.458494102072628e-7,2.1504256636244655e-6,0.00024496376796050146,-5.004410994748114e-5,0.001225626982744304,-6.076112213540225e-10,9.15904335294217e-10,2.6413161018522825e-9,6.584729109918908e-6,3.8300543688160804e-7,6.928672935414212e-7,1.0082993587971115e-6,2.2542697560278243e-8,0.0,1.697287153782574e-5
0.006,-3.636157932158036e-7,9.278225230777457e-7,3.0883170366797784e-6,0.0001562392673951659,-0.00025947512986010434,0.001225233861512315,-9.632966422680596e-10,1.7050287863145907e-9,5.25924856787276e-9,7.810280264064589e-6,4.080059206971488e-7,6.331735195123054e-7,-1.089410456469282e-6,2.2708403348024732e-8,0.0,6.64109718423967e-6
0.007,-2.3388619965500657e-7,1.1782785896764009e-6,4.102963441007862e-6,0.00021198799350717024,-0.00010693415403813171,-0.006145122898819341,-1.2738968220063632e-9,2.7612771943802e-9,8.844990264672371e-9,8.778513095683277e-6,5.563611270186634e-7,3.7517363539049717e-7,-1.1702728833207077e-6,2.272536802624013e-8,0.0,1.6697359110482104e-5
0.008,-1.7109593967941357e-8,1.3559673893159753e-6,5.816581502729005e-6,7.330222465305145e-5,1.34090127658082e-5,0.0026946837426814613,-1.4168080752125964e-9,4.0384830677006365e-9,1.3726050608496628e-8,2.907018061834357e-6,4.357326661757251e-7,2.6990310382718186e-7,-4.618879335214545e-6,2.2120560222357483e-8,0.0,8.08217011804135e-5
0.009000000000000001,2.728112747986229e-7,1.3650817882445946e-6,8.859428523066786e-6,5.3985003262264684e-5,-0.00024277121148477614,-0.00274259250251427,-1.2864952081830132e-9,5.411269816550131e-9,2.0930121646055254e-8,5.1654611893366436e-6,4.974401805760884e-7,2.672613711817784e-7,-4.7368331572940306e-6,2.2032981277836574e-8,0.0,0.00014614317659136179
0.01,9.453339474620729e-7,1.1144856607340425e-6,1.2829398873705065e-5,8.820813372911182e-5,-0.00037411929887781525,0.0009699138539383243,-7.057693648853638e-10,6.68442616614588e-9,3.172310877442622e-8,2.5929729968518855e-6,7.100546218178207e-7,2.08431172491594e-8,-3.0171506220462204e-6,2.2183456007836753e-8,0.0,9.666613960016847e-5
0.011,1.929241917753376e-6,4.5301508720343564e-7,1.7724948902204365e-5,9.688017948835302e-5,-0.0002890749707224269,-0.003767009969166808,7.079643111277752e-10,7.497892032073284e-9,4.692390539298726e-8,3.305026190663371e-6,8.076935669452578e-7,-3.5178267650802517e-7,-2.912529902329525e-6,2.2194293596545903e-8,0.0,0.00011306162602795133
0.012,3.236240206498496e-6,-6.26716453798603e-7,2.3700877668452912e-5,0.00019025546008425828,-0.000371953642441568,0.0024010191786310166,3.264649898559653e-9,7.4420451047068794e-9,6.755549283464198e-8,-2.3251529118757713e-8,1.0790862874380733e-6,-6.46753424604495e-7,-9.297726911465533e-7,2.2460796278186835e-8,0.0,0.00012086454416293348
0.013000000000000001,4.988274756516738e-6,-2.178669476034935e-6,3.084514360532074e-5,0.00015509055475046402,-0.0003651603800461246,0.0010587003986179163,7.339622406485026e-9,6.079089876335935e-9,9.472798276216869e-8,2.2976351408961874e-6,1.135490860400855e-6,-1.0180273228590975e-6,-2.5118106584045867e-6,2.2447922248639423e-8,0.0,0.000144878157909838
0.014,7.167816485053701e-6,-4.286727504447133e-6,3.917596835692754e-5,4.175832900104779e-5,-5.627675775831393e-5,0.0027417496397508416,1.3390734394395067e-8,2.8882355476206247e-9,1.2965609907130908e-7,3.407611033073902e-6,9.887932957655142e-7,-1.3779893357020166e-6,-6.156066273253287e-6,2.258454406781537e-8,0.0,0.00012731657678420263
0.015,8.798621602485918e-6,-6.582306057989809e-6,4.681461456614959e-5,0.00015455309242063005,1.7272648775308507e-6,-0.0008105474493879158,2.1417816430208164e-8,-2.568020477622837e-9,1.7280457902707628e-7,5.987870224693134e-6,1.0879279169750614e-6,-1.4321737421610886e-6,-5.508145104664871e-6,2.2519685748223402e-8,0.0,7.283923852260133e-5
0.016,1.0509670114488016e-5,-8.700240080080832e-6,5.381470092261486e-5,0.00019517015215773207,1.0037510500884647e-5,0.004061787080097389,3.107332431378566e-8,-1.0217090396715473e-8,2.2314238709798295e-7,5.435226604907811e-6,1.232384837478515e-6,-1.429079110051533e-6,-5.619995506372762e-6,2.2531827696650957e-8,0.0,3.447895601502678e-5
0.017,1.2101320546551799e-5,-1.0733315184705645e-5,6.0656280550992583e-5,0.00010541313490870948,-0.00033230009600689124,0.0006623694434698514,4.2390933020559204e-8,-1.9941864897828802e-8,2.8038623898846955e-7,9.395042666426602e-6,1.1465615985267753e-6,-1.428401942404907e-6,-8.7633116822502e-6,2.302609384217967e-8,0.0,2.302949789276048e-5
0.018000000000000002,1.3526331502945593e-5,-1.2665044711798186e-5,6.68181644351316e-5,-0.00012084328050441517,0.0004013130192501985,0.001361941105295561,5.521452446146875e-8,-3.164832146966346e-8,3.441808238417634e-7,1.0086674179083124e-5,9.120910798563508e-7,-1.7398092742421113e-6,-1.2378741377786545e-5,2.3601273120824295e-8,0.0,6.39670367411661e-5
0.019,1.470750962104848e-5,-1.4456675719052942e-5,7.247108250739288e-5,6.113885382081103e-5,-0.00015245096437827547,0.0058931045003855435,6.935047407799407e-8,-4.522427396080142e-8,4.1386024403844896e-7,1.1633624583206927e-5,9.846023804180447e-7,-1.3586170170151011e-6,-1.0343895472540729e-5,2.323125462596384e-8,0.0,5.608607269517619e-5
0.02,1.576446540737128e-5,-1.6089322825457946e-5,7.730912351232098e-5,0.00026169570592025774,-0.00014224474249318323,-0.0014608993985808895,8.46005022619175e-8,-6.050650793382877e-8,4.888158034771826e-7,1.725180051896836e-5,1.1945712116144928e-6,-1.5093346496795973e-6,-8.780280922885303e-6,2.2765658014887084e-8,0.0,7.989152771365248e-5
0.021,1.6692196295140995e-5,-1.759167890664261e-5,8.13320691678371e-5,5.813380105485703e-5,7.544988912379458e-5,0.005772174943487354,1.0084176211800299e-7,-7.735714933597416e-8,5.681949478128456e-7,1.6086184388678257e-5,1.0688783839119037e-6,-1.6461478701630126e-6,-1.281256469300867e-5,2.3271391153172967e-8,0.0,8.369040540334869e-5
0.022,1.7419481889073713e-5,-1.8928409394091733e-5,8.458395200050835e-5,6.719440814593726e-5,0.00024581939723323295,-0.0020909612312437556,1.1791107297826499e-7,-9.563171587061791e-8,6.512151908769069e-7,2.1376397714123818e-5,1.083938432249656e-6,-1.5626161827990283e-6,-1.3261211446093257e-5,2.3448660487802527e-8,0.0,8.337386737957653e-5
