time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.83662797252528e-5,0.00010476119509551102,-0.00013549682966182931,0.0,0.0,0.0,-1.2972885023094927e-7,1.76548899649134e-8,2.9511624497608218e-8,1.7848016583204598e-8,2.9512442837807417e-8,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-9.133841763243882e-5,-6.91547296874115e-5,-0.0010646118600874572,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-3.154937547834726e-7,-1.0039218710275302e-7,1.1870483532703761e-7,-4.905376014647094e-7,2.2217670079617406e-8,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00010713019072638863,0.00028884366624407537,0.0020498071815599015,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.286420519061532e-6,-5.248391568314996e-8,5.6232816321571584e-8,1.7216393246003106e-7,2.2519445513740684e-8,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00012293299704565437,0.000226771490254838,0.008343514360572294,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,1.177798052867964e-6,3.5558053695463006e-8,3.4112773300710864e-7,4.801919673126006e-8,2.250380642868063e-8,0.0,2.7611808971105294e-5
0.004,-3.06671455720591e-7,3.555934020783554e-7,1.1997285914411923e-6,0.00012265757392750383,0.00013243053258045744,-0.0027718999053336617,-2.7791650402996044e-10,4.1693846199798743e-10,9.690880199436228e-10,9.197286917489474e-6,8.878851217261109e-8,5.690065127300844e-7,-5.200733475984143e-7,2.2740433682237304e-8,0.0,6.351151844629407e-5
0.005,-3.4356686794440464e-7,6.458449041663713e-7,2.150409943317145e-6,0.0002449641898414864,-5.004374465187911e-5,0.0012256269675398716,-6.075960396532891e-10,9.158998442091669e-10,2.6412949943295177e-9,6.584729094233789e-6,3.8300640298840043e-7,6.928664213045202e-7,1.0083038677334857e-6,2.2542695822227562e-8,0.0,1.697408033836602e-5
0.006,-3.6359068233478196e-7,9.278190197245036e-7,3.0883016851289568e-6,0.0001562395513062157,-0.00025947506630698074,0.0012252338453065481,-9.632601567481162e-10,1.7050203831308298e-9,5.2592119827551924e-9,7.810280233112479e-6,4.080070776369638e-7,6.33173000259203e-7,-1.0894081392927497e-6,2.2708401766163177e-8,0.0,6.6412253573210725e-6
0.007,-2.3384033703149415e-7,1.1782796599476736e-6,4.102924310404446e-6,0.00021198886005254064,-0.00010693257302057317,-0.006145122975706219,-1.2738266137020983e-9,2.7612667677512994e-9,8.844930282549553e-9,8.77851308252465e-6,5.563633345743882e-7,3.75173220534633e-7,-1.1702627036442363e-6,2.272536582704191e-8,0.0,1.669707501752551e-5
0.008,-1.6861405205702032e-8,1.3559061050758777e-6,5.816783167518545e-6,7.331308146950663e-5,1.338661609641636e-5,0.0026946843381168714,-1.4166196593605806e-9,4.03845814097915e-9,1.372602518984243e-8,2.9070175994649426e-6,4.357479079088835e-7,2.6990369334061784e-7,-4.618742916148446e-6,2.212057727413277e-8,0.0,8.087146892495123e-5
0.009000000000000001,2.7375385209900436e-7,1.3645981254179514e-6,8.860757214258726e-6,5.401230215945517e-5,-0.00024282307892635295,-0.002742586522092686,-1.2857601963883036e-9,5.411013496418151e-9,2.0930771418810743e-8,5.165457008517552e-6,4.97492393144353e-7,2.6723756869468165e-7,-4.736431080852669e-6,2.2032985504996134e-8,0.0,0.00014623591820909904
0.01,9.475600248906842e-7,1.1129507912174152e-6,1.2833658993339338e-5,8.82537625205684e-5,-0.0003741920458757241,0.0009699173374338272,-7.035020288572758e-10,6.683218036332454e-9,3.172635828470271e-8,2.592975757217166e-6,7.101610861534644e-7,2.0766723563317678e-8,-3.016455593292797e-6,2.2183484749008087e-8,0.0,9.687826669844297e-5
0.011,1.9336292683562602e-6,4.4958091011453373e-7,1.773486175169652e-5,9.6949987429027e-5,-0.00028918047607760816,-0.003766995165705474,7.134674733813127e-10,7.494268423393447e-9,4.693402543065332e-8,3.3050280766850408e-6,8.078811503784881e-7,-3.5193308287869394e-7,-2.9114410052323837e-6,2.2194324718808277e-8,0.0,0.00011336591972709529
0.012,3.2439517889311054e-6,-6.332191635139947e-7,2.3720025667913023e-5,0.0001903521628532003,-0.0003720956823742036,0.002401019230886409,3.2761065053017e-9,7.433551936465985e-9,6.757984387961345e-8,-2.321682642639419e-8,1.079388860631255e-6,-6.470114352219071e-7,-9.281650790030653e-7,2.2460891976914074e-8,0.0,0.00012126886049398957
0.013000000000000001,5.000763139593306e-6,-2.189743391159827e-6,3.087806784813884e-5,0.00015522046911238546,-0.0003653436769838159,0.0010587255839354108,7.361057790049681e-9,6.061935549337701e-9,9.477798956242e-8,2.297676325594983e-6,1.1359422162749658e-6,-1.0184291020200541e-6,-2.5095964421348e-6,2.2448014339596282e-8,0.0,0.0001453873102416525
0.014,7.186837725141283e-6,-4.30421933187617e-6,3.922819940408393e-5,4.1932768645288454e-5,-5.6504938193887975e-5,0.0027418001927456636,1.3427776373548846e-8,2.856955793670665e-9,1.2974821419211815e-7,3.4076780245710826e-6,9.894256009981298e-7,-1.378575326900368e-6,-6.153235861021006e-6,2.2584615593271028e-8,0.0,0.00012793117704330294
0.015,8.824004280472153e-6,-6.607164109151408e-6,4.688854165304855e-5,0.00015468664907085378,1.7808968933420114e-6,-0.0008104833682530586,2.147727762802911e-8,-2.6206003983438247e-9,1.72960070096173e-7,5.987995760226724e-6,1.0886653216111935e-6,-1.43297777839557e-6,-5.506099217713887e-6,2.2519903925535942e-8,0.0,7.273229513879545e-5
0.016,1.0540856271484628e-5,-8.731170025162052e-6,5.3908054671059895e-5,0.0001952679257337795,1.001012299676553e-5,0.004061894948529349,3.1161027446520614e-8,-1.0297568654549346e-8,2.233815780280947e-7,5.435401157992534e-6,1.2331900593682609e-6,-1.4298327161282708e-6,-5.61867715779637e-6,2.2532057928986433e-8,0.0,3.448882329867153e-5
0.017,1.2139034351898222e-5,-1.0770546971491392e-5,6.076916606390955e-5,0.00010551201523588985,-0.00033239590849703317,0.0006624794997768203,4.251301176273392e-8,-2.0056379928507755e-8,2.8072849213315123e-7,9.395327180550712e-6,1.1474623880474234e-6,-1.4291842108936915e-6,-8.761980451106892e-6,2.3026338610716925e-8,0.0,2.2935862555023402e-5
0.018000000000000002,1.3571068518423851e-5,-1.2709335702833899e-5,6.69523046517553e-5,-0.00012074808635463937,0.00040123383562301216,0.0013620724437641938,5.537799132043337e-8,-3.1803636229951976e-8,3.446471097403074e-7,1.0087070834043993e-5,9.130738051459052e-7,-1.7406859048049183e-6,-1.2377546495060976e-5,2.3601572574841958e-8,0.0,6.388588151659637e-5
0.019,1.4758763234702215e-5,-1.4508025744222486e-5,7.262565911136785e-5,6.122583537015362e-5,-0.0001525187100852402,0.005893253806165445,6.95621488944407e-8,-4.5427659136441234e-8,4.144715636356669e-7,1.1634156342912448e-5,9.85661199679742e-7,-1.3595725970259087e-6,-1.0342912591319679e-5,2.32315621387234e-8,0.0,5.615311238200873e-5
0.02,1.5822084683380387e-5,-1.6147486059673464e-5,7.748308089134738e-5,0.00026176748010386117,-0.00014228235759792702,-0.0014607420754100646,8.48662613982264e-8,-6.076444842212141e-8,4.895898905761326e-7,1.7252495748873244e-5,1.1956850191140058e-6,-1.5103569881847597e-6,-8.77963532360274e-6,2.2766055270457906e-8,0.0,7.996847434954138e-5
0.021,1.6756029353947695e-5,-1.765652890857848e-5,8.152478881626957e-5,5.819639445891892e-5,7.540643549177647e-5,0.005772367385363126,1.0116829361473478e-7,-7.767663353631476e-8,5.691525780640837e-7,1.6087035396786336e-5,1.0700469990116063e-6,-1.6472078615949514e-6,-1.2812074441104079e-5,2.327185482606289e-8,0.0,8.376967563654347e-5
0.022,1.748918707550809e-5,-1.8999692318043946e-5,8.479429427810719e-5,6.72514067032968e-5,0.00024578214841270265,-0.0020907788639287226,1.1830438611885475e-7,-9.601928034217449e-8,6.523743998096149e-7,2.1377465179276886e-5,1.085151969794739e-6,-1.5637194469190983e-6,-1.3260902657881406e-5,2.344918566865845e-8,0.0,8.349227891357216e-5
