time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.557487312349881e-5,0.00010465188477950326,-0.00012419262052072876,0.0,0.0,0.0,-1.0550021163951168e-7,4.698630096262808e-9,3.1410321081041976e-8,1.8847326416124706e-8,2.498631204331044e-7,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-3.369006566184349e-5,-5.566776934139432e-5,-0.0005426632956668171,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-6.163378898782813e-7,-2.149818200017667e-8,1.3006248556474908e-7,-3.0904035887450916e-7,-1.8695607945895286e-5,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,9.955759774717443e-5,0.00029054140317834245,0.0007651442757089968,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.5943208844249843e-7,1.1707982873729502e-8,7.743952041612848e-8,-1.9052818816149127e-8,1.4907303411736712e-6,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00012251252998101212,0.00023085322647120084,0.004359032544086631,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,3.8979770308871845e-6,1.0058855224933195e-7,3.667423316928854e-7,-6.938569201874691e-8,-6.668362581734142e-6,0.0,2.7611808971105294e-5
0.004,-2.8801185671928625e-7,3.5034865658598523e-7,1.1650228895123037e-6,0.00015490780410075216,0.0001337481428996084,0.00035852593854275496,-2.714022507013925e-10,4.1544128400229176e-10,9.575973991383755e-10,5.0441135600100405e-6,1.5375253992028304e-7,5.981115299576412e-7,-4.2432295548696004e-7,-3.156930464327515e-6,0.0,5.651282544410207e-5
0.005,-3.13190419758704e-7,6.264373615745138e-7,2.078073894448898e-6,0.00019408729857319808,-2.8781679773252466e-5,0.0007579630809260215,-5.754366855402044e-10,9.015290412417523e-10,2.5735056358532242e-9,5.754940307315136e-6,4.769762379511638e-7,7.283830941419947e-7,5.019144296108296e-7,-2.60011262548021e-5,0.0,1.7255248909171123e-5
0.006,-3.2220078849442347e-7,8.98543146183983e-7,2.9852658815671074e-6,0.00020059657283625184,-0.00021851872398485008,0.0008672575129978535,-8.953918281855965e-10,1.6662016682780297e-9,5.103614115306846e-9,6.620482969528891e-6,4.5972617940386103e-7,6.964265863359365e-7,-7.400650776958851e-7,-4.7127773733231786e-5,0.0,6.693664308809551e-6
0.007,-1.778876197067542e-7,1.1409250776385288e-6,3.964963137395e-6,0.0002545942727538628,-6.34946581456558e-5,-0.0029977530439928768,-1.1577193599266693e-9,2.688950523829559e-9,8.569553063858386e-9,3.943820912053232e-6,6.181560080522761e-7,4.78612569102531e-7,-1.0033362582874893e-6,-4.237703143769794e-5,0.0,1.6658457370097364e-5
0.008,5.165485240887278e-8,1.3104795164892033e-6,5.687850298156319e-6,0.00030166421063121103,5.185642253721648e-5,3.150535478076448e-5,-1.237736600396484e-9,3.924841646915745e-9,1.331074778346449e-8,3.605568946289773e-6,3.9145461372404353e-7,4.1587395254391444e-7,-4.171884463333142e-6,-3.738080388529401e-5,0.0,8.826743087769289e-5
0.009000000000000001,3.601421786259975e-7,1.3078114927702064e-6,8.789558638834542e-6,0.000259966774733516,-0.0001894733557025138,-0.0016404026241917179,-1.0306343038307012e-9,5.246583958448418e-9,2.0418722724244606e-8,1.8521404642295415e-6,5.050320681113126e-7,4.6342563221169227e-7,-5.4679075294673795e-6,-6.564764451201567e-5,0.0,0.00014566004044421648
