time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.557487312349881e-5,0.00010465188477950326,-0.00012419262052072876,0.0,0.0,0.0,-1.0550021163951168e-7,4.698630096262808e-9,3.1410321081041976e-8,1.8847326416124706e-8,2.498631204331044e-7,0.0,0.0
0.001,-1.3502189157069372e-10,2.5039485577255944e-8,2.7233745337326165e-9,-3.3690065638586916e-5,-5.566776967460502e-5,-0.0005426632940813722,-7.261623633850755e-14,9.0249106066822e-12,1.3055926455900326e-12,-6.163378909979997e-7,-2.1498182012648885e-8,1.3006248570384608e-7,-3.0904035892457055e-7,-1.8695607506664562e-5,0.0,3.3434529687305938e-6
0.002,-3.067464627445228e-8,7.204739887308806e-8,6.573719479747689e-8,9.955760161046965e-5,0.00029054140129653285,0.0007651442644165105,-1.4946179893497878e-11,5.7060226110791533e-11,3.170219860782633e-11,-1.5943208553795257e-7,1.1707980283866292e-8,7.743952046104132e-8,-1.905283009829706e-8,1.49073238812761e-6,0.0,5.700195439174802e-6
0.003,-1.1537732760055522e-7,1.6259105427551244e-7,3.7653441004020374e-7,0.00012251254148366617,0.000230853260270856,0.004359032500718137,-8.143729559718634e-11,1.676012278330301e-10,2.2926449342147677e-10,3.897977010564183e-6,1.0058851369967064e-7,3.6674233110492737e-7,-6.938589100649109e-8,-6.668352322253225e-6,0.0,2.7612002002331778e-5
0.004,-2.877292790902366e-7,3.501807755738849e-7,1.1643828128937228e-6,0.00015491297074631037,0.0001337203729384151,0.0003585243304175482,-2.7128457965359537e-10,4.1531891838514737e-10,9.573161451083024e-10,5.04411430857958e-6,1.5377138349028021e-7,5.981112538339667e-7,-4.2422658211352674e-7,-3.1590255476042396e-6,0.0,5.642501310904061e-5
0.005,-3.126646025983958e-7,6.260030097091877e-7,2.076726824575988e-6,0.00019409253889349277,-2.8779060257282037e-5,0.0007579615481399437,-5.749048750123847e-10,9.010991819927222e-10,2.572202641088085e-9,5.7549395923529495e-6,4.769994148235186e-7,7.283554620715201e-7,5.020062055357674e-7,-2.6000500017374912e-5,0.0,1.7267516049220255e-5
0.006,-3.2145492333800604e-7,8.978585251915081e-7,2.983123057895558e-6,0.00020060138951646196,-0.00021851874391654854,0.0008672556736951968,-8.9422740871405e-10,1.6652153720038087e-9,5.100578533716964e-9,6.620480400595636e-6,4.597511559456715e-7,6.964015388049477e-7,-7.399935031735481e-7,-4.712738161176988e-5,0.0,6.695647797875772e-6
0.007,-1.7649176631308907e-7,1.1400805225095362e-6,3.961052713189439e-6,0.000254606820037776,-6.34433345210797e-5,-0.0029977577186602114,-1.1555445076810117e-9,2.687175124218479e-9,8.563639664200049e-9,3.943817168915198e-6,6.182233044768621e-7,4.785881388833696e-7,-1.0030305039443555e-6,-4.23723420209888e-5,0.0,1.6658222673072186e-5
0.008,5.5951740068565736e-8,1.3089458909519898e-6,5.6820463932960575e-6,0.0003017221064897336,5.1554584874639295e-5,3.150910442222682e-5,-1.2335062525506636e-9,3.922300623972875e-9,1.3298011571798868e-8,3.6055511627858445e-6,3.9176840857170665e-7,4.158966738680655e-7,-4.170038085345345e-6,-3.7403697184772005e-5,0.0,8.845664836496965e-5
0.009000000000000001,3.741827745501817e-7,1.300794235654665e-6,8.785394313762624e-6,0.00026012157838611823,-0.0001901576239399697,-0.0016403856895385956,-1.0179003508856406e-9,5.239993499953604e-9,2.0403971345413127e-8,1.8521054750491396e-6,5.059280181087061e-7,4.631395904090997e-7,-5.462448447394875e-6,-6.571599927908932e-5,0.0,0.0001458602003567034
