time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.557487312349881e-5,0.00010465188477950326,-0.00012419262052072876,0.0,0.0,0.0,-1.0550021163951168e-7,4.698630096262808e-9,3.1410321081041976e-8,1.8847326416124706e-8,2.498631204331044e-7,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-3.369006566184349e-5,-5.566776934139432e-5,-0.0005426632956668171,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-6.163378898782813e-7,-2.149818200017667e-8,1.3006248556474908e-7,-3.0904035887450916e-7,-1.8695607945895286e-5,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,9.955759774717443e-5,0.00029054140317834245,0.0007651442757089968,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.5943208844249843e-7,1.1707982873729502e-8,7.743952041612848e-8,-1.9052818816149127e-8,1.4907303411736712e-6,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00012251252998101212,0.00023085322647120084,0.004359032544086631,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,3.8979770308871845e-6,1.0058855224933195e-7,3.667423316928854e-7,-6.938569201874691e-8,-6.668362581734142e-6,0.0,2.7611808971105294e-5
0.004,-2.880257344387942e-7,3.503525609026469e-7,1.1650487076865298e-6,0.00015490750216499099,0.00013374978257867963,0.00035852600900720174,-2.714071041919822e-10,4.154424040600505e-10,9.57605971912161e-10,5.0441135227573265e-6,1.5375142279708117e-7,5.981115482494276e-7,-4.243286724968084e-7,-3.1568059698516026e-6,0.0,5.651802629441324e-5
0.005,-3.132154092289133e-7,6.264503478391995e-7,2.0781217987880076e-6,0.0001940869951140081,-2.8781833100683242e-5,0.0007579631409786404,-5.754615859473169e-10,9.015392300807733e-10,2.573553518651733e-9,5.75494033056846e-6,4.769748652431669e-7,7.283847277089281e-7,5.019089681943192e-7,-2.600116214008978e-5,0.0,1.725456297833004e-5
0.006,-3.222351124619904e-7,8.985612670205913e-7,2.9853310181399706e-6,0.00020059629692058454,-0.00021851872447052986,0.0008672575756445939,-8.954462205740525e-10,1.6662274420562754e-9,5.103718539647789e-9,6.62048305678108e-6,4.5972469972331684e-7,6.96428068772998e-7,-7.400693855126607e-7,-4.7127794961661547e-5,0.0,6.693582418579685e-6
0.007,-1.779567787141879e-7,1.1409404836942275e-6,3.965092281122404e-6,0.0002545935493820969,-6.349764370088736e-5,-0.0029977528142603425,-1.1578219105844507e-9,2.6889946899294905e-9,8.569746724468474e-9,3.9438209691146726e-6,6.181520707425561e-7,4.786140141887307e-7,-1.0033541893258626e-6,-4.237730126837875e-5,0.0,1.665855134642212e-5
0.008,5.142343550787061e-8,1.3105326150756053e-6,5.687971410579635e-6,0.0003016610168474096,5.187284919907333e-5,3.150499832585722e-5,-1.2379702509758344e-9,3.924910539342407e-9,1.3311066851710768e-8,3.6055697006862674e-6,3.9143725186828553e-7,4.158726416881405e-7,-4.17198603711994e-6,-3.737955567046654e-5,0.0,8.825347654263548e-5
0.009000000000000001,3.5935437783125256e-7,1.3081607407935957e-6,8.789484897907324e-6,0.0002599580203807009,-0.0001894342804282458,-0.0016404038288443253,-1.0313380148379285e-9,5.246829368123966e-9,2.0419020418592402e-8,1.8521419860874183e-6,5.049814447744558e-7,4.63441158668991e-7,-5.468216302922349e-6,-6.564370061320713e-5,0.0,0.00014564617157671907
