time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.557487312349881e-5,0.00010465188477950326,-0.00012419262052072876,0.0,0.0,0.0,-1.0550021163951168e-7,4.698630096262808e-9,3.1410321081041976e-8,1.8847326416124706e-8,2.498631204331044e-7,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-3.369006566184349e-5,-5.566776934139432e-5,-0.0005426632956668171,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-6.163378898782813e-7,-2.149818200017667e-8,1.3006248556474908e-7,-3.0904035887450916e-7,-1.8695607945895286e-5,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,9.955759774717443e-5,0.00029054140317834245,0.0007651442757089968,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.5943208844249843e-7,1.1707982873729502e-8,7.743952041612848e-8,-1.9052818816149127e-8,1.4907303411736712e-6,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00012251252998101212,0.00023085322647120084,0.004359032544086631,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,3.8979770308871845e-6,1.0058855224933195e-7,3.667423316928854e-7,-6.938569201874691e-8,-6.668362581734142e-6,0.0,2.7611808971105294e-5
0.004,-2.880047984852666e-7,3.503466708558631e-7,1.1650097583627987e-6,0.00015490795766595194,0.00013374730895513072,0.0003585259027043871,-2.713997822486499e-10,4.154407143771512e-10,9.575930391765226e-10,5.044113578956875e-6,1.5375310809166306e-7,5.981115206543982e-7,-4.2432004780285683e-7,-3.1569937824939004e-6,0.0,5.6510180283263666e-5
0.005,-3.1317240728832815e-7,6.264332897285574e-7,2.07805991527673e-6,0.0001940875055093225,-2.878130624976865e-5,0.0007579630572206387,-5.754216116549999e-10,9.015247097503969e-10,2.573485437339771e-9,5.754940298684634e-6,4.769771518051855e-7,7.283822673140972e-7,5.019183943015419e-7,-2.60010816809767e-5,0.0,1.7256548470411597e-5
0.006,-3.2217554656813473e-7,8.985405586848849e-7,2.985253503890057e-6,0.00020059676685016357,-0.00021851867818183497,0.0008672574952566636,-8.95355339042173e-10,1.6661941155921942e-9,5.103580808635669e-9,6.620482941402842e-6,4.597271896230499e-7,6.964261280249603e-7,-7.40061762060009e-7,-4.712776246003987e-5,0.0,6.693792676412236e-6
0.007,-1.778399367049575e-7,1.1409275973157781e-6,3.964926552502792e-6,0.0002545947029365002,-6.349297431822355e-5,-0.0029977531613732756,-1.1576489643618644e-9,2.6889422889898054e-9,8.56949890920827e-9,3.943820940856022e-6,6.181583443826449e-7,4.786121767670324e-7,-1.003325873388165e-6,-4.237688413690831e-5,0.0,1.6658357343218247e-5
0.008,5.1908540680882694e-8,1.3104192747786029e-6,5.6880508964482e-6,0.0003016679218449896,5.183495644057672e-5,3.1506049067153274e-5,-1.2375426218143338e-9,3.9248190617601465e-9,1.3310738991845924e-8,3.6055683745532443e-6,3.914743282034999e-7,4.1587497064599487e-7,-4.17176247667449e-6,-3.738246404554461e-5,0.0,8.831553406958135e-5
0.009000000000000001,3.61099170586556e-7,1.3073283697144033e-6,8.790870863103966e-6,0.00025997747057808523,-0.00018952222489877733,-0.0016404004103211943,-1.0298837192647617e-9,5.2463266467498024e-9,2.0419425631006117e-8,1.8521396902063537e-6,5.050932597173808e-7,4.6340468861522496e-7,-5.467525296685094e-6,-6.565255799200745e-5,0.0,0.00014575196036644978
