time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.833390769122128e-5,8.741070341634446e-5,-0.0002653232458046991,0.0,0.0,1.5707963267948966,-1.1114744736270116e-10,1.0654798449119317e-9,9.603959812195725e-10,1.0938698682485591e-9,1.0271025925239564e-9,0.0,0.0
0.001,-1.3501564817816163e-10,2.5031445093977965e-8,2.7228339884830136e-9,-0.0001838557391136039,1.2979671156546598e-5,-0.0012722892224647806,-9.021709941222394e-12,-7.258844016313363e-14,1.5707963267962017,-2.654944414050805e-7,6.77575738108056e-8,4.1861878245395704e-8,5.214516131809401e-10,-2.043254792114348e-9,0.0,3.343465556591452e-6
0.002,-3.0675172811702174e-8,7.203451126037067e-8,6.573648027134311e-8,0.00020269989085924762,0.0002263786993350543,0.0019976192768292765,-5.7046943576272976e-11,-1.4946846150467384e-11,1.5707963268266005,-1.5376828518752307e-6,-1.1500921700459751e-7,1.0814893210560091e-7,8.575703872921717e-10,-6.884139832617616e-10,0.0,5.700203075475176e-6
0.003,-7.852933479174792e-8,1.5134553795352825e-7,3.064351902101267e-7,0.00011238126421356934,0.00022911222893544402,0.00863834062342974,-1.6425738694314613e-10,-6.747760994699968e-11,1.5707963269992768,4.604732282986433e-7,8.650453126205912e-8,3.2526970828795023e-7,4.930036771364601e-10,-7.973533192109372e-10,0.0,1.654341859142676e-5
0.004,-7.490288874292588e-8,2.592302003438177e-7,7.12367185560126e-7,7.75542393824057e-5,0.00010602544911448366,-0.0032407775368408307,-3.6935544021657575e-10,-1.440698770206701e-10,1.5707963274972503,9.09847120867797e-6,1.9857631526607716e-7,5.646668042570698e-7,3.973790117268936e-10,-7.022409329151458e-10,0.0,1.5743124060753835e-5
0.005,4.3599314799719235e-8,4.244949519104995e-7,1.3510802801631495e-6,0.00041051135276020946,4.2919122921369386e-5,0.0012517041988347943,-7.021793177431992e-10,-1.6729491300103652e-10,1.5707963285040425,5.8578815830337255e-6,2.778771290363132e-7,5.737355571600895e-7,9.340373593215157e-10,-1.3788242001367752e-9,0.0,2.7890649294209248e-5
0.006,2.4503573307704496e-7,6.691327434580329e-7,2.1743270137348914e-6,-4.945501768420578e-5,-0.00012113173026457916,0.0010917988070651917,-1.2464439752160529e-9,-2.5158413291251158e-11,1.5707963302588022,7.109575791325352e-6,6.843759320971169e-7,4.727495198983932e-7,-3.0076349473530764e-10,-2.3140110036588265e-9,0.0,1.7114489466277377e-5
0.007,5.592892286269483e-7,8.897943500129699e-7,3.0994617403510116e-6,0.00020220077569930702,-7.551218697476292e-5,-0.006554140188940983,-2.0315231597158896e-9,3.655377758085162e-10,1.5707963328812997,8.201101993074458e-6,6.357809320260071e-7,3.197287803158222e-7,-3.581176622680796e-11,-2.527990602354283e-9,0.0,2.0348218394892163e-5
0.008,2.276775717033402e-6,5.600277326835927e-7,6.878380843575936e-6,-0.00011001905099103685,-9.338077944221344e-5,0.002838013796619507,-2.8697752636043233e-9,1.5732231701393658e-9,1.5707963373938552,1.6472490227442574e-6,8.362598355801355e-7,2.0834142467436248e-7,-5.654153532652246e-10,-2.7555598894421697e-9,0.0,0.0004929344953391006
0.009000000000000001,5.380636878994359e-6,-1.5853998721978909e-6,1.638939138721426e-5,0.00016587512296475693,-0.00024387292652539944,-0.003331808852450175,-2.4901453282918698e-9,5.3628169339741864e-9,1.5707963486544654,4.484567289462602e-6,7.3027350065547e-7,-3.0072909318543794e-8,6.733781004799238e-10,-3.624460499483027e-9,0.0,0.0004615938265396508
0.01,1.0230211210591528e-5,-5.441449533163628e-6,3.116333413176294e-5,0.0004508568062738031,-0.00044893935355681206,0.0010108519957397425,8.474167611526232e-10,1.2957356555405027e-8,1.5707963718724671,1.152979710567235e-6,8.983786208477038e-7,-4.0852023918504814e-7,1.365025687342517e-9,-4.539040580405107e-9,0.0,0.0006881107408493712
0.011,1.7232592809976106e-5,-1.1706948880104045e-5,5.295328195886208e-5,0.00032060903380651913,-0.00045667576859629026,-0.004155942642192607,9.23075959648023e-9,2.6550375176903298e-8,1.5707964134055206,2.1634890159665397e-6,1.348060117672499e-6,-9.020587980137999e-7,1.0027830379296813e-9,-4.842459266274255e-9,0.0,0.0007106389461253448
0.012,2.680220802426788e-5,-2.0572666218098205e-5,8.260081834168022e-5,0.0006737304017357269,-0.000560593859106798,0.0027636659688739067,2.512884385963723e-8,4.830168667876888e-8,1.5707964804255286,-1.991755974223942e-6,1.673042876578883e-6,-1.485660751326957e-6,2.352321268538116e-9,-5.727122847312122e-9,0.0,0.0009745849919151313
0.013000000000000001,3.8963872046692886e-5,-3.2621634389896366e-5,0.00012110278797592459,0.00030009741147669173,-0.0006135983932597143,0.0009263494994355716,5.148808102277544e-8,8.103473925307738e-8,1.5707965816656573,7.718010210417082e-7,2.3435625608964167e-6,-2.076052574863415e-6,1.3575857376694665e-9,-5.94843303204217e-9,0.0,0.000873064693913485
0.014,5.319172906237514e-5,-4.736543545218779e-5,0.00016674758949430493,9.8527847713161e-6,-0.00040297782774876027,0.0027816361971460006,9.129603809500346e-8,1.2695441767118847e-7,1.5707967250861674,1.6982054676798972e-6,2.6420929264100326e-6,-2.615936398275194e-6,8.742191499432418e-10,-5.410810727899356e-9,0.0,0.0008135512832273279
0.015,6.903489495198084e-5,-6.44170829644355e-5,0.00021826696884978293,0.0004993865501843001,-0.0003296361184223036,-0.0009500282309348198,1.4703312252224177e-7,1.8797579761252073e-7,1.5707969172321825,4.479680751415607e-6,2.654127925596041e-6,-2.9613313027224308e-6,1.5444535636833494e-9,-5.044989887035974e-9,0.0,0.000607253686607783
