time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.833390769122128e-5,8.741070341634446e-5,-0.0002653232458046991,0.0,0.0,0.0,-1.1114744736270116e-10,1.0654798449119317e-9,9.603959812195725e-10,1.0938698682485591e-9,1.0271025925239564e-9,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-0.0001838557392296533,1.2979672654116136e-5,-0.0012722892217237236,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-2.6549444140052286e-7,6.775757393207326e-8,4.186187504604264e-8,5.214516554616761e-10,-2.0432550033223845e-9,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00020269989208655955,0.0002263787090980228,0.001997619283868872,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.537682851135121e-6,-1.1500921703401884e-7,1.0814892217946441e-7,8.575704186719537e-10,-6.884144378023458e-10,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00010861051426040887,0.00023114514665713342,0.00863840914012548,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,4.6047356100419413e-7,8.646600199314712e-8,3.269021949521189e-7,4.811648381645365e-10,-7.781361623009841e-10,0.0,2.7611808971105294e-5
0.004,-3.088878246453553e-7,3.5621567255205364e-7,1.2038496627259756e-6,6.047165975289847e-5,0.00011796960468184451,-0.003240285206316725,-2.786886230538113e-10,4.171150627148089e-10,9.704478649957561e-10,9.098539627062719e-6,1.9471889905759913e-7,5.733210986401464e-7,3.706684248267285e-10,-6.368892330120297e-10,0.0,6.434346486096835e-5
0.005,-3.476480244486702e-7,6.47983215598564e-7,2.158314401435686e-6,0.0004051808511439598,4.552795532483653e-5,0.001252512305159545,-6.116520207679989e-10,9.175510491966334e-10,2.649096338242435e-9,5.858442245204687e-6,2.5699935805597595e-7,5.885082364896731e-7,9.264675921215427e-10,-1.3543606041766587e-9,0.0,1.6866422116360137e-5
0.006,-3.692073852462258e-7,9.308301558114397e-7,3.099086278820744e-6,-5.419559357349384e-5,-0.00012170224788785034,0.001092724434894425,-9.721335041531873e-10,1.7092469682476932e-9,5.276367495126824e-9,7.1109445401205635e-6,6.581643072027833e-7,4.873891959408896e-7,-3.09362235897809e-10,-2.307448182901195e-9,0.0,6.627454276583757e-6
0.007,-2.392034652631878e-7,1.1826681917584164e-6,4.112817919553421e-6,0.00020239025990724182,-7.427503436100788e-5,-0.006553125484113986,-1.288466212957803e-9,2.7690747933177076e-9,8.873028806559854e-9,8.203396269664339e-6,6.048521891275993e-7,3.3484874249157377e-7,-3.7167917557044045e-11,-2.514445425940424e-9,0.0,1.6658827764180224e-5
0.008,-2.849418043470119e-8,1.364377211682507e-6,5.817700118763032e-6,-0.0002622228095153477,2.489882899593834e-6,0.0028369381577820945,-1.4386891131445719e-9,4.0521730350211465e-9,1.3761770774166323e-8,1.650561218203022e-6,8.049132623623717e-7,2.7381272842350767e-7,-7.53449149852637e-10,-2.4308223533445683e-9,0.0,7.933969544247548e-5
0.009000000000000001,2.308974544873218e-7,1.3907023248738323e-6,8.835767169820928e-6,3.054669585332451e-5,-0.00012877572029969166,-0.0033395100047920283,-1.3319491094819952e-9,5.440113388390812e-9,2.0955155754351702e-8,4.486831085924085e-6,5.468361240711152e-7,1.49204469915353e-7,5.20178716333284e-10,-3.1937777610241816e-9,0.0,0.0001452431650218017
