iteration,score,best_so_far
1,314.64018476045476,314.64018476045476
2,354.9174909143366,314.64018476045476
3,332.06279257298826,314.64018476045476
4,352.8080361243595,314.64018476045476
5,285.07064833857834,285.07064833857834
6,292.9757266369621,285.07064833857834
7,298.5707449014504,285.07064833857834
8,324.6442400065101,285.07064833857834
9,280.58955067770233,280.58955067770233
10,377.73402904940696,280.58955067770233
11,448.67276391084926,280.58955067770233
12,345.2743031807429,280.58955067770233
13,301.519387883726,280.58955067770233
14,341.32484423127016,280.58955067770233
15,301.9454431997861,280.58955067770233
