estimator,traj_name,mode,ref_type,seed,pose_rmse,velocity_nrmse,inslip_nrmse,ce,emax,settling_time,overshoot,pose_drift_rate,dropout_drift
kalman,coupled_vomega,velocity,velref,42,NaN,0.1341566786753194,0.1310062056380992,4.030534835375072,0.29691584186364994,NaN,NaN,NaN,NaN
kalman,ellipse,pose,posref,42,2.0397922825862733,NaN,NaN,55.30850744829213,3.267042204267539,14.22915108365004,3266.0422042675386,0.39092483054270966,3.267042204267539
kalman,multisine_75percent_cap,velocity,velref,42,NaN,0.36145745917273464,0.39982688920255366,8.51853271798113,0.2744284547391361,NaN,NaN,NaN,NaN
kalman,octagon,velocity,velref,42,NaN,0.8265793668658343,0.8071592390752458,5.948317877331974,0.09164649565554427,NaN,NaN,NaN,NaN
kalman,spiral_orbit,velocity,velref,42,NaN,0.34617553914074367,0.3612876009379862,55.928593868054236,1.3661177929382942,NaN,NaN,NaN,NaN
kalman,long_circle,velocity,velref,42,NaN,0.5949137639775652,0.6451492815071068,49.50285430527544,2.040817119540409,NaN,NaN,NaN,NaN
kalman,docking,pose,posref,42,1.3666524646653384,NaN,NaN,3.232256737256657,1.72643162493061,10.0,0.5441673887401057,1.2842954254860701,1.72643162493061
kalman,coupled_vomega,velocity,velref,43,NaN,0.16518606494324106,0.16552967993305126,5.745718959944256,0.5082986458346505,NaN,NaN,NaN,NaN
kalman,ellipse,pose,posref,43,3.4770656036093452,NaN,NaN,92.49203498740228,5.465101780419573,20.18105276579142,5464.101780419573,0.19979504628077063,5.465101780419573
kalman,multisine_75percent_cap,velocity,velref,43,NaN,0.1837536876693864,0.17415695712905302,6.8287778243264325,0.15404967956437776,NaN,NaN,NaN,NaN
kalman,octagon,velocity,velref,43,NaN,3.680965099445872,4.233238795309545,7.445126555387574,0.33042271226869124,NaN,NaN,NaN,NaN
kalman,spiral_orbit,velocity,velref,43,NaN,0.22907423630865967,0.12294995248151232,96.0,0.7429138655741674,NaN,NaN,NaN,NaN
kalman,long_circle,velocity,velref,43,NaN,0.3288628258123675,0.27218616040534654,79.80000000000004,0.6185550467781689,NaN,NaN,NaN,NaN
kalman,docking,pose,posref,43,1.3981461826391928,NaN,NaN,3.129645677147502,1.8114118922554137,10.0,0.6201760505338518,1.335319287893214,1.8114118922554137
smo,coupled_vomega,velocity,velref,42,NaN,2.0800111835663952,2.052569176483315,96.0,1.9766732808860477,NaN,NaN,NaN,NaN
smo,ellipse,pose,posref,42,8.58469017630983,NaN,NaN,96.0,14.019134116359098,23.336243537787368,14018.134116359097,0.5968035794003075,14.019134116359098
smo,multisine_75percent_cap,velocity,velref,42,NaN,6.944121945044505,6.329016684762145,91.2290625277343,2.089361581249981,NaN,NaN,NaN,NaN
smo,octagon,velocity,velref,42,NaN,3.8374908462591057,3.8239295028502576,96.0,1.047717523729679,NaN,NaN,NaN,NaN
smo,spiral_orbit,velocity,velref,42,NaN,1.157191141621027,1.4262233382942229,96.0,2.3861894861068844,NaN,NaN,NaN,NaN
smo,long_circle,velocity,velref,42,NaN,1.2568937665170177,1.6530446634461267,96.0,2.0774481062622887,NaN,NaN,NaN,NaN
smo,docking,pose,posref,42,0.6888627250746927,NaN,NaN,27.148305135788966,1.118033988749895,10.0,0.0,0.021340605685130402,1.118033988749895
smo,coupled_vomega,velocity,velref,43,NaN,1.1802341150608926,1.6314564072733464,96.0,2.4778490060938494,NaN,NaN,NaN,NaN
smo,ellipse,pose,posref,43,1.1566337022925924e-9,NaN,NaN,NaN,2.385186217307722e-9,0.0,0.0,2.385186217307722e-6,2.385186217307722e-9
smo,multisine_75percent_cap,velocity,velref,43,NaN,5.511874320114802,5.192520208102421,96.0,0.9944179646133497,NaN,NaN,NaN,NaN
smo,octagon,velocity,velref,43,NaN,20.497964253307522,19.86481153259752,86.6448594952625,2.1821424620546277,NaN,NaN,NaN,NaN
smo,spiral_orbit,velocity,velref,43,NaN,1.0394806774483933,1.3492598477088407,96.0,1.9666546627719477,NaN,NaN,NaN,NaN
smo,long_circle,velocity,velref,43,NaN,4.276487076238109,5.410945144950316,96.0,2.020637241582109,NaN,NaN,NaN,NaN
smo,docking,pose,posref,43,0.7019739453746586,NaN,NaN,7.769879333607337,1.118033988749895,10.0,0.0,0.33768743373038346,1.118033988749895
