time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.266205113510413e-5,9.247585010392422e-5,-1.1756276926877894e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-7.493971032403366e-5,-1.7657655216030206e-5,-7.130319970622906e-5,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-1.1756276926877896e-8,6.266205113510413e-8,9.247585010392423e-8,0.0,0.0,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,9.799943437037008e-5,0.0002292540851797802,3.191019201223868e-5,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-8.305947663310696e-8,-1.2277659396517808e-8,7.481819576890601e-8,0.0,0.0,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00011821748177498043,0.00022889534520733042,0.0004820202636861081,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,-5.114928462086828e-8,8.572179401557627e-8,3.040722728089037e-7,0.0,0.0,0.0,2.7611808971105294e-5
0.004,-2.696606819046058e-7,3.451813667941955e-7,1.1308744099491363e-6,0.00013323220795041532,0.00011612475781541527,0.0002794313158616831,-2.649740401132699e-10,4.1395252672034385e-10,9.46229074608053e-10,4.308709790652398e-7,2.039392874983897e-7,5.329676119694942e-7,0.0,0.0,0.0,4.964413428952751e-5
0.005,-2.856503240612334e-7,6.070515030541282e-7,2.005428712561668e-6,0.00022567091446988613,2.03300566113119e-5,0.0003343509996104456,-5.452589492987772e-10,8.874959316492882e-10,2.5074530334356505e-9,7.103022949269229e-7,3.371714454140046e-7,6.490924271907906e-7,0.0,0.0,0.0,1.720877546814255e-5
0.006,-2.851791959483569e-7,8.684601840895038e-7,2.8800687968719057e-6,0.0001643748300407047,-0.00017938581364601537,0.00037844964502407527,-8.330331815719102e-10,1.6272769635739299e-9,4.948544087022079e-9,1.0446532945373686e-6,5.62842345443348e-7,6.694226440966658e-7,0.0,0.0,0.0,6.714498720081986e-6
0.007,-1.2784575714524554e-7,1.1016689056341976e-6,3.824482151269697e-6,0.00021869011893225912,-9.781571714258169e-5,-3.4416199047974396e-5,-1.052188151965664e-9,2.615219264765546e-9,8.292145326295935e-9,1.4231029395614439e-6,7.272173628799442e-7,4.900370021654561e-7,0.0,0.0,0.0,1.6716909000004795e-5
0.008,1.2082025949233537e-7,1.25928592305088e-6,5.552498540509278e-6,0.00014882070926324926,-3.3982720474363466e-6,0.0001405313401083379,-1.0739571849466225e-9,3.806907076782724e-9,1.2886802030981919e-8,1.3886867405134694e-6,9.459076210138165e-7,3.9222159624152453e-7,0.0,0.0,0.0,9.531569872249344e-5
0.009000000000000001,4.5507489760512737e-7,1.2321799761991733e-6,8.748501815185891e-6,0.00010506142739070535,-0.00018535565050598732,-7.55876887451951e-5,-7.848787530867793e-10,5.066037911033774e-9,1.9900784986502075e-8,1.5292180806218074e-6,1.0947283349960575e-6,3.888235308594371e-7,0.0,0.0,0.0,0.0001523994003003526
0.01,1.197195100832538e-6,9.255282633867377e-7,1.2913180451876e-5,0.00010756187127825261,-0.00033181599986462356,-8.191579412728818e-6,1.0911315565499303e-11,6.180304101600405e-9,3.0674800780421155e-8,1.4536303918766121e-6,1.1997900458358522e-6,2.0346804101550086e-7,0.0,0.0,0.0,0.00010447607179837753
0.011,2.2604862900247234e-6,1.8533382107090237e-7,1.805743920681736e-5,0.00010899428536776685,-0.0002869461453206472,-0.00027603765515033115,1.7163838006529797e-9,6.766553033881593e-9,4.6081621434063e-8,1.445438812463883e-6,1.307352399451813e-6,-1.2834780249356703e-7,0.0,0.0,0.0,0.00011705180004989591
0.012,3.6636674408005277e-6,-9.866589626557441e-7,2.4328890993667313e-5,0.0001931883166361071,-0.00034659241969199183,-8.273155386450724e-5,4.649888843624157e-9,6.398345455837003e-9,6.718771307851703e-8,1.169401157313552e-6,1.4163470995825617e-6,-4.152937902693441e-7,0.0,0.0,0.0,0.00012873056292725643
0.013000000000000001,5.5197521398514055e-6,-2.6498507510642407e-6,3.181745787367215e-5,0.00016203761933348545,-0.00036216480334160683,-2.2459296046884594e-5,9.206691349965198e-9,4.61913835835241e-9,9.516356340777698e-8,1.0866696034490446e-6,1.6095358215241133e-6,-7.618859840464579e-7,0.0,0.0,0.0,0.00014655010996304774
0.014,7.79172337318785e-6,-4.8651909286992746e-6,4.047393302205846e-5,9.953243953788647e-5,-0.00011709877455846191,0.0001545900739948585,1.583774693645179e-8,9.002250683586936e-10,1.3123383377570772e-7,1.06421030740216e-6,1.7715738344109864e-6,-1.1240506113064953e-6,0.0,0.0,0.0,0.00012585659555730132
0.015,9.498471378502185e-6,-7.260712556402824e-6,4.839401467585676e-5,0.00018384979347569358,-3.2826053346353296e-5,6.9685792666045e-5,2.4528280149048093e-8,-5.184318258945897e-9,1.7582508092360298e-7,1.2188003813970184e-6,1.8711063985665394e-6,-1.2411492799414428e-6,0.0,0.0,0.0,7.761598340637191e-5
0.016,1.1288210984385667e-5,-9.47657811034938e-6,5.565584950349476e-5,0.0002145818476204825,-9.074548383113369e-6,0.00034620836773585693,3.492309646086354e-8,-1.3561417507699555e-8,2.278731227783734e-7,1.2884861740630634e-6,2.054956232050503e-6,-1.2739751092115734e-6,0.0,0.0,0.0,3.5929681097587266e-5
0.017,1.2949562537410885e-5,-1.1598315404447532e-5,6.270327713513794e-5,0.00017369125127378361,-0.00022716663191509214,0.00035146214117645,4.705473560210969e-8,-2.4107741670135278e-8,2.8707004107553446e-7,1.6346945417989206e-6,2.2695380913632376e-6,-1.2830493811089353e-6,0.0,0.0,0.0,3.0455402112472377e-5
0.018000000000000002,1.4432713212369973e-5,-1.3608437692604783e-5,6.903522043750808e-5,-2.208331103253867e-5,0.00025591171377389974,0.0004128979479515203,6.075606178303905e-8,-3.671892162962864e-8,3.5299616391433226e-7,1.9861566829753706e-6,2.4432297139848425e-6,-1.5102157290915835e-6,0.0,0.0,0.0,6.716371315345677e-5
0.019,1.5674232551123763e-5,-1.547181631578844e-5,7.481611181646712e-5,9.574727228040046e-5,-2.4269740554448433e-5,0.0007906887781769067,7.582768944323623e-8,-5.1274263187024307e-8,4.2496224885979775e-7,2.3990546309268908e-6,2.421145894671587e-6,-1.2543040591791043e-6,0.0,0.0,0.0,6.111424728596063e-5
0.02,1.677603432411506e-5,-1.7171117818605595e-5,7.975345434329295e-5,0.0002575806214715272,-0.00012054940693213536,0.0006082827139173974,9.206713219535623e-8,-6.760554003765169e-8,5.023114122895398e-7,3.1897434091037975e-6,2.516893225176145e-6,-1.2785735700305459e-6,0.0,0.0,0.0,8.308618275992057e-5
0.021,1.773943807346384e-5,-1.872816391947798e-5,8.384747128385367e-5,0.0001121727815696539,3.543794210859938e-5,0.0009747727965192436,1.0933826269421937e-7,-8.556599380906032e-8,5.841717461700134e-7,3.798026123021195e-6,2.7744742311680383e-6,-1.3991221553459783e-6,0.0,0.0,0.0,8.697906274751792e-5
0.022,1.849298900427586e-5,-2.010864650640331e-5,8.714024054370859e-5,0.00010370949652964394,0.0001902850491724201,0.000719996378617251,1.274676545559165e-7,-1.0499859623812201e-7,6.697253477259765e-7,4.772798919540438e-6,2.886646878142653e-6,-1.3636837872024798e-6,0.0,0.0,0.0,8.672195009820097e-5
0.023,1.900419311974679e-5,-2.1272201091293162e-5,8.98282474062323e-5,2.9409998153850774e-5,4.868225859788595e-5,0.0004908322627207474,1.4623527999980401e-7,-1.25708070697774e-7,7.58255130516413e-7,5.4927952981576886e-6,2.9903554664788385e-6,-1.173398243047654e-6,0.0,0.0,0.0,7.304036449335888e-5
0.024,1.9335699436984656e-5,-2.2231399124799177e-5,9.166815387675768e-5,-0.000149597016960281,-2.465512696964442e-5,-3.340763455194078e-5,1.6542046815293795e-7,-1.4747221920934092e-7,8.490690469931198e-7,5.983627560878436e-6,3.0197651972305646e-6,-1.124715822907403e-6,0.0,0.0,0.0,8.686974283229333e-5
0.025,1.9289847107110614e-5,-2.303798032033933e-5,9.30092976150372e-5,-0.00021058319190889676,2.9927280158677365e-5,-0.0007627327427792029,1.8476225570655507e-7,-1.7011760364733834e-7,9.414342091453947e-7,5.950219926326495e-6,2.870168327800059e-6,-1.1493718450094398e-6,0.0,0.0,0.0,5.8816851654852415e-5
0.026000000000000002,1.8840069532340178e-5,-2.370270384100067e-5,9.396915358283769e-5,-0.00017804883446895605,0.0001306591189638222,-0.00019391632717611794,2.038556987550472e-7,-1.9349901354190314e-7,1.0349464909287334e-6,5.187487183547291e-6,2.6595849578209912e-6,-1.119445817867597e-6,0.0,0.0,0.0,5.848837574814057e-5
0.027,1.810279665724017e-5,-2.4135125625095106e-5,9.421502898162186e-5,-0.00016796073914662892,-8.249974482042579e-5,-0.0007686375912269137,2.2235425374063613e-7,-2.1744177084089956e-7,1.1290882933376706e-6,4.993570856371173e-6,2.481535445561926e-6,-9.887876225315796e-7,0.0,0.0,0.0,7.85587392447807e-5
0.028,1.683727940094514e-5,-2.4303969717850396e-5,9.403517267290447e-5,-2.1369440027081116e-5,0.00019323296420302962,-0.00016127706430400118,2.398677013888256e-7,-2.4167734932188623e-7,1.223236675210171e-6,4.2249332651442606e-6,2.3135751183857125e-6,-1.0712882060748288e-6,0.0,0.0,0.0,6.959669886762503e-5
0.029,1.530103671312211e-5,-2.417242104847655e-5,9.356233832584665e-5,7.93661346928285e-5,0.00010426179041558747,-0.0007366901545657121,2.5596718180824966e-7,-2.6594585471013693e-7,1.3170573592843128e-6,4.0636562008402585e-6,2.2922048619624437e-6,-8.780553321579819e-7,0.0,0.0,0.0,6.742632302442484e-5
0.03,1.3752211192849436e-5,-2.3775357829910127e-5,9.210414582250621e-5,0.00012561483265091585,9.254791037777227e-5,-0.0003694599010943963,2.7050394288380863e-7,-2.8992862619368795e-7,1.4099738550386372e-6,3.326966046274546e-6,2.371570572970546e-6,-7.737932192265699e-7,0.0,0.0,0.0,9.173253709422883e-5
0.031,1.2013123416141873e-5,-2.3243440682316716e-5,8.962096029926598e-5,9.313684906873864e-5,0.00037000333540451806,-0.0008795741803219216,2.8339833246038045e-7,-3.1344932601462723e-7,1.500906266038274e-6,2.9575061451801497e-6,2.497185097717011e-6,-6.812448909330266e-7,0.0,0.0,0.0,9.8450789188958e-5
0.032,1.0130572943066752e-5,-2.2517179248098875e-5,8.624016506189159e-5,8.930608196452345e-6,0.00017647348912545148,-0.0006388891964280608,2.944791736589369e-7,-3.3634590828752533e-7,1.5888996922945412e-6,2.077931964858228e-6,2.590320852498204e-6,-3.1124128007732327e-7,0.0,0.0,0.0,9.512882087207988e-5
0.033,7.989481735289349e-6,-2.152331318063027e-5,8.194969368865881e-5,0.00010842010572571946,0.00042480761925198864,-0.0007645569409902725,3.035541779863057e-7,-3.583907546087399e-7,1.673061988683559e-6,1.4390427684301672e-6,2.599251093994733e-6,-1.3476777239505656e-7,0.0,0.0,0.0,9.794527151428614e-5
0.034,5.6624106597093156e-6,-2.0152082613960194e-5,7.617923967338615e-5,0.00010821349865484955,0.00030555766508361495,-0.0007041218102244994,3.1041516633264e-7,-3.7926643531373467e-7,1.752274951741153e-6,6.744858274398947e-7,2.7076705884040076e-6,2.9004000287766126e-7,0.0,0.0,0.0,0.00018276182550936
0.035,3.2889714347151653e-6,-1.843448774704416e-5,6.976115458608166e-5,6.67685174517143e-5,0.00027627642429278097,-0.0003916708560963181,3.1489110011817793e-7,-3.9856856405091894e-7,1.8252556744329722e-6,-2.963598278460469e-8,2.815883880964518e-6,5.955977409496779e-7,0.0,0.0,0.0,6.868440860681518e-5
0.036000000000000004,6.907112506781919e-7,-1.650566221518745e-5,6.291671719595478e-5,-4.6192946524735456e-5,9.914176272715522e-5,-0.0002672211184098755,3.1689799674898324e-7,-4.1606121584740553e-7,1.8916305639204104e-6,-4.213068388809228e-7,2.8826524066039555e-6,8.718741632637081e-7,0.0,0.0,0.0,6.940949605188976e-5
0.037,-2.0687434779886885e-6,-1.4257075386658812e-5,5.541171178377547e-5,-3.920559553187317e-6,-0.00018512020324640402,-0.0007822964911623866,3.162173987836689e-7,-4.314665930810515e-7,1.950856308071596e-6,-6.885279572907982e-7,2.836459501848327e-6,9.710159454522589e-7,0.0,0.0,0.0,8.505893861179636e-5
0.038,-4.667926531681954e-6,-1.1842436937742794e-5,4.7431851316621215e-5,0.0001398553239199104,6.0842672912619125e-5,-0.0009783502204398708,3.1285102724870673e-7,-4.445187684165266e-7,2.002303573442379e-6,-1.4708244484531848e-6,2.832538814834705e-6,7.858957449053136e-7,0.0,0.0,0.0,5.064761957759652e-5
0.039,-7.20160683050352e-6,-9.360615543398637e-6,3.913287290466036e-5,0.00024481039091583294,-0.00019388659473375,-0.0008243139505937189,3.0691309375977673e-7,-4.551266862037302e-7,2.04560669879545e-6,-2.4491746688930563e-6,2.972394228243355e-6,8.467382121152372e-7,0.0,0.0,0.0,4.284576186067159e-5
0.04,-9.454446502485626e-6,-6.72743757254298e-6,3.070808209536339e-5,6.424942803366887e-5,-6.67209414570748e-5,-0.0008936819844294138,2.9856318360213804e-7,-4.631889149561854e-7,2.0805219639602423e-6,-3.273488619486775e-6,3.217204144296317e-6,6.528510177986606e-7,0.0,0.0,0.0,4.019720026705803e-5
0.041,-1.1473944226407628e-5,-3.852644947970623e-6,2.2623668756989947e-5,3.8339565548690805e-5,-0.00029523246695406014,-0.0013500173054862305,2.8807293366371766e-7,-4.684978762042549e-7,2.1071517270263794e-6,-4.167170603916188e-6,3.281453353919399e-6,5.861298660221718e-7,0.0,0.0,0.0,5.1140700385097766e-5
0.042,-1.3482626346362467e-5,-8.966353204070137e-7,1.4440928659176251e-5,6.563967944330243e-5,0.0001288535978985338,-0.0013413574741268463,2.7558351783693963e-7,-4.708633517638751e-7,2.125702745185797e-6,-5.517187909402419e-6,3.3197916891836996e-6,2.9089723930316456e-7,0.0,0.0,0.0,2.0217975361515675e-5
