time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.266205113510413e-5,9.247585010392422e-5,-1.1756276926877894e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-1.3502189157069372e-10,2.5039485577255944e-8,2.7233745337326165e-9,-7.493971032135582e-5,-1.765765725940136e-5,-7.130319971677496e-5,-7.261623633850755e-14,9.0249106066822e-12,1.3055926455900326e-12,-1.1756276926877896e-8,6.266205113510413e-8,9.247585010392423e-8,0.0,0.0,0.0,3.3434529687305938e-6
0.002,-3.067464627445228e-8,7.204739887308806e-8,6.573719479747689e-8,9.799943730917257e-5,0.00022925407982106265,3.1910191687157735e-5,-1.4946179893497878e-11,5.7060226110791533e-11,3.170219860782633e-11,-8.305947664365287e-8,-1.2277659393839992e-8,7.481819372553486e-8,0.0,0.0,0.0,5.700195439174802e-6
0.003,-5.105170440773534e-8,1.4141377904444865e-7,2.5141214659968863e-7,0.00012026173114854544,0.00022487232106382465,0.00048201371919810585,-5.487906084873954e-11,1.609783019699858e-10,1.814273459143422e-10,-5.114928495649513e-8,8.572179695705613e-8,3.0407226540681474e-7,0.0,0.0,0.0,1.1206216583961024e-5
0.004,-5.127115971135601e-8,2.3737166788109976e-7,6.415896296678072e-7,0.00013850510596907285,0.00010697677401520572,0.0002793984953288046,-1.0580505307384006e-10,3.4885694076454705e-10,6.132251300416145e-10,4.3086443424161067e-7,2.0598353960765984e-7,5.289445803193375e-7,0.0,0.0,0.0,1.806451165423249e-5
0.005,-1.4727431451727838e-8,3.6208763717407087e-7,1.1122501217551912e-6,0.00022874872137497335,1.5744952044583784e-5,0.00033426969952267855,-1.4013132035779384e-10,6.45879301642743e-10,1.4833274519585196e-9,7.102629295704153e-7,3.444885994842326e-7,6.359214140114575e-7,0.0,0.0,0.0,1.0592765930393894e-5
0.006,6.488314046172681e-8,4.952936623620446e-7,1.596315486296263e-6,0.0001664384826859803,-0.00018143881965143504,0.00037829853991971983,-1.1721715417627377e-10,1.0754568156056611e-9,2.8356444961468712e-9,1.0445326290930938e-6,5.732373096760925e-7,6.516665285277742e-7,0.0,0.0,0.0,5.507902760141371e-6
0.007,2.408995031218904e-7,6.395994636248032e-7,1.9971686953085874e-6,0.00021861653729931185,-9.441993273709494e-5,-3.4667141959335724e-5,2.771359166279954e-11,1.6398021486900453e-9,4.643600963016162e-9,1.4228311690128135e-6,7.396759818807493e-7,4.7022788272686405e-7,0.0,0.0,0.0,1.7791428458472887e-5
0.008,3.8674102788552625e-7,8.098515530764453e-7,2.5750186757782983e-6,0.00014375146757045145,7.424671938670207e-6,0.00014011436510944078,3.398804194483012e-10,2.364104972741421e-9,6.9174527392885284e-9,1.3881640270534778e-6,9.582926535234631e-7,3.7580826104428804e-7,0.0,0.0,0.0,1.3092376706745288e-5
0.009000000000000001,5.246634531731885e-7,9.727971886295293e-7,3.291575023405415e-6,9.926685359948586e-5,-0.00017777231141558983,-7.631748919514127e-5,7.941765365375496e-10,3.2566580788253604e-9,9.841896366876197e-9,1.5282783921629185e-6,1.1020441107871135e-6,3.8323313253356723e-7,0.0,0.0,0.0,1.261362394284083e-5
0.01,6.760829847415396e-7,1.100761981977173e-6,4.056986150049471e-6,9.184952330846509e-5,-0.00030542103858776585,-9.434163649011529e-6,1.3940667795290324e-9,4.297447302607412e-9,1.3512076259142315e-8,1.4519609029677774e-6,1.2013112360720657e-6,2.054609728255724e-7,0.0,0.0,0.0,7.5057931761991705e-6
0.011,8.483711212119453e-7,1.1827472393693145e-6,4.9016117813110196e-6,8.459081700180809e-5,-0.00025104319024587716,-0.0002780427575110769,2.156095650137952e-9,5.442591801398281e-9,1.7985428139146317e-8,1.4425267393187657e-6,1.293161202839841e-6,-9.995993239995471e-8,0.0,0.0,0.0,9.048440371560056e-6
0.012,1.0090731738417998e-6,1.2259354588956428e-6,5.794018846420143e-6,0.00016055207161126854,-0.0003031762990958147,-8.580775255873237e-5,3.0844027219530437e-9,6.649575194428833e-9,2.3329942403931278e-8,1.1644839818076885e-6,1.3777523819780758e-6,-3.5100300062105523e-7,0.0,0.0,0.0,6.328814806742549e-6
0.013000000000000001,1.1830499594124633e-6,1.2256175832720607e-6,6.640084167632486e-6,0.00012004388467629582,-0.00030899761144610066,-2.6982906777101587e-5,4.18020253526525e-9,7.879448051762873e-9,2.9549796638274767e-8,1.078676229248956e-6,1.5383048066331796e-6,-6.541791127563487e-7,0.0,0.0,0.0,5.379627785884872e-6
0.014,1.351218041889007e-6,1.1650295533209135e-6,7.321001333841716e-6,5.1332119596862405e-5,-6.25194595325592e-5,0.00014817422438888588,5.447239609249657e-9,9.079968803341058e-9,3.654190556534229e-8,1.051693322471854e-6,1.658349024617784e-6,-9.631765947137847e-7,0.0,0.0,0.0,1.4704650982768796e-5
