time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.266205113510413e-5,9.247585010392422e-5,-1.1756276926877894e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-1.3502189157069372e-10,2.5039485577255944e-8,2.7233745337326165e-9,-7.493971032135582e-5,-1.765765725940136e-5,-7.130319971677496e-5,-7.261623633850755e-14,9.0249106066822e-12,1.3055926455900326e-12,-1.1756276926877896e-8,6.266205113510413e-8,9.247585010392423e-8,0.0,0.0,0.0,3.3434529687305938e-6
0.002,-3.067464627445228e-8,7.204739887308806e-8,6.573719479747689e-8,9.799943730917257e-5,0.00022925407982106265,3.1910191687157735e-5,-1.4946179893497878e-11,5.7060226110791533e-11,3.170219860782633e-11,-8.305947664365287e-8,-1.2277659393839992e-8,7.481819372553486e-8,0.0,0.0,0.0,5.700195439174802e-6
0.003,-1.1537732760055522e-7,1.6259105427551244e-7,3.7653441004020374e-7,0.00011821748046245897,0.00022889536411818917,0.0004820202609024261,-8.143729559718634e-11,1.676012278330301e-10,2.2926449342147677e-10,-5.114928495649513e-8,8.572179695705613e-8,3.0407226540681474e-7,0.0,0.0,0.0,2.7612002002331778e-5
0.004,-2.692710206587261e-7,3.4498361634006964e-7,1.1300355740701933e-6,0.00013324754226935634,0.00011609349130768659,0.0002794312675708301,-2.648184255143454e-10,4.138213345116724e-10,9.45880493828978e-10,4.3087097594593096e-7,2.0393928912734915e-7,5.32967623478264e-7,0.0,0.0,0.0,4.951593196748783e-5
0.005,-2.8463062430674945e-7,6.066735298853713e-7,2.0043407888607567e-6,0.00022568978631949945,2.03375146239326e-5,0.0003343508927382412,-5.444080073304723e-10,8.870544640122023e-10,2.506094836528791e-9,7.10302243516761e-7,3.3718678137537725e-7,6.490611721984385e-7,0.0,0.0,0.0,1.727959787705431e-5
0.006,-2.837461828724522e-7,8.680146867767509e-7,2.8786880160009912e-6,0.0001643889582956815,-0.0001793816131440304,0.0003784494641987108,-8.309902040699678e-10,1.6264510825713167e-9,4.945946138334524e-9,1.0446531362550022e-6,5.628765532490375e-7,6.693988471303275e-7,0.0,0.0,0.0,6.722076079905829e-6
0.007,-1.2390409378404495e-7,1.1021219984473964e-6,3.816895933870147e-6,0.00021882318621145464,-9.752307781124219e-5,-3.4416820951024775e-5,-1.0476942016903173e-9,2.6141457045305542e-9,8.286244953798822e-9,1.423102600453713e-6,7.272656989361941e-7,4.900174057158359e-7,0.0,0.0,0.0,1.6758758207818762e-5
0.008,1.2873956270804649e-7,1.2609369777473438e-6,5.541551785141903e-6,0.0001490303540201396,-3.547793257255203e-6,0.0001405300894748456,-1.064175959722691e-9,3.807312534624226e-9,1.286948186384708e-8,1.3886857795026881e-6,9.460890239327727e-7,3.9249463931253783e-7,0.0,0.0,0.0,9.609577192336044e-5
0.009000000000000001,4.7646665240520183e-7,1.2285041469639233e-6,8.746325346607428e-6,0.00010556494519435577,-0.00018614894124087844,-7.558899684447087e-5,-7.614945550042544e-10,5.0661232942877844e-9,1.9876679771798134e-8,1.5292158689775337e-6,1.0951193828795386e-6,3.889470530116194e-7,0.0,0.0,0.0,0.00015340289092616614
0.01,1.2411525658905523e-6,9.053480777224211e-7,1.2946691617279883e-5,0.00010830975429746209,-0.0003328917244621208,-8.190690380693302e-6,6.62534303068685e-11,6.169478982807966e-9,3.066273184222377e-8,1.4536268721330625e-6,1.2006846127356859e-6,2.02798273202548e-7,0.0,0.0,0.0,0.0001079256309565082
0.011,2.340903309880119e-6,1.3548942715967147e-7,1.817071803226031e-5,0.00011009630396934485,-0.00028849519726068066,-0.00027602957250584965,1.8328946547553365e-9,6.7216398528295375e-9,4.613993019926323e-8,1.445436181752369e-6,1.3089948509333897e-6,-1.3009329381725175e-7,0.0,0.0,0.0,0.00012202985109621218
0.012,3.799120447029349e-6,-1.084725340123545e-6,2.4578943182802897e-5,0.0001947429265404434,-0.00034872115507244303,-8.270779207292085e-5,4.872767212561421e-9,6.281094516041547e-9,6.742280217547721e-8,1.1694066092465193e-6,1.419091571904016e-6,-4.185883319404498e-7,0.0,0.0,0.0,0.00013536501378929054
0.013000000000000001,5.733308303601e-6,-2.8200478135273087e-6,3.227659152332838e-5,0.00016413328314020172,-0.0003649450361209395,-2.2407021632455055e-5,9.602270245931768e-9,4.369648094609387e-9,9.574754561031566e-8,1.0866988171735985e-6,1.6138349062411498e-6,-7.67309259278989e-7,0.0,0.0,0.0,0.00015492429425708714
0.014,8.111301432613927e-6,-5.13682153052694e-6,4.123019085798114e-5,0.0001022507960942554,-0.00012058859353891659,0.0001546888777978121,1.6497652399112493e-8,4.322099854209387e-10,1.3241839407926382e-7,1.0642917955411432e-6,1.7779685859665936e-6,-1.1322541170362683e-6,0.0,0.0,0.0,0.00013598059986040528
