time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.266205113510413e-5,9.247585010392422e-5,-1.1756276926877894e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-7.493971032403366e-5,-1.7657655216030206e-5,-7.130319970622906e-5,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-1.1756276926877896e-8,6.266205113510413e-8,9.247585010392423e-8,0.0,0.0,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,9.799943437037008e-5,0.0002292540851797802,3.191019201223868e-5,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-8.305947663310696e-8,-1.2277659396517808e-8,7.481819576890601e-8,0.0,0.0,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00011821748177498043,0.00022889534520733042,0.0004820202636861081,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,-5.114928462086828e-8,8.572179401557627e-8,3.040722728089037e-7,0.0,0.0,0.0,2.7611808971105294e-5
0.004,-2.696213655995959e-7,3.4517028599498164e-7,1.1308012307457852e-6,0.0001332339583261693,0.0001161211834348916,0.0002794313118784647,-2.649602452632776e-10,4.139493203443999e-10,9.46204646326817e-10,4.308709790652398e-7,2.039392874983897e-7,5.329676119694942e-7,0.0,0.0,0.0,4.962944325823913e-5
0.005,-2.8558421759716447e-7,6.070133727944281e-7,2.005285843304532e-6,0.0002256722263889441,2.0329176910377326e-5,0.0003343509878012607,-5.451918091585969e-10,8.874682403744537e-10,2.5073221508405465e-9,7.103022909437044e-7,3.3717319579129865e-7,6.490888528110211e-7,0.0,0.0,0.0,1.720968134928534e-5
0.006,-2.8509311720920665e-7,8.684150327777357e-7,2.879864599091423e-6,0.00016437574795675987,-0.0001793860812636549,0.0003784496220463152,-8.32878759277811e-10,1.6271983693684636e-9,4.94825025044635e-9,1.0446532787449651e-6,5.628454077403249e-7,6.694181900168927e-7,0.0,0.0,0.0,6.714622519732904e-6
0.007,-1.2776163584853363e-7,1.1016303608136372e-6,3.824029676457895e-6,0.00021869168267882587,-9.78076098892731e-5,-3.441624760730592e-5,-1.0519778483864954e-9,2.615094450142849e-9,8.291539167778762e-9,1.4231029007912803e-6,7.272213430932531e-7,4.900322804689998e-7,0.0,0.0,0.0,1.6709859463883877e-5
0.008,1.2101316521160033e-7,1.2592987643965045e-6,5.551783135660828e-6,0.00014882731752320538,-3.407220001889234e-6,0.00014053125094154163,-1.0736641789522283e-9,3.806798656045353e-9,1.2885427953343134e-8,1.3886866531839742e-6,9.459131649621509e-7,3.9222498180059375e-7,0.0,0.0,0.0,9.53368077752852e-5
0.009000000000000001,4.560095062913052e-7,1.231886930517099e-6,8.747669954233521e-6,0.00010509007794576354,-0.00018540890970912126,-7.558782401037559e-5,-7.840975227333287e-10,5.065833900672475e-9,1.9898672821193327e-8,1.5292179041255157e-6,1.0947404872167736e-6,3.888179684732173e-7,0.0,0.0,0.0,0.00015237765220914559
0.01,1.199219198899173e-6,9.243130325219224e-7,1.2913358508270071e-5,0.00010759954717709809,-0.00033186968670156794,-8.191694906996627e-6,1.3158774746060549e-11,6.17939048068322e-9,3.067215402544391e-8,1.45363008011514e-6,1.1998308486930386e-6,2.0340921946994155e-7,0.0,0.0,0.0,0.00010463123386089608
0.011,2.2642320398435e-6,1.8263424085230458e-7,1.8060811933840396e-5,0.00010904696855706968,-0.00028701832876184804,-0.00027603754737777616,1.721471922835951e-9,6.7637163658823e-9,4.6080623014151336e-8,1.445438385208143e-6,1.3074308782857823e-6,-1.2846031082133737e-7,0.0,0.0,0.0,0.00011727977893014185
0.012,3.670021295814693e-6,-9.917011853298411e-7,2.433817960493592e-5,0.0001932612180353112,-0.0003466908149601024,-8.273085119179266e-5,4.659951633519049e-9,6.391714829376956e-9,6.719280904671462e-8,1.1694008378303669e-6,1.4164782617100477e-6,-4.154784819622114e-7,0.0,0.0,0.0,0.00012903671737032974
0.013000000000000001,5.529808360568906e-6,-2.658366240225186e-6,3.1836138459436094e-5,0.00016213518780626332,-0.0003622934143679103,-2.2457415995695084e-5,9.224873355396232e-9,4.605818706731875e-9,9.518236944535031e-8,1.0866699866385742e-6,1.6097398851657563e-6,-7.621690709222464e-7,0.0,0.0,0.0,0.00014693818081180538
0.014,7.806809151583723e-6,-4.878574225487647e-6,4.050624705895298e-5,9.96586626259601e-5,-0.00011726054225607668,0.00015459396556322574,1.5868393507074057e-8,8.760696169624529e-10,1.312777951073515e-7,1.0642125706428791e-6,1.7718754666653036e-6,-1.1244623091025005e-6,0.0,0.0,0.0,0.00012632623748962588
0.015,9.518450888964462e-6,-7.2796652794344075e-6,4.8441804071457595e-5,0.00018395424716848463,-3.284125988589334e-5,6.969260875502916e-5,2.4576618208485867e-8,-5.224743497076523e-9,1.7590933927429484e-7,1.2188065362061048e-6,1.8715342540813503e-6,-1.2417227453005092e-6,0.0,0.0,0.0,7.752858970889053e-5
0.016,1.131265763182482e-5,-9.500133469511607e-6,5.571749412208066e-5,0.0002146644214127912,-9.098771218955241e-6,0.00034621886170403964,3.4993606558819494e-8,-1.3623093900336513e-8,2.280121078007164e-7,1.2884991449611339e-6,2.0554885412768403e-6,-1.2745637809817393e-6,0.0,0.0,0.0,3.592211251368023e-5
0.017,1.2979486858893726e-5,-1.1626777788643694e-5,6.277795232767513e-5,0.00017379205918380657,-0.0002272634250625679,0.00035147696600465835,4.715231640309474e-8,-2.4195365638049372e-8,2.8727732602135577e-7,1.6347180066651738e-6,2.270152974413212e-6,-1.2836622756057636e-6,0.0,0.0,0.0,3.0500023122935905e-5
0.018000000000000002,1.4467119968892732e-5,-1.364195154732689e-5,6.912193288435783e-5,-2.201143336034471e-5,0.0002558808634658804,0.0004129176485870469,6.088583194553195e-8,-3.683758546894333e-8,3.5328420656458e-7,1.986194972669832e-6,2.4439454051083998e-6,-1.5109254165670192e-6,0.0,0.0,0.0,6.726053233960793e-5
0.019,1.571351928782787e-5,-1.5510012656332876e-5,7.491272568357584e-5,9.582345664700337e-5,-2.4331869448071747e-5,0.0007907137186543333,7.599422722558857e-8,-5.142876696733562e-8,4.2534219432040264e-7,2.3991126212568797e-6,2.421933463518814e-6,-1.2550445968206418e-6,0.0,0.0,0.0,6.133099635529433e-5
0.02,1.681954016807421e-5,-1.7213866240610837e-5,7.985892924438495e-5,0.0002576357410129959,-0.00012056928639600612,0.0006083131619986895,9.22751894743687e-8,-6.78006145180433e-8,5.027928253866269e-7,3.189826339911213e-6,2.5177569785404365e-6,-1.2793762363773792e-6,0.0,0.0,0.0,8.320470858616252e-5
0.021,1.7786815221328372e-5,-1.877496938122091e-5,8.396075253999174e-5,0.00011221331316082215,3.5430742147563135e-5,0.0009748089282089616,1.0959189033544478e-7,-8.580595928739036e-8,5.847630830856258e-7,3.7981395019099024e-6,2.7753931041472072e-6,-1.399944700959499e-6,0.0,0.0,0.0,8.710570982494745e-5
0.022,1.8543914036489033e-5,-2.0159064196786953e-5,8.726016194295707e-5,0.00010373979104883412,0.00019028159517836318,0.0007200382760390331,1.277716076769753e-7,-1.052884321769855e-7,6.704385896720645e-7,4.772948430118864e-6,2.8876062827363188e-6,-1.3645135326103743e-6,0.0,0.0,0.0,8.685831858207202e-5
0.023,1.9058664800404254e-5,-2.1326000120456622e-5,8.995240687868487e-5,2.945617012047774e-5,4.86316728640532e-5,0.0004908798347895894,1.4659205322727194e-7,-1.2605021337928907e-7,7.590911532320287e-7,5.4929867061578976e-6,2.9913451655797304e-6,-1.1742314422895057e-6,0.0,0.0,0.0,7.32854798738772e-5
0.024,1.939292440171644e-5,-2.2288288521097297e-5,9.179521063908115e-5,-0.0001495632529524108,-2.4671383715105e-5,-3.335456767143924e-5,1.658330775549681e-7,-1.47869712110406e-7,8.500305229666482e-7,5.983866540947487e-6,3.020801068566631e-6,-1.1255996076238353e-6,0.0,0.0,0.0,8.701755190660849e-5
0.025,1.9350015610324007e-5,-2.3097506493247733e-5,9.313683579348147e-5,-0.00021053142306459767,2.9885867661678002e-5,-0.0007626745181240883,1.852335464505099e-7,-1.7057333702384697e-7,9.425233288184507e-7,5.950511973276048e-6,2.8712379632471654e-6,-1.1502718863050438e-6,0.0,0.0,0.0,5.903733365626136e-5
0.026000000000000002,1.8908236403401127e-5,-2.376469765439668e-5,9.408457345134234e-5,-0.00017776505629623515,0.00013064122617551028,-0.00019385413491591517,2.043904389615614e-7,-1.9401552001273613e-7,1.036158786257337e-6,5.18783745515196e-6,2.6607063623500815e-6,-1.1203872714136485e-6,0.0,0.0,0.0,5.9012648066218104e-5
0.027,1.8183516515765836e-5,-2.4201800474011756e-5,9.430073775744335e-5,-0.00016751908203619452,-8.301631662392113e-5,-0.0007685737653771006,2.2296343139036123e-7,-2.1802251925590085e-7,1.1304031835621927e-6,4.993983320236045e-6,2.482940628310792e-6,-9.897469674561135e-7,0.0,0.0,0.0,7.934042206159022e-5
0.028,1.6941249365260523e-5,-2.438127103914953e-5,9.406524187018767e-5,-2.058787677451564e-5,0.00019254339973090462,-0.00016121558619013672,2.4056813059980053e-7,-2.423296654034929e-7,1.2246121532133983e-6,4.225409554858945e-6,2.315421960858787e-6,-1.072764120666501e-6,0.0,0.0,0.0,6.960307617240599e-5
0.029,1.5437729110780284e-5,-2.4268183362447854e-5,9.350374976722814e-5,8.038996702028586e-5,0.00010303907750289733,-0.000736637035597678,2.567867314073714e-7,-2.6668356569362153e-7,1.3184210792658253e-6,4.064193968668808e-6,2.2948332705097345e-6,-8.802208079295265e-7,0.0,0.0,0.0,6.722290989839249e-5
0.03,1.391274107930436e-5,-2.389380411779988e-5,9.195979238769993e-5,0.0001263241243407934,9.218117597986315e-5,-0.00036942054263760707,2.714734121194878e-7,-2.9077411997062894e-7,1.4112358800459482e-6,3.32755693307113e-6,2.375222818758559e-6,-7.77181403707061e-7,0.0,0.0,0.0,9.166650429907315e-5
0.031,1.2197264286275846e-5,-2.337982776823056e-5,8.939766925079635e-5,9.363372632423757e-5,0.00036989092744330314,-0.0008795531382976003,2.845408403644377e-7,-3.1442315765885033e-7,1.5019885211497183e-6,2.958136390433523e-6,2.501546636360542e-6,-6.849998073769924e-7,0.0,0.0,0.0,9.830219515241394e-5
0.032,1.033773531402384e-5,-2.2669443162441666e-5,8.594104216567805e-5,9.283487799231522e-6,0.00017643499442636295,-0.0006388904967469028,2.9581738209295005e-7,-3.374640072388296e-7,1.5897199754872882e-6,2.0785832521359226e-6,2.595179268496557e-6,-3.1510860295397444e-7,0.0,0.0,0.0,9.49272000137654e-5
0.033,8.219796849942627e-6,-2.1690558834815656e-5,8.157441889930426e-5,0.00010875984515057425,0.0004246140712114601,-0.0007645843537985732,3.0511112541171944e-7,-3.596690125997793e-7,1.6735464769357785e-6,1.4396927553890198e-6,2.604462389560944e-6,-1.3867358923149038e-7,0.0,0.0,0.0,9.806534357194381e-5
0.034,5.916963991225902e-6,-2.0335107313444085e-5,7.573623569420971e-5,0.0001086268204773667,0.0003053392054608528,-0.0007041782559037176,3.1221484500098734e-7,-3.8072060671148826e-7,1.7523523007479054e-6,6.751084015904465e-7,2.713221623397603e-6,2.859406385602908e-7,0.0,0.0,0.0,0.00018177329994240103
0.035,3.5662287059125794e-6,-1.8633050780353076e-5,6.925406160264987e-5,6.71356055658541e-5,0.00027605586937428,-0.0003917587972674902,3.169569057211551e-7,-4.0021361567182656e-7,1.8248586270588095e-6,-2.906985431327099e-8,2.821848237737882e-6,5.912799173559532e-7,0.0,0.0,0.0,6.873004454606196e-5
0.036000000000000004,9.966752971552444e-7,-1.6721502642898113e-5,6.233977057763127e-5,-4.5580000690542154e-5,9.833519776983904e-5,-0.0002673432486945998,3.192554580590434e-7,-4.179144425916285e-7,1.890694332087645e-6,-4.208286515807612e-7,2.88898385132864e-6,8.673357847786108e-7,0.0,0.0,0.0,6.921206071345328e-5
0.037,-1.7207765823363196e-6,-1.4499669626586619e-5,5.4758485602850106e-5,-2.991869694251686e-6,-0.00018641140798926261,-0.0007824557653581266,3.18900564618619e-7,-4.3354668142790764e-7,1.9493012774345974e-6,-6.88171900275361e-7,2.8434038920203706e-6,9.656710017298113e-7,0.0,0.0,0.0,8.425499649283192e-5
0.038,-4.2923153254187485e-6,-1.2113781098621918e-5,4.671576949176842e-5,0.00014050502327082472,6.044915783695992e-5,-0.0009785484476788028,3.158959309320756e-7,-4.4685638771598783e-7,2.0000622631081574e-6,-1.4706276656334877e-6,2.840411894043027e-6,7.792595957995135e-7,0.0,0.0,0.0,5.005950697626778e-5
0.039,-6.799617991373154e-6,-9.655040935054855e-6,3.8359453767958216e-5,0.00024527048133102795,-0.00019400946586990733,-0.000824552426737436,3.103467248497361e-7,-4.577478671972014e-7,2.0426213143121543e-6,-2.4491761133122907e-6,2.9809170062119037e-6,8.397085470058337e-7,0.0,0.0,0.0,4.2169185835648765e-5
0.04,-9.023560896875258e-6,-7.040095370571231e-6,2.9886341186675502e-5,6.475961252695446e-5,-6.638285662672415e-5,-0.000893961282915995,3.0241327915366353e-7,-4.661136390964833e-7,2.0767380527493255e-6,-3.2737285400497266e-6,3.2261870123788465e-6,6.456984804259041e-7,0.0,0.0,0.0,4.039639835135991e-5
0.041,-1.1010270442076981e-5,-4.174197442679278e-6,2.178119723260933e-5,3.8974299676334695e-5,-0.0002945663563687981,-0.0013503360272409688,2.923704192029362e-7,-4.717400895549768e-7,2.102533953085784e-6,-4.167689822965721e-6,3.2909464075860015e-6,5.793154117941439e-7,0.0,0.0,0.0,5.3570559362277665e-5
0.042,-1.2994354296167125e-5,-1.221255386229789e-6,1.3586310973212074e-5,6.608876848225217e-5,0.00012905132127591373,-0.001341713715566696,2.803576127963794e-7,-4.7442847989974575e-7,2.1202369274341064e-6,-5.5180258502066895e-6,3.329919479600792e-6,2.84748892995112e-7,0.0,0.0,0.0,1.9431011508874075e-5
