time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.158566947792743e-5,8.665159778329e-5,-2.317953619154632e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.769599001922122e-7,1.5132596641183682e-6,-0.0004508309675737484,0.0
0.001,-1.3502189157069372e-10,2.5039485577255944e-8,2.7233745337326165e-9,-3.696063957531606e-6,2.6297058496434444e-5,-1.3217908335817562e-5,-7.261623633850755e-14,9.0249106066822e-12,1.3055926455900326e-12,-2.317953619154632e-9,5.158566947792743e-8,8.665159778329001e-8,-8.554583278662338e-6,-7.031849453722211e-6,-0.002570820380138164,3.3434529687305938e-6
0.002,-3.067464627445228e-8,7.204739887308806e-8,6.573719479747689e-8,0.00010959027978933722,0.00019862101974936258,3.81831314140781e-6,-1.4946179893497878e-11,5.7060226110791533e-11,3.170219860782633e-11,-1.5535861954972198e-8,4.788960558135119e-8,1.1294865628829175e-7,-3.657074014525374e-6,9.330987266228033e-7,0.0007426437672502909,5.700195439174802e-6
0.003,-5.092713188713927e-8,1.4136715983424197e-7,2.511596454052796e-7,0.00013457563604158475,0.00021476062235456606,6.958372014049508e-5,-5.4819892108537955e-11,1.6096228305671058e-10,1.8131840152446208e-10,-1.171754881356439e-8,1.5747988845643712e-7,3.1156967433507486e-7,-4.776358395353514e-6,1.1315309525127287e-6,0.013533703012470663,1.1183418961494984e-5
0.004,-5.097217998349685e-8,2.3719994057290058e-7,6.408763895486672e-7,0.00017884053892604907,9.28514214263202e-5,4.2148015881443245e-5,-1.0553828887526917e-10,3.487370134075599e-10,6.126484061038724e-10,5.786617132693069e-8,2.9205552701448994e-7,5.263302951127444e-7,-1.010147386553332e-5,3.175614043274153e-6,0.008197588866370308,1.8042322399298177e-5
0.005,-1.4300426801572051e-8,3.6175275370072796e-7,1.1110257711105736e-6,0.0001931035084059245,7.172478700158176e-5,5.254904540681069e-5,-1.3950420371634295e-10,6.455066690186948e-10,1.4817870732026883e-9,1.0001418720837394e-7,4.7089606056758245e-7,6.191817268878817e-7,9.240307775641046e-7,-7.747693405500404e-6,0.010220539699353182,1.058359510444098e-5
0.006,6.546129635805639e-8,4.947890472769121e-7,1.5945473628918973e-6,0.00022533837514386175,-7.775431872577815e-5,6.150881444487666e-5,-1.160891017919218e-10,1.0746648499476678e-9,2.8326100631088546e-9,1.5256323261518463e-7,6.639995618000097e-7,6.909065332025535e-7,-1.3770800133020421e-5,-2.349557097379894e-5,0.011963172214209868,5.505701712767285e-6
0.007,2.4132803044170905e-7,6.390841615364787e-7,1.994109757838071e-6,0.0002825083398166198,-3.4823704499732845e-5,9.523715142484426e-6,2.9350360197110046e-11,1.6384776139351217e-9,4.638212261832963e-9,2.1407204706006125e-7,8.893379488063191e-7,6.131522488551272e-7,-1.8100520444694512e-5,-2.8802931143846252e-5,0.0018523173531612355,1.782734240552797e-5
0.008,3.8721642204999854e-7,8.094053046286751e-7,2.570293668538314e-6,0.0003773078379836456,2.22515056304519e-5,3.3137952347189666e-5,3.419725620146959e-10,2.3623059775066545e-9,6.908193667528979e-9,2.235957622025457e-7,1.1718462960777142e-6,5.783286048325338e-7,-5.1812171773869486e-5,-2.83006185061608e-5,0.006445174310927252,1.3056014749227147e-5
0.009000000000000001,5.256620629920523e-7,9.72134749350352e-7,3.285263867590053e-6,0.0003485825545322831,-0.00010650480813052972,5.154725397919363e-6,7.96996570596297e-10,3.2543388023823494e-9,9.827110063363376e-9,2.5673371454973536e-7,1.549154129086008e-6,6.005801948274188e-7,-6.81837494384043e-5,-4.0437703375456396e-5,0.0010025696025654325,1.2605111677342848e-5
0.01,6.774161494357371e-7,1.0996798037613898e-6,4.049259439071758e-6,0.0002790393821070667,-0.00023319309879938407,1.3592063368708113e-5,1.3980431811672608e-9,4.294252173352494e-9,1.3490268534464735e-8,2.618884399476547e-7,1.8977367109616547e-6,4.940754761897867e-7,-7.1587229338168e-5,-4.976025573106445e-5,0.002643591756625912,7.515891591935201e-6
0.011,8.500403634728436e-7,1.1812691932907758e-6,4.89240857561912e-6,0.00027052781014961716,-0.00021343817930679674,-2.0862429019833874e-5,2.1615675633090474e-9,5.4381221269488906e-9,1.795514435625778e-8,2.7548050331636284e-7,2.176776154139289e-6,2.60882450467599e-7,-8.225822505942312e-5,-5.275235294065652e-5,-0.0040576433381702215,9.047149510642394e-6
0.012,1.0112979103307928e-6,1.2239888142312615e-6,5.783571306011294e-6,0.0002709698288836911,-0.00025690981455066134,1.8223774387175388e-6,3.0918171637368785e-9,6.643406261193804e-9,2.3289812243632088e-8,2.5461807429652896e-7,2.4473040230869527e-6,4.744434568594768e-8,-7.955223252091084e-5,-5.9177567333579834e-5,0.00035444375469481475,6.351472617159971e-6
0.013000000000000001,1.185717210505348e-6,1.2231561718826049e-6,6.628341426220049e-6,0.00029039377655620303,-0.00028417469352759906,8.832435104787658e-6,4.19005970469206e-9,7.871071214276144e-9,2.949857750185909e-8,2.564404517352465e-7,2.7182739173845174e-6,-2.094653998708893e-7,-9.66604124342495e-5,-6.12309753409613e-5,0.001717866669729136,5.382312321115525e-6
0.014,1.3544541480073711e-6,1.1620041725196305e-6,7.308152466086789e-6,0.000368557232665341,-0.00010331750651153036,3.0755138781974234e-5,5.460046378711809e-9,9.068857698474763e-9,3.647837382127478e-8,2.652728868400341e-7,3.0086677668145978e-6,-4.936400189297678e-7,-0.00013248452029362469,-5.247225510438004e-5,0.005981728391959423,1.4694307248069152e-5
0.015,7.15618114176485e-7,7.707794033448446e-7,6.519855697430527e-6,0.00042381684578639896,-8.773597707487251e-5,2.0510268353945156e-5,6.612361437339171e-9,1.0101548208335241e-8,4.36470924741599e-8,2.9602802562200834e-7,3.377225026887259e-6,-5.969574276730534e-7,-0.00014754217377829716,-5.102470226031306e-5,0.003989149761580921,0.0002558207082016355
0.016,-1.0255406564288037e-7,-3.990241137454635e-7,4.166304406286835e-6,0.00045464041804451846,-5.328641398845086e-5,5.4205954102530936e-5,6.839954979011034e-9,1.030417364297672e-8,4.8928783478356975e-8,3.1653829397595343e-7,3.801041898645947e-6,-6.84693279286258e-7,-0.00016206012278596667,-4.5458738166637e-5,0.010542800569588087,4.511504940353518e-6
0.017,-6.283882488318284e-7,-1.3903099437148105e-6,2.5697705816895334e-6,0.000548168430748423,-0.00015554544458157798,5.690801532306007e-5,6.491129228548581e-9,9.391887743526558e-9,5.227613057759544e-8,3.707442480784844e-7,4.255682333557633e-6,-7.379795493636039e-7,-0.0001999410160163856,-6.0763774991472405e-5,0.011068338640940405,7.908032818970394e-6
0.018000000000000002,-1.2773269369365793e-6,-2.297946634098729e-6,9.93121735014973e-7,0.0005189008870187086,0.00015600093421187666,6.664605220883536e-5,5.539209464741875e-9,7.547755789680704e-9,5.4059059109073614e-8,4.276522634015445e-7,4.8038508219735975e-6,-8.935247907148786e-7,-0.0002509648766548629,-3.911893496464581e-5,0.0129623405550443,2.163378988861418e-6
0.019,-1.9568422527242725e-6,-3.1818342164993803e-6,-4.870652744629502e-7,0.000546022072158022,4.427628675775602e-5,0.00011292752527164554,3.922933366860813e-9,4.804169709870482e-9,5.4304905822106086e-8,4.942983156103799e-7,5.322751642278106e-6,-7.375236345938774e-7,-0.00026616501035805763,-5.735494374879162e-5,0.02196386720735699,9.516706515924109e-6
0.02,-2.6492194152501773e-6,-4.037544787720726e-6,-2.0361486543382444e-6,0.0006240874993089744,-6.767096984695786e-5,9.5398417100817e-5,1.6203504450872358e-9,1.1934142881083279e-9,5.3046732601580996e-8,6.072258408820255e-7,5.868773692550368e-6,-6.932470779383362e-7,-0.00027764519870024894,-6.348592293621794e-5,0.018554538939502492,4.497410015840691e-6
