time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.6885639131241375e-5,7.628613800690198e-5,-0.0002031017622608166,0.0,0.0,0.0,-2.3606429370085057e-8,4.93179975262171e-9,2.45662687407995e-9,1.519751220406226e-8,2.7004358190567735e-8,0.0,0.0
0.001,-1.3502189157069372e-10,2.5039485577255944e-8,2.7233745337326165e-9,-4.8345404290953626e-5,6.977610964650176e-5,-0.0010391011523006157,-7.261623633850755e-14,9.0249106066822e-12,1.3055926455900326e-12,-3.91092277608174e-7,-2.4275390688107814e-8,4.460308371373442e-8,-2.9594056543770753e-7,-2.992803881186995e-7,0.0,3.3434529687305938e-6
0.002,-3.067464627445228e-8,7.204739887308806e-8,6.573719479747689e-8,0.00010466189141522761,0.0001932068209087704,0.0016546980186842078,-1.4946179893497878e-11,5.7060226110791533e-11,3.170219860782633e-11,-1.0693783675407821e-6,3.019574860581437e-10,1.5302142641566462e-7,-1.7708233425925128e-8,6.813549158700317e-9,0.0,5.700195439174802e-6
0.003,-1.1537732760055522e-7,1.6259105427551244e-7,3.7653441004020374e-7,0.00012441996756643365,0.00021110194999342943,0.007167446133343537,-8.143729559718634e-11,1.676012278330301e-10,2.2926449342147677e-10,2.0760261472860348e-6,9.140417483854139e-8,3.5269898879653074e-7,-7.302138886010318e-8,4.2259832028177115e-8,0.0,2.7612002002331778e-5
0.004,-2.99552988224914e-7,3.5350508572731967e-7,1.1863758939564214e-6,0.00013998932793091057,8.607823767961216e-5,-0.0019865430162193426,-2.75415396037931e-10,4.162697854180925e-10,9.646063238760405e-10,8.024559483556812e-6,1.4802283239652683e-7,5.936824444570819e-7,-3.341265090167063e-7,2.12080565569405e-7,0.0,6.085888754182837e-5
0.005,-3.3247183574687665e-7,6.379269867989465e-7,2.1210925522586686e-6,0.00022024399600321218,0.00011283115713523888,0.0007974844382774012,-5.954820410689051e-10,9.100603670293534e-10,2.614415104874298e-9,6.524944219719525e-6,4.5596871273599933e-7,5.532721827357161e-7,3.1795350197663164e-7,-4.3838920061047555e-7,0.0,1.6978731366528526e-5
0.006,-3.48475332736997e-7,9.154908755742193e-7,3.0455457901788237e-6,0.00017910158515263815,2.3945772747997605e-5,0.0010625660914073123,-9.381112526037834e-10,1.6890189408887878e-9,5.1962334518600825e-9,7.384372159598993e-6,4.5726924202730773e-7,4.2933998120985187e-7,-5.422923965464949e-7,-1.5613010515075446e-6,0.0,6.651990327703414e-6
0.007,-2.033771252052348e-7,1.1653362545784577e-6,4.025585359303933e-6,0.0002302987910049714,5.960342379056332e-5,-0.005492533544561967,-1.2276159975350042e-9,2.731915508535665e-9,8.72551634192953e-9,7.419225880428322e-6,6.118229810894277e-7,3.1408693793036043e-7,-6.281912759514401e-7,-2.1942234081445537e-6,0.0,1.6986417250345948e-5
0.008,4.913840283424046e-9,1.3527779188852444e-6,5.706377699264253e-6,0.00017039948969028093,8.413979903995057e-5,0.0018459597098373268,-1.3405844560143226e-9,3.999584254153368e-9,1.351515640020323e-8,2.949563434771201e-6,4.26965607998543e-7,3.155988979780399e-7,-2.287747016175241e-6,-2.4461612447760804e-6,0.0,8.075080661876994e-5
0.009000000000000001,2.6365111146188226e-7,1.393747244632393e-6,8.70657551853019e-6,0.00012634961386541411,-4.161799861541677e-6,-0.002056764016196931,-1.2030852778981697e-9,5.3832009115088175e-9,2.0591461453508167e-8,3.543985391974977e-6,5.101603365973118e-7,1.7004119225288755e-7,-2.6065392151694693e-6,-3.433979929302877e-6,0.0,0.0001443675136350222
0.01,8.912975324585937e-7,1.1956052779394654e-6,1.2568796221097185e-5,0.00010945094326736742,-0.00012139537559094253,0.0005026647906972978,-6.521368076932011e-10,6.709848276853775e-9,3.1184665735696945e-8,2.0081354049247186e-6,7.677336481366573e-7,-6.881249034464737e-8,-2.0673603313914034e-6,-4.443605658773382e-6,0.0,8.917249544072323e-5
0.011,1.7914802029721258e-6,6.171741353076468e-7,1.724600728498049e-5,0.0001097576693053029,-0.00012343626836055696,-0.0032781094873111133,6.693408559667323e-10,7.642749823415123e-9,4.602608367119508e-8,1.629016197618409e-6,8.693282567805749e-7,-3.3805458021066147e-7,-2.1065003918095864e-6,-5.07632562660325e-6,0.0,0.00010028942797849794
0.012,2.9744841812581834e-6,-3.336358237653431e-7,2.2867625301386638e-5,0.00016985391987798544,-0.0001638768574653614,0.0013631498153933524,3.0286264358241817e-9,7.81222781141027e-9,6.601073412391571e-8,-2.7643267718655733e-7,1.1681969180513161e-6,-6.570358848074493e-7,-1.3107798091211036e-6,-5.930295546988446e-6,0.0,0.00010766703346793068
0.013000000000000001,4.5580714360957196e-6,-1.7093251184148398e-6,2.9515411072080175e-5,0.00016160940665250312,-0.00021363589360605585,0.0009682898377924531,6.76231495006732e-9,6.825897933841359e-9,9.211552733265774e-8,9.847040557819963e-7,1.1924331521536304e-6,-9.550284964857658e-7,-1.9506772038712185e-6,-6.524041906291145e-6,0.0,0.00012839828843968403
0.014,6.523654132102129e-6,-3.5869657720128767e-6,3.719333060209967e-5,0.00012250219401498786,-0.00010232984077598341,0.002476880818835321,1.2279222291156051e-8,4.2154679249825935e-9,1.253987164742767e-7,2.159506874543638e-6,9.647502001653434e-7,-1.1077706948185504e-6,-3.6710650217420444e-6,-6.2367392485537546e-6,0.0,0.00011200033294253517
0.015,7.96924995161925e-6,-5.629618076816787e-6,4.4170643755583175e-5,0.00019969263176395098,-7.244767497139481e-5,-0.000504719900265891,1.956185472787486e-8,-4.1177846219020605e-10,1.6621868582854567e-7,4.048818901936702e-6,1.097101010582515e-6,-1.1296170941648569e-6,-3.6061911038601657e-6,-5.878954307617948e-6,0.0,6.924977834586295e-5
0.016,9.517132488677653e-6,-7.530218013443656e-6,5.0612798410983814e-5,0.0002305646772711573,-6.77317053843733e-5,0.003340620686178598,2.8304705047609822e-8,-6.996807193545895e-9,2.1362652540142584e-7,4.420033875005437e-6,1.2514081772328251e-6,-1.120350509603157e-6,-3.8001234930544077e-6,-5.522132398889956e-6,0.0,2.7550228152951327e-5
0.017,1.0985936420436661e-5,-9.383876788798678e-6,5.698281658374892e-5,0.00020432310200537877,-0.0001053852754799793,0.0007964910553577319,3.856368699819869e-8,-1.5458208276245378e-8,2.674262747535514e-7,7.413262305485999e-6,1.1043193246659506e-6,-1.416089420690738e-6,-5.426701141420262e-6,-6.5374127723088295e-6,0.0,1.2797254333218748e-5
0.018000000000000002,1.2332512229712037e-5,-1.119504333012398e-5,6.283932349448193e-5,2.784504260881248e-5,0.00010452661725429765,0.001207417344095348,5.023670500322537e-8,-2.575224231901951e-8,3.2739320514706827e-7,8.28384397159518e-6,8.186914320299845e-7,-1.2084820400142456e-6,-7.464969435878006e-6,-5.173135435694951e-6,0.0,5.278046134819519e-5
0.019,1.3437378782096517e-5,-1.288429963834676e-5,6.820202255091045e-5,0.000123932300522028,8.490668879963075e-5,0.005253612079103128,6.31368679154806e-8,-3.780587368972246e-8,3.9294772105935427e-7,1.0218209674076009e-5,9.74377629391526e-7,-1.351160996990317e-6,-6.904578288702951e-6,-6.2433029908897734e-6,0.0,5.0790860974277576e-5
0.02,1.443434654423475e-5,-1.443077103106554e-5,7.280384486005785e-5,0.0002717645448949928,-1.2137191355424627e-5,-0.00083900224883318,7.708530982736402e-8,-5.147159038694085e-8,4.6351069567640497e-7,1.4458704923515181e-5,1.2357646955080756e-6,-1.3872546515528628e-6,-6.3420479098682186e-6,-6.742742296156219e-6,0.0,7.319635731045429e-5
0.021,1.532439593928759e-5,-1.586477964276516e-5,7.666069598590694e-5,0.00015232502892163739,4.920040724203901e-5,0.004934767233591452,9.197590666500244e-8,-6.662772194087791e-8,5.38294888711311e-7,1.4656014313149058e-5,1.0248113867144318e-6,-1.3630977632730844e-6,-8.327746406090156e-6,-6.582511558134631e-6,0.0,7.629787036261868e-5
0.022,1.602968134348993e-5,-1.715300637816729e-5,7.980952507988273e-5,0.0001440761550032145,0.00010507237653606291,-0.0011358466877045299,1.0766461618900073e-7,-8.314929404550435e-8,6.165855674056703e-7,1.8024126418609182e-5,1.0525554294944336e-6,-1.1620194021133666e-6,-8.809444679606175e-6,-5.9497673469038664e-6,0.0,7.636971649820727e-5
0.023,1.6522921210955525e-5,-1.8255654557183463e-5,8.245761696679207e-5,6.887732665319771e-5,0.00013440787860999643,-0.002364878925570277,1.239577811159292e-7,-1.0086998916334855e-7,6.977559660579389e-7,1.6676281961742282e-5,1.0668625931195657e-6,-1.232076443610234e-6,-9.340513532088744e-6,-6.701923369445204e-6,0.0,6.169837279065646e-5
0.024,1.6862458305804137e-5,-1.918451305451494e-5,8.435081326767115e-5,-9.003667471062793e-5,0.0001158923240741091,-0.006207165272325182,1.4066299171355677e-7,-1.1959976803048645e-7,7.812168268899412e-7,1.3453139604463357e-5,7.849579106765012e-7,-1.279093189416881e-6,-1.079259415801506e-5,-7.464306116562016e-6,0.0,7.649824392343288e-5
0.025,1.68694863504619e-5,-1.9988092827031268e-5,8.581853343601765e-5,-0.00015393446290264449,0.00010860840152027142,-0.009582291474409579,1.5755415532318086e-7,-1.3919560218464864e-7,8.663263483340143e-7,6.293544749412402e-6,5.798408932104298e-7,-1.2134977256534243e-6,-1.1256783852659684e-5,-7.669949468579971e-6,0.0,5.210108560269978e-5
0.026000000000000002,1.6604883116011693e-5,-2.065579947323582e-5,8.676682640616145e-5,-0.0001189966072593707,0.000124059478741919,0.004822739251456534,1.743071940456168e-7,-1.595299807116738e-7,9.526685991210899e-7,-6.524143730532478e-7,2.796498499770785e-7,-1.0443917103002866e-6,-1.1878852127756664e-5,-7.401370652918893e-6,0.0,6.449890162904622e-5
0.027,1.6069048930395676e-5,-2.1130065750074323e-5,8.698995646606265e-5,-0.00010878854374293466,1.8308881305728023e-5,-0.006474967176094893,1.9066911808511048e-7,-1.8044014251191924e-7,1.039589838368839e-6,2.205823453487449e-6,-3.244011202713163e-8,-1.084608030281182e-6,-1.2704031785222856e-5,-8.12837170990762e-6,0.0,7.212116784996988e-5
