time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.840737788395569e-5,0.00010456776823861402,-0.00013279783555744198,0.0,0.0,0.0,-1.3268304590042133e-7,1.4309445065361295e-8,3.36543517279693e-8,1.960777482058013e-8,4.644933094541554e-8,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-0.00018509930189113298,1.1308527241005831e-5,-0.0010123639336303391,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-3.4782397796446366e-7,8.264364007747683e-8,-5.3809281372596455e-8,-2.678874514926552e-7,-2.0444527245852304e-6,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00020357511908043917,0.00019170132506899214,0.0018886438684009733,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.1100102810612169e-6,-1.0246444395081268e-7,1.1321927169860456e-7,1.5590855723394103e-7,1.951131315360366e-6,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00010746095420221493,0.0002127490282044058,0.00819195234866444,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,1.3406147207393301e-6,1.0111780741458415e-7,3.170902106967504e-7,-4.995261311311434e-8,2.169581760915908e-6,0.0,2.7611808971105294e-5
0.004,-3.053966188797146e-7,3.5523540610958537e-7,1.1973580589022873e-6,6.0739883228333856e-5,9.508023118939076e-5,-0.0021394227475927765,-2.774722212372775e-10,4.1683675843840064e-10,9.683053469270975e-10,8.608810767764223e-6,2.0856092563581933e-7,5.69951584784321e-7,-1.5705973186512555e-7,3.943413951898973e-6,0.0,6.303304490739602e-5
0.005,-3.418905256324392e-7,6.442994376095105e-7,2.144574539422799e-6,0.0004066492556046001,8.818531726581171e-5,0.001116037222717335,-6.055708483201763e-10,9.148420012433105e-10,2.6362844948851937e-9,6.761096794884699e-6,2.693301091752013e-7,5.232200978053069e-7,2.937745167980783e-7,-4.906583720150561e-6,0.0,1.691811311188582e-5
0.006,-3.6134033074532267e-7,9.252143776850157e-7,3.0795553181293636e-6,-5.7692797572667134e-5,-4.350933015394343e-5,0.0012376269609180434,-9.593222554755533e-10,1.7019201436983854e-9,5.24684917386004e-9,7.888094783918901e-6,6.759596956043262e-7,4.098009984709178e-7,-4.1109807181050503e-7,-1.7894192443324753e-5,0.0,6.6376238547931525e-6
0.007,-2.267755381470993e-7,1.1762433968453646e-6,4.082807393611e-6,0.0002036360814462667,-3.273856679328737e-6,-0.005735978774480268,-1.2657302980530125e-9,2.7555254291471065e-9,8.819675138758384e-9,8.501084727887828e-6,6.182231846610187e-7,2.837285475037931e-7,-6.321234455234788e-8,-2.224994899904352e-5,0.0,1.6658121473936255e-5
0.008,-2.104270507903265e-8,1.3607850602877246e-6,5.785394874224015e-6,-0.00026466912895750026,4.317477167896584e-5,0.0022679826203965076,-1.404680753883361e-9,4.033075466920332e-9,1.3676130249036027e-8,3.4815807942448987e-6,8.217306564603835e-7,2.672746009302208e-7,-7.994145824336723e-7,-2.17726865959127e-5,0.0,8.045862858544469e-5
0.009000000000000001,2.1727479099091642e-7,1.4023230860983556e-6,8.809687395456243e-6,3.322753817379743e-5,-6.748049033309341e-5,-0.0027173618715979338,-1.3001777574479707e-9,5.423189998154826e-9,2.08498819895067e-8,5.302088067626351e-6,5.569433142440696e-7,1.6957227076332352e-7,-2.6382442529279605e-7,-3.180285968690223e-5,0.0,0.00014498698903162973
0.01,8.116374695473407e-7,1.2248989540235477e-6,1.266216874044048e-5,0.00024154997922079855,-0.00019524649666247197,0.0008291980957914411,-8.130367618451871e-10,6.7679924673911124e-9,3.154613456924935e-8,2.9026636269696996e-6,5.901654495294899e-7,-2.576695553071061e-8,5.322026659012188e-8,-4.048451046771506e-5,0.0,8.524144312072075e-5
0.011,1.6804892807956493e-6,6.754741240648993e-7,1.730280417915078e-5,9.90502521119875e-5,-0.00018521264323570765,-0.003614350371256521,4.1270249861533523e-10,7.744359069649256e-9,4.646300785817476e-8,3.3333170920699434e-6,8.317515690615166e-7,-2.774717683196303e-7,-2.0546418048968585e-7,-4.3346660566269545e-5,0.0,9.964810222558771e-5
0.012,2.834066995641251e-6,-2.485136442858003e-7,2.28921646061965e-5,0.00036155019238115043,-0.000229665501513749,0.002319624295715362,2.6464140696185365e-9,7.985853853369853e-9,6.64880145409108e-8,2.514606491401302e-7,9.308679115337086e-7,-5.510296590483929e-7,1.208540755224206e-7,-4.911397967635155e-5,0.0,0.00010711526970471392
0.013000000000000001,4.397533066112162e-6,-1.602444869313117e-6,2.952563457018222e-5,1.1724357909844735e-5,-0.0002673114876729462,0.0011003624639166754,6.22736289401428e-9,7.097171597998047e-9,9.260503807764337e-8,2.4617313117557044e-6,1.2924300106048712e-6,-8.23204338368195e-7,-4.215901148430543e-7,-5.126496640238993e-5,0.0,0.00013167022300978015
0.014,6.351786406578819e-6,-3.4718811757215134e-6,3.722343744989551e-5,-0.0002768000458823612,-0.0001079085873011997,0.00266003960112603,1.1578127731826694e-8,4.598633388007005e-9,1.2590695423558383e-7,3.701687036441059e-6,1.3040367420352213e-6,-1.0054319958897652e-6,-8.38448496605167e-7,-4.355443141973145e-5,0.0,0.00011360832287441605
0.015,7.772787252281959e-6,-5.51325022710108e-6,4.420339382630116e-5,0.00020673115184399542,-4.717253935283731e-5,-0.0006608872081090443,1.8678591974275123e-8,8.784556611332484e-11,1.6676230030354587e-7,6.064034287219244e-6,1.0271425132975362e-6,-1.0375254753538135e-6,-1.969065208267283e-7,-3.762688373412622e-5,0.0,7.264001118471939e-5
0.016,9.29938544732054e-6,-7.414356777291448e-6,5.063281039029958e-5,0.00018029687282872738,-2.3629515751974162e-5,0.003915504312216343,2.7214853898955463e-8,-6.381872022064576e-9,2.1419723263472066e-7,5.813585327574095e-6,1.2338445656207616e-6,-1.0228183568944023e-6,-3.373165161545545e-7,-3.335554375570327e-5,0.0,2.923282883539505e-5
0.017,1.0726066244696335e-5,-9.254413074428192e-6,5.697357232984628e-5,-0.000187011306529361,-0.00010107803903054106,0.000850431971920709,3.723763189666358e-8,-1.4722232241572603e-8,2.6800346759947025e-7,9.454804358559764e-6,1.4140539943506646e-6,-1.208603488551068e-6,-9.488495385314177e-7,-4.707706995173216e-5,0.0,1.616028790699289e-5
0.018000000000000002,1.2010494752178654e-5,-1.1022104593291146e-5,6.271897717395116e-5,-0.0004764058769169704,0.00017312647802689285,0.0013589566505592245,4.861584896066994e-8,-2.4866231368975384e-8,3.2790504104781563e-7,1.0350836842575637e-5,1.2268359810101259e-6,-1.0769264586396916e-6,-1.1954822058547576e-6,-2.7912897848579745e-5,0.0,5.654825270174601e-5
0.019,1.306388005433253e-5,-1.2668179174734099e-5,6.800188902217672e-5,0.00024793465883637207,9.662710928716118e-5,0.005693246175855987,6.116973396719604e-8,-3.672485662735271e-8,3.9329574942343055e-7,1.209805898383033e-5,7.50350436391596e-7,-1.090863622874587e-6,-2.2534794197737643e-7,-4.390268186931544e-5,0.0,4.9973088389431934e-5
0.02,1.401214896136142e-5,-1.4172809176439774e-5,7.252727836800267e-5,0.0004046506776416419,-1.0205153633302052e-5,-0.0011055483174937997,7.471935656351856e-8,-5.0152698781765157e-8,4.636171858724922e-7,1.7182263773492166e-5,9.98344825643485e-7,-1.0675222536477323e-6,-2.691656222820062e-7,-4.916528884855893e-5,0.0,7.342774579031716e-5
0.021,1.4852497686448322e-5,-1.556712068818066e-5,7.630294102251783e-5,-0.0003456628008211156,7.208114342104518e-5,0.0054818285975157385,8.916312911534588e-8,-6.503124494503178e-8,5.380859082400567e-7,1.666704604298609e-5,1.4029356279619526e-6,-1.037172355290824e-6,-1.3457350136209494e-6,-4.5048405435387174e-5,0.0,7.67290306668413e-5
0.022,1.5511235660305524e-5,-1.6816497404089986e-5,7.937112488516137e-5,1.1351299007648928e-5,0.00016249135099171807,-0.0018999091098107533,1.0435591824785865e-7,-8.123497071087277e-8,6.159755888658607e-7,2.148675937319581e-5,1.0571523869728102e-6,-8.570717463018191e-7,-7.610257810088066e-7,-3.625372169429221e-5,0.0,7.640102743935263e-5
0.023,1.5951483449411106e-5,-1.787884058876393e-5,8.194992466408365e-5,-7.203202268199843e-5,0.00015180368850919364,-0.0023929436946427064,1.2010532350579557e-7,-9.859967318129896e-8,6.966711789193366e-7,1.9542654312267467e-5,1.0684329130469045e-6,-8.234150419900507e-7,-8.359949111819225e-7,-4.710165705045587e-5,0.0,6.053735978332373e-5
0.024,1.624649299284312e-5,-1.87654273461246e-5,8.377589158678128e-5,-0.00045522262603242184,0.00010806446463175931,-0.006533870141936936,1.3621629821012537e-7,-1.1693102419953653e-7,7.795900976407714e-7,1.6778331011330014e-5,9.962936258967366e-7,-7.840957105525411e-7,-1.251176047682981e-6,-5.553635899030105e-5,0.0,7.632925195826945e-5
0.025,1.6196413073398256e-5,-1.9529223891025388e-5,8.519881193731029e-5,-0.00028188398612025357,0.00011140059289844635,-0.010044273550774889,1.5246500325780464e-7,-1.3608783854356575e-7,8.640977718068302e-7,9.929528352005685e-6,5.409816456405566e-7,-6.86908835839646e-7,-9.07227766764518e-7,-5.5319208088579506e-5,0.0,4.987592213782763e-5
0.026000000000000002,1.5853206187854546e-5,-2.015630084448002e-5,8.617380538934277e-5,-0.0002803747531060686,0.00015584889035046587,0.006105313024075801,1.6850572554288517e-7,-1.5594268198289607e-7,9.498258442032196e-7,1.3321974071959695e-6,2.5905597284834065e-7,-5.15783090602838e-7,-1.023809407206542e-6,-4.991450814693648e-5,0.0,6.103927471900206e-5
0.027,1.521221738667796e-5,-2.0572339311930294e-5,8.650989719773086e-5,-0.00032110383643095953,2.7602125766709304e-5,-0.007090773041180342,1.840691023121335e-7,-1.7632759651681983e-7,1.036201491288581e-6,6.255083048783663e-6,-2.1379368130950652e-8,-4.641924404258975e-7,-1.156907174644325e-6,-5.818978292772375e-5,0.0,6.747943929892617e-5
0.028,1.4089639799041697e-5,-2.0748643388905895e-5,8.650848880459876e-5,0.00010035426340726415,0.00014323447110594687,0.006829960979778797,1.987545150677726e-7,-1.9700345584929992e-7,1.1227369763680328e-6,4.1167802510701777e-7,-3.4245428477905853e-7,-2.436579542587222e-7,-7.14231736792054e-7,-4.239630773025812e-5,0.0,6.421201651311253e-5
0.029,1.2698211087544414e-5,-2.0643253249841916e-5,8.633405777103506e-5,0.0003370014671766803,0.00016244663510683278,-0.0069926556823239755,2.121808227428943e-7,-2.177276035759307e-7,1.2091644698405563e-6,6.00268369710892e-6,-2.419982534862099e-7,-1.5856061078647803e-7,-4.6847903408509834e-7,-4.7898142668724065e-5,0.0,6.197368840413095e-5
0.03,1.1325241131866279e-5,-2.0297038194680883e-5,8.527658130099013e-5,0.0002114018640897355,0.0001545907902305731,0.0037038215009271395,2.2419863309784202e-7,-2.382037096214459e-7,1.2950511274673101e-6,-3.000804989430609e-8,9.510292946021027e-8,-1.2883708826722124e-8,-7.29613451907135e-7,-4.94248564629253e-5,0.0,8.257534446180962e-5
0.031,9.788511910853056e-6,-1.985290603400245e-5,8.3262316321854e-5,-5.0126836971454336e-5,0.0003009480480784316,-0.006570787464781095,2.3476568415244448e-7,-2.5828743304564764e-7,1.3793845519753039e-6,2.7519547199446737e-6,3.0650786670441864e-7,3.3332688752069065e-7,-1.101619018519355e-6,-3.436128972816194e-5,0.0,8.98534618646664e-5
0.032,8.131480363383574e-6,-1.9247818461557636e-5,8.042933217391665e-5,-0.0001452847492492478,0.00025455805202197494,0.0019468351767526488,2.437331981391689e-7,-2.778516879399403e-7,1.4612877302952438e-6,-3.0549304380315256e-6,2.5629152403243183e-7,5.256219480814508e-7,-1.1282547514832998e-6,-4.410533314081911e-5,0.0,8.647507278634953e-5
0.033,6.269944614022067e-6,-1.8425165480835317e-5,7.686636205444947e-5,0.0003207211178404137,0.0003862437500925184,-0.0019242798906453215,2.5094672319388455e-7,-2.967077124105411e-7,1.5399851841248884e-6,-1.4554766797479221e-6,1.1101461638470022e-7,9.23648637502332e-7,-5.022950007539399e-7,-3.2905334462265633e-5,0.0,7.87147764042318e-5
0.034,4.268278601262288e-6,-1.7259721661347083e-5,7.184524291171514e-5,-0.00021275856616633616,0.0003696472061153001,7.657552988963676e-5,2.5624289906358963e-7,-3.145880424797166e-7,1.6144971052911734e-6,-3.200661597180233e-6,4.3167935799494667e-7,1.2381491378545304e-6,-1.4460438501421862e-6,-3.9394305836166386e-5,0.0,0.00018733571585044235
0.035,2.1940827317709957e-6,-1.5750176498009286e-5,6.621445463506111e-5,-0.0001370467759087751,0.00035056333714714866,0.0035891236349440874,2.5947686519713824e-7,-3.3110096835237853e-7,1.683531365500578e-6,-2.809086403312764e-6,2.1880323303319062e-7,1.5655342803134974e-6,-1.2800822853100622e-6,-4.273163142952139e-5,0.0,6.223965046464268e-5
0.036000000000000004,-1.2732515351606153e-7,-1.4032190597002838e-5,6.025718860915181e-5,-0.00028301046826024643,0.0002471904853286413,0.0017075272268041322,2.6053163602738465e-7,-3.460173202413631e-7,1.7467952345414862e-6,6.110859119085235e-7,8.163543204419639e-8,1.7657625275393686e-6,-1.4027536199447612e-6,-5.4116941815900084e-5,0.0,6.205837227493461e-5
0.037,-2.667619432333981e-6,-1.1969323133378433e-5,5.37813117005817e-5,0.00026375414256303196,2.8514900890209263e-5,-0.006683889840948172,2.591478826072644e-7,-3.590445415703452e-7,1.8038644639521243e-6,1.5665638572918427e-6,-2.013519615879374e-7,1.802865670316183e-6,-5.65334008604529e-7,-6.924855297268782e-5,0.0,7.782642512618817e-5
0.038,-4.997674490384302e-6,-9.733760276855321e-6,4.680566713742624e-5,0.0004701671993961697,0.00013687105638022663,-0.00367716258843982,2.553163274164882e-7,-3.698951495451176e-7,1.8541855997610906e-6,-4.847843674020039e-6,6.255688034426886e-8,1.8725207727645476e-6,-4.4112854417765663e-7,-6.39595620893171e-5,0.0,4.9494700735146914e-5
0.039,-7.271844442044504e-6,-7.461307014337607e-6,3.949702174899839e-5,0.00040573366858060437,-3.3410474426770236e-5,0.0009611906549343794,2.4917870940090836e-7,-3.7849805516177995e-7,1.8973602120885648e-6,-8.1088280514996e-6,5.328466109921866e-7,1.8550358637944817e-6,-6.742150087886629e-7,-7.501700004919862e-5,0.0,4.277525860091852e-5
0.04,-9.256459376365083e-6,-5.0484946785143705e-6,3.203725306298448e-5,-0.0002932830434202539,2.6328733945788933e-6,-0.0014304849157472997,2.40891405644143e-7,-3.8477072306233e-7,1.933124979969934e-6,-7.362463565017415e-6,9.385569045968248e-7,1.8617568146881342e-6,-1.546096651265207e-6,-7.04952970540663e-5,0.0,4.21673432234586e-5
0.041,-1.0979132080065698e-5,-2.382804234273308e-6,2.4971386755990595e-5,-6.957271768701427e-5,-0.00012520761183694323,-0.0067372348896421845,2.3074111049856358e-7,-3.885087608105586e-7,1.961581245235968e-6,-9.269075870986738e-6,6.451500278945201e-7,1.7061253912037643e-6,-1.1319647263436371e-6,-8.22125234181184e-5,0.0,5.973110564524158e-5
0.042,-1.2714127248321523e-5,3.756374819035058e-7,1.7798894266790076e-5,0.0001204993298567265,9.387998743797058e-5,-0.0015244930822554503,2.1888600472450874e-7,-3.8950058043245174e-7,1.982994216759606e-6,-1.553878216804242e-5,5.756013400107729e-7,1.7996965675301033e-6,-8.82647091894614e-7,-6.409115970098537e-5,0.0,2.1540331795051778e-5
0.043000000000000003,-1.4104866564047727e-5,3.1298848870195e-6,1.0713220732109935e-5,-0.00023588999461771984,7.376541941042156e-5,0.0010401176870578586,2.0544758314117866e-7,-3.877584447960423e-7,1.9972167351951856e-6,-1.6833381594668363e-5,6.960476476052762e-7,1.934508979082308e-6,-1.4249001611317578e-6,-6.167838532014469e-5,0.0,4.11261006632077e-5
0.044,-1.540276904731592e-5,5.954639556581763e-6,3.454541801981581e-6,0.00026626437633548957,-1.9592796260214368e-5,0.002767123134090096,1.9067783164005405e-7,-3.832141614685276e-7,2.0043232181610677e-6,-1.563847124920689e-5,4.601388363153293e-7,1.9429752808537745e-6,-7.891340960176291e-7,-6.749808072737134e-5,0.0,3.1207983586397233e-5
0.045,-1.6381759537551575e-5,8.793479794907843e-6,-3.4995778917126565e-6,-5.156948748188752e-5,0.0001006167176870406,-0.0009548020715198333,1.7475804960255224e-7,-3.758454462829583e-7,2.004256895483186e-6,-1.3204716986722878e-5,7.26379418198505e-7,1.9466492034244363e-6,-1.3271226023046858e-6,-6.572418566831847e-5,0.0,4.873153966081746e-5
