time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.840737788395569e-5,0.00010456776823861402,-0.00013279783555744198,0.0,0.0,0.0,-1.3268304590042133e-7,1.4309445065361295e-8,3.36543517279693e-8,1.960777482058013e-8,4.644933094541554e-8,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-0.00018509930189113298,1.1308527241005831e-5,-0.0010123639336303391,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-3.4782397796446366e-7,8.264364007747683e-8,-5.3809281372596455e-8,-2.678874514926552e-7,-2.0444527245852304e-6,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00020357511908043917,0.00019170132506899214,0.0018886438684009733,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.1100102810612169e-6,-1.0246444395081268e-7,1.1321927169860456e-7,1.5590855723394103e-7,1.951131315360366e-6,0.0,5.700183407000063e-6
0.003,-9.18440455365285e-8,1.5580311791809712e-7,3.3240736547221475e-7,0.00011018698335587795,0.00021157835315433583,0.008191912368062357,-7.298324744699993e-11,1.6568728645229855e-10,2.1431510780384842e-10,1.3406108842140749e-6,1.0111829751167405e-7,3.1518306025868876e-7,-4.658967036513067e-8,2.098249499515454e-6,0.0,1.965931690568517e-5
0.004,-1.0876643479998766e-7,2.783838512103771e-7,7.928478072410731e-7,7.64257087420627e-5,8.791371987529074e-5,-0.0021397992075373722,-1.7297014019775782e-10,3.819833799978908e-10,7.633817779024157e-10,8.60874142221906e-6,2.1129058013904154e-7,5.578444111120189e-7,-1.3883036735025534e-7,3.4287228531656624e-6,0.0,1.8238524102858057e-5
0.005,-6.221723403538758e-8,4.387972801267186e-7,1.3876443394182605e-6,0.00040699019983467775,8.363695995892859e-5,0.0011153145151928797,-2.602332559148655e-10,7.359354614789753e-10,1.8422473340135622e-9,6.760621386578211e-6,2.877471342083486e-7,5.076587568403103e-7,2.8931997621511626e-7,-5.148828771189365e-6,0.0,1.554913171643608e-5
0.006,1.5534018659438077e-8,6.16214600597076e-7,2.0010934818370826e-6,-5.734695853882583e-5,-4.637964910552561e-5,0.0012365828303424107,-2.864671343148223e-10,1.2646474059596225e-9,3.5345350117011366e-9,7.88686830165738e-6,6.94716725505541e-7,3.920373914732734e-7,-4.130930125999575e-7,-1.796865068066123e-5,0.0,6.586667398552061e-6
0.007,2.2347442192096262e-7,7.589547602212805e-7,2.746368965094022e-6,0.000200967383105352,-6.542805764355628e-6,-0.005737284018974923,-1.7631414051102737e-10,1.957115565527147e-9,5.891536006659429e-9,8.498790141141588e-6,6.37324009374471e-7,2.627666973702561e-7,-6.782264026463908e-8,-2.2359896937773213e-5,0.0,1.886158945880993e-5
0.008,3.9723361832535474e-7,8.859918326324679e-7,3.7046392369330857e-6,-0.0002764404726226657,4.575187525805871e-5,0.0022659736916661594,1.3247197821716813e-10,2.7767273655111103e-9,9.108223488813666e-9,3.4779175658166887e-6,8.381592556219772e-7,2.5050764090930676e-7,-8.136596524553197e-7,-2.132544482071909e-5,0.0,1.5711559064329115e-5
0.009000000000000001,7.46008942045738e-7,9.43760492273261e-7,5.379578324971715e-6,5.487138303666308e-5,-7.471372595754797e-5,-0.002720656639806715,6.74325309109171e-10,3.7088336298419793e-9,1.3547623322805584e-8,5.296294910171814e-6,5.616025679539604e-7,1.4330109985135402e-7,-2.347444513873345e-7,-3.234184657513628e-5,0.0,0.00010683338793036178
0.01,1.263945753027736e-6,7.275616534590845e-7,7.753704874244032e-6,0.00022145915093866065,-0.00019161951950633126,0.0008244461979766787,1.6932608106308742e-9,4.559930797968489e-9,2.0106472669050314e-8,2.893445315392709e-6,6.164676736734798e-7,-4.595973426550481e-8,2.4101128938013868e-8,-3.9929646077949004e-5,0.0,2.952508946805462e-5
0.011,1.890297388056504e-6,3.746321932881796e-7,1.0461165192956628e-5,8.735377097378113e-5,-0.00017848138947051655,-0.003620990697632109,3.2439773410513986e-9,5.126126934334519e-9,2.9157430419093194e-8,3.319178066901928e-6,8.379587928308178e-7,-2.903272871479696e-7,-2.1614792219814514e-7,-4.255459753134795e-5,0.0,7.096211738716667e-5
0.012,2.535302690190358e-6,-1.4958451116246198e-7,1.3511982274226056e-5,0.0003241769952120819,-0.00021083068126983608,0.0023105189645577172,5.4750816813303125e-9,5.241753486043075e-9,4.116017288870809e-8,2.3044794159762513e-7,9.25371036114775e-7,-5.426410561412596e-7,8.080882408099164e-8,-4.7231356257570545e-5,0.0,4.9324814823263924e-6
0.013000000000000001,3.435668613639442e-6,-7.776488878472836e-7,1.6880452522377952e-5,-2.455036471669973e-6,-0.00025051915927597754,0.0010880679140469443,8.411788592733726e-9,4.80388038613648e-9,5.6265436711868275e-8,2.4313252447189586e-6,1.249555248050177e-6,-7.989597100902356e-7,-4.2545320742037226e-7,-4.975164083689449e-5,0.0,0.0001013217901570009
0.014,4.8048698065435846e-6,-1.8903217986003005e-6,2.144014278562989e-5,-0.0002795201746151874,-9.694523942779019e-5,0.0026446153993499935,1.2506790252597163e-8,3.5100820230272414e-9,7.533863110705529e-8,3.658713730858196e-6,1.246984597241005e-6,-9.722214902616862e-7,-8.310657276575148e-7,-4.271929525486756e-5,0.0,0.00012030790499968486
0.015,5.514693495516581e-6,-3.3122425386749207e-6,2.530051291411764e-5,0.00018707590313502586,-4.852635735974454e-5,-0.0006794117598346953,1.7733854763984912e-8,9.114006920464496e-10,9.888697178794849e-8,6.005352973559951e-6,9.673725197655986e-7,-1.0092237912037413e-6,-2.1376705978655624e-7,-3.8026359513959325e-5,0.0,0.00011200613492876019
0.016,6.39133454762533e-6,-4.7472620304960225e-6,2.8684493485791112e-5,0.00017866398466093676,-2.3768029699001146e-5,0.0038939327391623534,2.36742712210166e-8,-3.12990247615853e-9,1.2585624917940342e-7,5.736115162936774e-6,1.1544221764714264e-6,-9.95466910818888e-7,-3.2910255205206367e-7,-3.3592358895582225e-5,0.0,1.2281357966483388e-5
0.017,7.511035436099227e-6,-6.210651142860774e-6,3.268139826144915e-5,-0.0001503167223898536,-0.00011568707259068247,0.0008264747504881642,3.0586911341381174e-8,-8.588306095481075e-9,1.564467921688799e-7,9.355550762516632e-6,1.3330103151049353e-6,-1.1998136067402936e-6,-8.981417913309567e-7,-4.870601846329005e-5,0.0,9.476423395897917e-5
0.018000000000000002,8.921439536255936e-6,-8.079220589726002e-6,3.768077991436582e-5,-0.00043931738541130627,0.00014965448198206365,0.0013341214555242771,3.879568670605777e-8,-1.569994603399465e-8,1.915699127861076e-7,1.0227536713710092e-5,1.1825018236521356e-6,-1.093932809588851e-6,-1.1567039968131378e-6,-3.0270427225666895e-5,0.0,7.874882974125529e-5
0.019,9.897929323018425e-6,-9.991672254459617e-6,4.2340883949668756e-5,0.00025316966091125793,8.07725600396942e-5,0.005667769842927406,4.8224367887298184e-8,-2.476336845057589e-8,2.316530617482357e-7,1.194989383170237e-5,7.431101448091611e-7,-1.1223607068484238e-6,-2.305208975880809e-7,-4.5379910963931595e-5,0.0,3.160142357907846e-5
0.02,1.0819609421726392e-5,-1.1687801337726162e-5,4.6305418370408654e-5,0.0004044754367590986,-1.9901093986304082e-5,-0.0011315882221322215,5.85898662163699e-8,-3.561237330062345e-8,2.760188616609799e-7,1.700857734870585e-5,9.96336067511075e-7,-1.1072234282300351e-6,-2.74490140000933e-7,-5.000738359583731e-5,0.0,4.833304868786452e-5
0.021,1.1691652842586802e-5,-1.3280690697968446e-5,4.977607682721746e-5,-0.0003455272293455925,6.598399517061159e-5,0.00545546390174272,6.985495038123299e-8,-4.810402846270478e-8,3.240963736481851e-7,1.6467286267763763e-5,1.4007465476214655e-6,-1.0817102548086989e-6,-1.3465347589112927e-6,-4.55527009059609e-5,0.0,4.992671768033547e-5
0.022,1.2413859321990484e-5,-1.4752687354819669e-5,5.2795357021845944e-5,1.1457564853017203e-5,0.00015847772733742322,-0.001926345185462745,8.191703591759436e-8,-6.21315549017663e-8,3.7541866310076667e-7,2.1260626905706325e-5,1.055094884415575e-6,-9.045751630409974e-7,-7.602239517175665e-7,-3.6574684332100006e-5,0.0,5.0529640453149976e-5
0.023,1.2994721425228463e-5,-1.6078154258028657e-5,5.549488326184369e-5,-6.740216799617154e-5,0.00014707917339857617,-0.0024192749829225215,9.463211004017762e-8,-7.755912722471708e-8,4.29591127996749e-7,1.929009654385123e-5,1.0664800286585307e-6,-8.751957211691849e-7,-8.291380089084264e-7,-4.750078631654609e-5,0.0,4.239334786521377e-5
0.024,1.3427820874745707e-5,-1.726669463010447e-5,5.77040832680602e-5,-0.0004552059176035141,0.00010470897494004963,-0.006559840915382283,1.0785361898911841e-7,-9.424049616583857e-8,4.862276283168608e-7,1.6499474636748e-5,9.989696114636604e-7,-8.383784811833065e-7,-1.2509757405525349e-6,-5.5787844161433585e-5,0.0,5.114943144635774e-5
0.025,1.347944476523102e-5,-1.839292560779326e-5,5.9899851801914014e-5,-0.00029529974526067523,9.993585031845397e-5,-0.010069510774444802,1.2134657685114797e-7,-1.120679204338732e-7,5.450008723478094e-7,9.624754715476874e-6,5.436700256332813e-7,-7.539286497835825e-7,-9.224059283015553e-7,-5.633904965202828e-5,0.0,5.430903732456044e-5
0.026000000000000002,1.2187097963613396e-5,-1.9470904782565745e-5,6.401103852800244e-5,-0.00041695587281746375,0.000160182890117256,0.006082949077504162,1.3434819825997038e-7,-1.3102277054426775e-7,6.06646703342618e-7,1.002526954560218e-6,2.4830701056588396e-7,-5.743766588370698e-7,-1.1828380510424467e-6,-4.9316161299772814e-5,0.0,0.000371370356139178
0.027,8.853010654514182e-6,-2.043765197885246e-5,7.167991728422482e-5,-0.000519065624839713,-2.3926333889796353e-5,-0.007106101783288169,1.4501827880276916e-7,-1.509371850579977e-7,6.742599408651339e-7,5.9034503105454094e-6,-1.6875899618909872e-7,-5.861965714099589e-7,-1.3518440484891912e-6,-6.303152248428404e-5,0.0,0.00043509846345009197
0.028,2.5768219021356126e-6,-2.2476964949445878e-5,8.299692622554104e-5,-0.0002455269834999293,4.671701701103567e-5,0.006825367402324967,1.510533540916568e-7,-1.7228469651582604e-7,7.512382426958992e-7,4.58209589753978e-8,-6.878748612266656e-7,-4.711977507150171e-7,-1.049862693457705e-6,-5.109613705812652e-5,0.0,0.0006546429380748661
0.029,-6.2836759812955684e-6,-2.594053417041568e-5,9.50830169842523e-5,8.46853151556768e-5,2.7408239622766785e-5,-0.006985031114338258,1.4929573973846034e-7,-1.9637072970596888e-7,8.406106253360434e-7,5.633124500517586e-6,-9.333528981294466e-7,-5.273202788411385e-7,-6.296200292871887e-7,-5.95060469403019e-5,0.0,0.00033957153973257693
0.03,-1.5510976314168713e-5,-3.0922337509091496e-5,9.95771787858871e-5,3.2355708549742876e-5,1.7227593417948265e-6,0.003717383257943879,1.3850213851493677e-7,-2.246815005961558e-7,9.385991735793233e-7,-3.913403276421714e-7,-8.485780681319609e-7,-5.339386266171752e-7,-7.963434764466901e-7,-6.174851240826136e-5,0.0,0.0006018373376172697
0.031,-2.7004245861079472e-5,-3.754847701244192e-5,9.64434690289907e-5,-0.0002892263007292187,0.0001130180434874099,-0.006557506278547851,1.1745088133090359e-7,-2.5876348984494837e-7,1.0372549400570744e-6,2.4042613915977095e-6,-8.162123830366561e-7,-3.761828258953363e-7,-1.2526178832420581e-6,-4.901825218730649e-5,0.0,0.0007798087999823933
0.032,-4.07558562901831e-5,-4.625653301535086e-5,8.516252698732038e-5,-0.0004018248509321398,3.781786903349943e-5,0.0019521644492185312,8.371983980813648e-8,-3.005057725736583e-7,1.1286651515220675e-6,-3.3901735203931455e-6,-1.1055283196948054e-6,-3.967208214660554e-7,-1.2817582545903001e-6,-6.0246982757707006e-5,0.0,0.0008130614920944298
0.033,-5.6762986499864907e-5,-5.707443934096097e-5,6.556563894026117e-5,2.9841142190327114e-5,0.00013353473133729865,-0.0019341638941134448,3.515386341915082e-8,-3.5199646691364417e-7,1.2047238533372859e-6,-1.786587339098848e-6,-1.5073515748291307e-6,-2.459981426117382e-7,-6.76595089256673e-7,-5.102595555668442e-5,0.0,0.0009063258979224338
0.034,-7.500726597384516e-5,-7.014009267711411e-5,3.7014701993195e-5,-0.0005043164734793086,8.189836035261918e-5,7.676515858651634e-5,-3.058048171515088e-8,-4.154428601008113e-7,1.2566566352803388e-6,0.002529594407251349,-0.0007898624322540386,0.004034434057683511,-1.5122496234834434e-6,-5.9557635263742366e-5,0.0,0.0009100159948559982
0.035,-9.532900533784264e-5,-8.535713607491356e-5,1.7999887860314898e-7,-0.0004528194967906993,4.4090959458683435e-5,0.0035588793174542027,-1.155813576527264e-7,-4.93022063755213e-7,1.2759002463409674e-6,0.0025299814621932188,-0.0007903669783404081,0.0040344838529515386,-1.3540841229286576e-6,-6.270918321737154e-5,0.0,0.0008932494369040043
0.036000000000000004,-0.00011778826946348813,-0.00010271396249027606,-4.492432101889721e-5,-0.0006007702983314826,-8.135702121595605e-5,0.0016391321258348863,-2.2198259651415485e-7,-5.868938094998135e-7,1.2541666035884836e-6,0.0025333681347044067,-0.0007908197126303743,0.0040344011709482494,-1.452965890457846e-6,-7.412199062078355e-5,0.0,0.0008796788455552575
0.037,-0.00014233103629658392,-0.00012214330165989892,-9.829475032876766e-5,-7.58841366883893e-5,-0.0003228927032431589,-0.0067987113453472515,-3.518762398155282e-7,-6.99161135909294e-7,1.1832082156011249e-6,0.0025342517438580753,-0.0007914197826344089,0.004034130077858445,-6.196321680700723e-7,-8.917877308637566e-5,0.0,0.0008928434520361471
0.038,-0.00016846249995218973,-0.00014361180903309315,-0.00015918134234844622,0.00013233106090968947,-0.00021653015724225355,-0.003844641990942816,-5.071722403128603e-7,-8.318931632226818e-7,1.0549807073030157e-6,0.0025277178953709086,-0.0007914948534827185,0.004033871704274491,-4.659209136025865e-7,-8.163955226140934e-5,0.0,0.0007613674462537404
0.039,-0.00019572229742395678,-0.00016671103543095447,-0.00022608608144726217,8.347302898383426e-5,-0.0003833117904834174,0.0007351570912385334,-6.891891880336878e-7,-9.869487392600992e-7,8.62752665235548e-7,0.00252428374421456,-0.000791361528624248,0.004033543991292784,-6.573421175978354e-7,-8.992221716766102e-5,0.0,0.0006388504543581494
0.04,-0.00022382708329129146,-0.00019107050571393581,-0.00029796337745749207,-0.0006232117015462033,-0.0003498466209860817,-0.001720449839432975,-8.9890473680705e-7,-1.1657508235533035e-6,6.010827023180683e-7,0.002524798621730531,-0.0007912772699349293,0.004033231670696538,-1.5202501939240407e-6,-8.321783730968112e-5,0.0,0.0005401719623476509
0.041,-0.0002524830321833503,-0.00021641063433472458,-0.00037373109563022106,-0.0003926283838127072,-0.0004780432793360733,-0.007095100504640172,-1.1370385516052066e-6,-1.3694303562372757e-6,2.654832384264506e-7,0.0025225958909573945,-0.0007918993826875083,0.00403276204911136,-1.0760807171935964e-6,-9.246404222586499e-5,0.0,0.00041111704127560843
0.042,-0.00028121908291632174,-0.0002423830044132529,-0.000452079155589688,-0.00016277105341492307,-0.00024457788995022446,-0.0019529984378051325,-1.403897120380984e-6,-1.5987912277756745e-6,-1.472704560614731e-7,0.0025159622465494953,-0.0007922914664343396,0.004032553584673767,-7.603749333119912e-7,-7.044332703775066e-5,0.0,0.0002802753076297957
0.043000000000000003,-0.00030966069480552877,-0.0002686204785849733,-0.000531818413050352,-0.0005173927423738196,-0.00025673162128269294,0.0005396123068391931,-1.6993732249866795e-6,-1.8542868610207738e-6,-6.391612210748891e-7,0.0025142327023524743,-0.0007924538632358852,0.004032397684738887,-1.2922002070418749e-6,-6.48473965626093e-5,0.0,0.00016988259152387927
0.044,-0.0003376362264813642,-0.00029480735991087374,-0.0006120513398169543,-9.182120436087979e-6,-0.0003439829087295692,0.0021940248632822314,-2.0230610377776916e-6,-2.136010328962584e-6,-1.211075155502123e-6,0.0025149206108680397,-0.0007929705389127894,0.0040321219348065426,-6.350449751140971e-7,-6.770245747331927e-5,0.0,0.00012333498369232945
0.045,-0.0003648261215422226,-0.0003207942431987714,-0.0006919093423857619,-0.00032448929373511,-0.0002201106626357988,-0.0016002063293748363,-2.374372973893348e-6,-2.44383720297625e-6,-1.8631377867859045e-6,0.002516774580874786,-0.0007929790099049255,0.004031844215404001,-1.155385765735845e-6,-6.322677412268347e-5,0.0,0.00012863802702139186
