time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.840737788395569e-5,0.00010456776823861402,-0.00013279783555744198,0.0,0.0,0.0,-1.3268304590042133e-7,1.4309445065361295e-8,3.36543517279693e-8,1.960777482058013e-8,4.644933094541554e-8,0.0,0.0
0.001,-1.3502189157069372e-10,2.5039485577255944e-8,2.7233745337326165e-9,-0.00018509930189100564,1.1308524311171367e-5,-0.0010123639338163871,-7.261623633850755e-14,9.0249106066822e-12,1.3055926455900326e-12,-3.478239779885427e-7,8.264364007746943e-8,-5.380927465320005e-8,-2.678874515223419e-7,-2.0444526514657283e-6,0.0,3.3434529687305938e-6
0.002,-3.067464627445228e-8,7.204739887308806e-8,6.573719479747689e-8,0.0002035751188940992,0.00019170131455401116,0.0018886438626110028,-1.4946179893497878e-11,5.7060226110791533e-11,3.170219860782633e-11,-1.1100102817181754e-6,-1.0246444395162721e-7,1.1321929195163642e-7,1.5590855076032087e-7,1.9511317683148784e-6,0.0,5.700195439174802e-6
0.003,-4.6379848670494506e-8,1.396617841919618e-7,2.41936154915306e-7,0.00011343955302720306,0.00021017487099045008,0.008191830171088587,-5.26544253400235e-11,1.603748165920791e-10,1.773291641478508e-10,1.3406032471339502e-6,1.0111888135105058e-7,3.1291576407310367e-7,-4.258218400859149e-8,2.013446896792846e-6,0.0,1.0356748114920612e-5
0.004,-4.172442761266496e-8,2.315568973804475e-7,6.182215789852792e-7,7.676172622731951e-5,8.69503073281034e-5,-0.0021399660166348646,-9.659088048433052e-11,3.4457077303213595e-10,5.930472260914752e-10,8.608644570560437e-6,2.145441245909824e-7,5.548548056629987e-7,-1.393305908036307e-7,3.387076696226641e-6,0.0,1.7519577954531143e-5
0.005,-5.177626087388008e-9,3.494807857803903e-7,1.0658647206603265e-6,0.0004051316790226925,8.219985530170825e-5,0.0011150066789568976,-1.2138801505222876e-10,6.326768914054883e-10,1.4289932499679325e-9,6.760345589082449e-6,2.913362580599993e-7,5.030905183410301e-7,2.8657060370162817e-7,-5.224918883897933e-6,0.0,9.710419892316863e-6
0.006,7.575871497246851e-8,4.740939041180599e-7,1.5236969197806847e-6,-5.7892597038305175e-5,-4.7541150594934646e-5,0.0012361215627316633,-8.815537727183742e-11,1.0453679396697453e-9,2.7220546910375605e-9,7.88627071505135e-6,6.96446743019367e-7,3.8645794157388264e-7,-4.1346146053873736e-7,-1.8011647379695472e-5,0.0,5.2172771943461215e-6
0.007,2.472281718468451e-7,6.120003336140555e-7,1.8831892106414312e-6,0.00019892516741443873,-3.36962146579572e-6,-0.005738110555810526,6.552657912971959e-11,1.5849721503647168e-9,4.437904762132758e-9,8.497697928453358e-6,6.385077595856718e-7,2.6163131056152094e-7,-6.998093064584145e-8,-2.1997422276394803e-5,0.0,1.8541490897521923e-5
0.008,3.885078218628766e-7,7.779036015286149e-7,2.3951863903806946e-6,-0.00027746103880555985,4.7642501156718815e-5,0.002264709493227593,3.818708059249452e-10,2.279494105737003e-9,6.566499523122352e-9,3.47596039415539e-6,8.373004061780096e-7,2.5100619433900184e-7,-8.141430983758456e-7,-2.1115208443069215e-5,0.0,1.1037066361761929e-5
0.009000000000000001,5.210840023925896e-7,9.364538402915623e-7,3.0305695359025987e-6,3.235570972185958e-5,-6.490709143530776e-5,-0.0027229087104647257,8.35380834446507e-10,3.1379083373345404e-9,9.271590082542059e-9,5.2929886755379935e-6,5.597192446767311e-7,1.5544477360768894e-7,-2.610806075724944e-7,-3.138904961331001e-5,0.0,1.1003529485226358e-5
