time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,6.840737788395569e-5,0.00010456776823861402,-0.00013279783555744198,0.0,0.0,0.0,-1.3268304590042133e-7,1.4309445065361295e-8,3.36543517279693e-8,1.960777482058013e-8,4.644933094541554e-8,0.0,0.0
0.001,-1.3503053747587503e-10,2.5042252264681085e-8,2.723597858127391e-9,-0.00018509930189113298,1.1308527241005831e-5,-0.0010123639336303391,-7.262008916307907e-14,9.025706082758648e-12,1.3056701390456467e-12,-3.4782397796446366e-7,8.264364007747683e-8,-5.3809281372596455e-8,-2.678874514926552e-7,-2.0444527245852304e-6,0.0,3.3434500234925e-6
0.002,-3.067707208603226e-8,7.206239697865356e-8,6.574351055252926e-8,0.00020357511908043917,0.00019170132506899214,0.0018886438684009733,-1.4947031162193357e-11,5.7069142551390614e-11,3.17045326706261e-11,-1.1100102810612169e-6,-1.0246444395081268e-7,1.1321927169860456e-7,1.5590855723394103e-7,1.951131315360366e-6,0.0,5.700183407000063e-6
0.003,-1.1539074699957161e-7,1.626324044586652e-7,3.765817604404461e-7,0.00010746095420221493,0.0002127490282044058,0.00819195234866444,-8.144493240786478e-11,1.6763659546316715e-10,2.2928857561945987e-10,1.3406147207393301e-6,1.0111780741458415e-7,3.170902106967504e-7,-4.995261311311434e-8,2.169581760915908e-6,0.0,2.7611808971105294e-5
0.004,-3.052563980666027e-7,3.551960267814678e-7,1.1970973160024851e-6,6.075788176178337e-5,9.507281102286519e-5,-0.002139422989105125,-2.774233472984825e-10,4.168255669560356e-10,9.682192397737211e-10,8.608810750520548e-6,2.0856092891594407e-7,5.699403571916638e-7,-1.5703794152543813e-7,3.942853105390943e-6,0.0,6.298041951974227e-5
0.005,-3.4167318322002646e-7,6.441455279244185e-7,2.1439986303161297e-6,0.00040664932867934245,8.818084048254652e-5,0.0011160366765217275,-6.053330417483359e-10,9.147310858503042e-10,2.635759852514635e-9,6.761096510214088e-6,2.693481128540874e-7,5.232055859841176e-7,2.9376943426858814e-7,-4.906840775485998e-6,0.0,1.6917878891883256e-5
0.006,-3.6104485568042696e-7,9.249747304724383e-7,3.07871985266853e-6,-5.769270370313555e-5,-4.351202434081352e-5,0.0012376261532205768,-9.588292284288744e-10,1.7016115995054947e-9,5.245617710215841e-9,7.8880939300694e-6,6.759777714805204e-7,4.097844604603579e-7,-4.111004060401562e-7,-1.7894272810391192e-5,0.0,6.637794385543728e-6
0.007,-2.2644172464224832e-7,1.1759138297601449e-6,4.081806958969461e-6,0.00020363020163564077,-3.2780275616082215e-6,-0.005735979753106275,-1.2649144599716839e-9,2.7549345011231594e-9,8.817512178163982e-9,8.501083050339301e-6,6.182413517927039e-7,2.83707560876195e-7,-6.322073029992082e-8,-2.225016790846867e-5,0.0,1.66576594383505e-5
0.008,-1.9221185436488783e-8,1.3598435929532228e-6,5.784983347933276e-6,-0.00026448837796275864,4.3099899837669955e-5,0.0022679821978928197,-1.4030112821674103e-9,4.031956751758903e-9,1.3673130672204256e-8,3.481578178398086e-6,8.217429730792806e-7,2.6716099061367024e-7,-7.991971670131107e-7,-2.1779578400141855e-5,0.0,8.061341729293894e-5
0.009000000000000001,2.2455218537483066e-7,1.3981314643102237e-6,8.811860060778768e-6,3.3666561991621845e-5,-6.770042371741816e-5,-0.0027173598568442335,-1.2943317957597696e-9,5.419795228483247e-9,2.0847580185547316e-8,5.302085193444211e-6,5.571364771906052e-7,1.6920555981440122e-7,-2.633504251385365e-7,-3.182295265153367e-5,0.0,0.00014512017922082817
0.01,8.27110981565569e-7,1.2133365622920076e-6,1.2676371669919754e-5,0.00024195657890547137,-0.0001955397206762542,0.0008292112108721168,-7.95999801680572e-10,6.757064877851018e-9,3.155061887551486e-8,2.902663858116502e-6,5.907977422499112e-7,-2.6439604641356625e-8,5.355402581764341e-8,-4.050981189982191e-5,0.0,8.641718502495507e-5
0.011,1.7088789327864793e-6,6.52216709025041e-7,1.7344646534783774e-5,9.963906300665404e-5,-0.0001856229614485053,-0.00361431096228011,4.5082100105989724e-10,7.716977956807694e-9,4.649281523676702e-8,3.3333327559648983e-6,8.327905660291409e-7,-2.7857125957031607e-7,-2.0495409904324184e-7,-4.338106057465909e-5,0.0,0.00010133249026407279
0.012,2.8819088314923975e-6,-2.897674794556577e-7,2.2981676784337894e-5,0.00036234342144476884,-0.00023022847194055051,0.002319709063558397,2.72066814911745e-9,7.928478761730043e-9,6.657734268530897e-8,2.515201737979977e-7,9.324958403350479e-7,-5.527085069614595e-7,1.2152956276229093e-7,-4.91601228549984e-5,0.0,0.00010934697306705783
0.013000000000000001,4.4727104167596616e-6,-1.6697455265357054e-6,2.9687592856314522e-5,1.2740440065652657e-5,-0.0002680563908798369,0.0011005172795096015,6.360685908172396e-9,6.988119923573034e-9,9.281322894037467e-8,2.461882149466692e-6,1.294851316813844e-6,-8.256408463010625e-7,-4.207544348585416e-7,-5.132455596417627e-5,0.0,0.0001344748515212583
0.014,6.463957649928123e-6,-3.5758113963985497e-6,3.74895313177778e-5,-0.0002755431026410688,-0.00010886053949487102,0.002660295378174895,1.1804366317141987e-8,4.404718071565428e-9,1.2632680605186838e-7,3.702001572943786e-6,1.3074743031535506e-6,-1.0088268890090931e-6,-8.374544484028863e-7,-4.362859825443829e-5,0.0,0.00011698285403599082
0.015,7.917683931112222e-6,-5.659173100868797e-6,4.4579833573501506e-5,0.00020672569961939152,-4.775295246501494e-5,-0.0006605225782571066,1.903488372433776e-8,-2.3170594757304368e-10,1.675070239826401e-7,6.064614379137511e-6,1.0318369259671708e-6,-1.0413767581698223e-6,-1.9757344336046415e-7,-3.76588154253648e-5,0.0,7.304810607526127e-5
0.016,9.475532211382178e-6,-7.597100695661737e-6,5.110686683356413e-5,0.00018051596158502045,-2.407405517561168e-5,0.003915967554020532,2.7731263006311537e-8,-6.865903023993163e-9,2.1536703131571618e-7,5.81453836440784e-6,1.2385332973530525e-6,-1.027031924024907e-6,-3.3743875404206706e-7,-3.3371998270593165e-5,0.0,2.913960100739821e-5
0.017,1.0940246946022982e-5,-9.475537713561611e-6,5.7546932658332117e-5,-0.0001861141400147935,-0.0001017168561014372,0.0008509935627704849,3.794840900812379e-8,-1.540776775771715e-8,2.6969687757977975e-7,9.456229909351542e-6,1.4189617489631133e-6,-1.2134388282418384e-6,-9.481193113025042e-7,-4.7110452654704804e-5,0.0,1.541887267065039e-5
0.018000000000000002,1.226726152841229e-5,-1.1289601949787485e-5,6.341131119878321e-5,-0.0004758929600680072,0.0001725213665935339,0.0013596350319238074,4.956332867850444e-8,-2.579590598480417e-8,3.3023204224287363e-7,1.0352833929753279e-5,1.2326408890631044e-6,-1.0822976966482912e-6,-1.195405904911121e-6,-2.7938489230796624e-5,0.0,5.586361390504302e-5
0.019,1.3358915136619004e-5,-1.2980644125627752e-5,6.879858940606606e-5,0.00024841843140388455,9.605347208995207e-5,0.005694029393719229,6.239297109023242e-8,-3.7944974075410375e-8,3.963693105806949e-7,1.2100744491397631e-5,7.566682187975592e-7,-1.0967427700180993e-6,-2.2530054574938286e-7,-4.392128267305268e-5,0.0,5.084262454512286e-5
0.02,1.4343017863558797e-5,-1.4528108844912518e-5,7.342043457687573e-5,0.00040476913663391195,-1.0616215207177875e-5,-0.00110466887598892,7.625569511543948e-8,-5.1706939269139966e-8,4.675360150001028e-7,1.7185741929500552e-5,1.0051462352949123e-6,-1.0737182802551905e-6,-2.69561017394153e-7,-4.916456136418502e-5,0.0,7.410561132996947e-5
0.021,1.521808923768771e-5,-1.5962737403054062e-5,7.728711616805507e-5,-0.00034550371994836773,7.174783344225255e-5,0.005482799718687267,9.104785167768022e-8,-6.696108554438412e-8,5.429438665058968e-7,1.667141162758245e-5,1.4098553400182396e-6,-1.0436252609396393e-6,-1.3459947487810848e-6,-4.503777108922586e-5,0.0,7.737876817179134e-5
0.022,1.5908661101433746e-5,-1.7249997854009122e-5,8.043809136561462e-5,1.1469896311856785e-5,0.00016221872213250857,-0.0018988553168329165,1.0662234392684812e-7,-8.357959328677541e-8,6.218598245939745e-7,2.1492103787734405e-5,1.0642310378717353e-6,-8.637275646546115e-7,-7.613192310864142e-7,-3.623512016182607e-5,0.0,7.728008659087018e-5
0.023,1.6381097254506726e-5,-1.834836292945205e-5,8.308795669825412e-5,-7.155749953504138e-5,0.00015142429157339772,-0.0023918177850788163,1.227851020598686e-7,-1.0139584264952757e-7,7.036593041788347e-7,1.9549059056710042e-5,1.0756301383985535e-6,-8.304219014820199e-7,-8.358546348621429e-7,-4.7091397998006785e-5,0.0,6.180407861885944e-5
0.024,1.6703423678831584e-5,-1.9269141458166254e-5,8.497531312140285e-5,-0.0004551039220289725,0.00010776420118979865,-0.006532681955994476,1.3933972329696782e-7,-1.202141921522797e-7,7.877480158672417e-7,1.6785867140365795e-5,1.003965350173929e-6,-7.913403665551318e-7,-1.2515711153441405e-6,-5.5515484591282235e-5,0.0,7.736614317126837e-5
0.025,1.66797176548315e-5,-2.0064577501388134e-5,8.644929717867587e-5,-0.00028158161525019794,0.00011094320246196958,-0.010043033687492299,1.560585812466997e-7,-1.3989055671647578e-7,8.734817212472729e-7,9.938256875446206e-6,5.487720270969262e-7,-6.946046021862993e-7,-9.07355734527258e-7,-5.531138744995307e-5,0.0,5.0766548209876516e-5
0.026000000000000002,1.6367001240417272e-5,-2.0726067298388983e-5,8.74485896574278e-5,-0.0002792948538019386,0.000154993702767433,0.00610658008141011,1.7259703081141984e-7,-1.602974407928525e-7,9.60475327595815e-7,1.3421664840746185e-6,2.6714874511233865e-7,-5.243838455626263e-7,-1.0230392217559162e-6,-4.994160659495259e-5,0.0,6.320406058544493e-5
0.027,1.5773437308065925e-5,-2.1185272244471515e-5,8.774967075004275e-5,-0.0003186834654466978,2.610351147055113e-5,-0.007089538492551003,1.8869615456616854e-7,-1.812727094863514e-7,1.048113988831068e-6,6.266317404621013e-6,-1.2206271781444143e-8,-4.7439796263749524e-7,-1.1547808252314811e-6,-5.8272608444562454e-5,0.0,7.02572711383062e-5
0.028,1.4723509699348669e-5,-2.1422319836407405e-5,8.762352078299096e-5,0.00010399328270953341,0.00014081482293142882,0.006831083156618202,2.0397649412325168e-7,-2.0258991186622357e-7,1.1358346102542416e-6,4.241306780412266e-7,-3.3086022937632067e-7,-2.56444179710842e-7,-7.111546307301232e-7,-4.2557248971011585e-5,0.0,6.580786292869928e-5
0.029,1.3440304016085638e-5,-2.1405093631165303e-5,8.720743856624917e-5,0.00034200967639219296,0.0001589904163468674,-0.006991762573602301,2.180879282789466e-7,-2.24029504305037e-7,1.2232664767801944e-6,6.016234612099258e-6,-2.2676416557604812e-7,-1.7497175663356095e-7,-4.643836092964825e-7,-4.814251839293554e-5,0.0,5.967693200741055e-5
0.03,1.2144655361736738e-5,-2.1157571943176143e-5,8.590723577629691e-5,0.00021153342655941666,0.0001524704105557717,0.0037044705424756933,2.30889144426226e-7,-2.4531845965587566e-7,1.3098975615698964e-6,-1.5586236178266065e-8,1.153454438533129e-7,-3.103516118621086e-8,-7.321107480957901e-7,-4.952019793737306e-5,0.0,8.32307962832913e-5
0.031,1.0680878022398544e-5,-2.0793470729051064e-5,8.366528772888386e-5,-5.0007705853659705e-5,0.0002996167586783534,-0.006570367667123147,2.42312646612264e-7,-2.663041248877838e-7,1.3947507966190729e-6,2.7670031017871685e-6,3.268811140465688e-7,3.1413718995665034e-7,-1.1031103738876248e-6,-3.437549144118187e-5,0.0,9.027998075981622e-5
0.032,9.093246743409412e-6,-2.025860597828356e-5,8.060584979420391e-5,-0.00014513575149743385,0.00025367039501072075,0.0019470296395601803,2.5220801510496703e-7,-2.868451577025754e-7,1.476945871694059e-6,-3.0394806853047794e-6,2.767831539218137e-7,5.057771865421387e-7,-1.1292993963757333e-6,-4.40771000343033e-5,0.0,8.668263309726626e-5
0.033,7.30418017573929e-6,-1.950214376253523e-5,7.680842305201318e-5,0.0003220477318345408,0.0003851405207894506,-0.0019243164756339178,2.604188368951998e-7,-3.0674506163791327e-7,1.555704836614175e-6,-1.4398545028260404e-6,1.3165484742350705e-7,9.027759404033032e-7,-5.017754948606145e-7,-3.289877386097447e-5,0.0,8.034666556883676e-5
0.034,5.377122122372289e-6,-1.8406329807197882e-5,7.159107191855222e-5,-0.0002105586463173067,0.00036789716931768146,7.634049423481465e-5,2.6678494346675485e-7,-3.25737183355706e-7,1.6300560804726304e-6,-3.1850927617260933e-6,4.536462572540882e-7,1.215485115960059e-6,-1.44477172846188e-6,-3.94462571966871e-5,0.0,0.00018016369050587023
0.035,3.3718890577219608e-6,-1.6970967073214814e-5,6.577399847263696e-5,-0.00013600541077223602,0.0003490648120005128,0.0035887023071185234,2.711638612596765e-7,-3.434350000014962e-7,1.6987494041886256e-6,-2.7937690920032458e-6,2.429701312454894e-7,1.5415153478885971e-6,-1.2806075092413973e-6,-4.2750266921064416e-5,0.0,6.420161313278677e-5
0.036000000000000004,1.1471883232957834e-6,-1.5328110172944037e-5,5.9585869831903336e-5,-0.0002785140097738938,0.00024446299576645126,0.001706879787409098,2.7344036562068906e-7,-3.596075762576549e-7,1.7614596782157222e-6,6.259620717754023e-7,1.0684430604418635e-7,1.7388183337578913e-6,-1.399017851364074e-6,-5.4247347221182136e-5,0.0,6.128011424727841e-5
0.037,-1.2283738394601564e-6,-1.3383721287233727e-5,5.2850597351006886e-5,0.0002726227560555264,2.3308165248010172e-5,-0.00668479156980481,2.7340688156662277e-7,-3.739845795041424e-7,1.8177273416786222e-6,1.5807687823588944e-6,-1.71644788676368e-7,1.7702447717113149e-6,-5.573569922675049e-7,-6.959927312078967e-5,0.0,7.40778689693029e-5
0.038,-3.461573479786602e-6,-1.128214869914154e-5,4.5645596601019103e-5,0.0004702236171377772,0.00013373214058060037,-0.0036782968301394916,2.7106498792383324e-7,-3.863204104461204e-7,1.8670027976843575e-6,-4.834563952530566e-6,1.0113339719353925e-7,1.8373365348602055e-6,-4.4549487350195627e-7,-6.408013206368412e-5,0.0,4.881372291447775e-5
0.039,-5.6397641462703474e-6,-9.110566433836553e-6,3.811526262116376e-5,0.00040576623293288295,-3.532353384307402e-5,0.0009598365337635808,2.6651193743800133e-7,-3.965236396007547e-7,1.9089053545460493e-6,-8.096702804731719e-6,5.714787771743627e-7,1.8183669808452841e-6,-6.769575408842498e-7,-7.501252219563267e-5,0.0,4.1693146661511795e-5
0.04,-7.5402236841706485e-6,-6.782039207552677e-6,3.0448113501979836e-5,-0.0002934546400797355,1.3525402120910492e-6,-0.0014320471959427196,2.5990002084640467e-7,-4.044887434873554e-7,1.9431833155584806e-6,-7.351714180700367e-6,9.772204134391586e-7,1.8241227155395568e-6,-1.5483943097411789e-6,-7.043204660721205e-5,0.0,4.107662273149109e-5
0.041,-9.192367437171651e-6,-4.18702447714071e-6,2.318729481286716e-5,-6.964660881406152e-5,-0.0001260869067975995,-0.006738993285056456,2.5150349983120617e-7,-4.0999594920980976e-7,1.9699537134304227e-6,-9.25990484817244e-6,6.836410379722425e-7,1.6678604533894492e-6,-1.1338075499752032e-6,-8.21140876643303e-5,0.0,6.0442656227131766e-5
0.042,-1.0871063381914381e-5,-1.4848176776888962e-6,1.5834183898691547e-5,0.00012052623890904174,9.3277520617595e-5,-0.0015264323145008727,2.4146492282681454e-7,-4.1282157770770446e-7,1.9894906172807723e-6,-1.5531386194912574e-5,6.140180382682591e-7,1.7610184203676778e-6,-8.842660580962414e-7,-6.396908914627312e-5,0.0,1.9213951615019512e-5
0.043000000000000003,-1.2220088311467288e-5,1.2281317145611597e-6,8.583998634563691e-6,-0.00023591791506555627,7.330272676379332e-5,0.0010380139433324247,2.2989132987100065e-7,-4.129619152100386e-7,2.0016644596263484e-6,-1.682794000320181e-5,7.344909865168663e-7,1.8954900044902352e-6,-1.4265709504281604e-6,-6.15455294699495e-5,0.0,4.1446910981511664e-5
0.044,-1.3492047345647092e-5,4.026573013505068e-6,1.1825280900209185e-6,0.00026615863668705557,-2.0007813889226674e-5,0.0027648753167255563,2.1702073448121886e-7,-4.103336773183066e-7,2.0065682633851117e-6,-1.5635146300160614e-5,4.985540514255748e-7,1.9036081975474574e-6,-7.908733630388357e-7,-6.736281740589957e-5,0.0,2.8295620899821323e-5
0.045,-1.4461092384492444e-5,6.852997691973189e-6,-5.899499748021253e-6,-5.171420967537028e-5,0.00010022753503412553,-0.0009571785634489955,2.0301704777024164e-7,-4.049004655386146e-7,2.0041636475754545e-6,-1.320365144781502e-5,7.646887609399609e-7,1.906924923036841e-6,-1.328864813344105e-6,-6.558835267052996e-5,0.0,4.908871698229965e-5
