time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,-0.0002146462292080777,8.921212052704665e-5,-0.005979434823134838,0.0,0.0,0.0,-2.0735755442586784e-8,2.1259168867120862e-8,-1.0948165514607634e-7,-4.0327285342823965e-6,6.534449947139158e-6,0.0,0.0
0.001,-5.4405727581336956e-8,3.5023821280735194e-11,-8.043620631884023e-9,-0.00018458346245030108,-5.418337254320642e-5,-0.0052818935189949965,-2.6638333142115857e-11,-3.0653959332152787e-15,-2.9814930327529552e-12,-2.5071848840030944e-7,1.0900311648124024e-7,-6.088885929108725e-6,-4.44215195798821e-6,6.350485347132333e-6,0.0,3.31411150154106e-6
0.002,-1.3722527396587056e-7,-5.774812537307114e-9,-2.533442556426257e-8,-6.399355876159573e-5,0.000447272883838039,0.00739377122423576,-1.2057570101604733e-10,-2.160083405344017e-12,-1.9040505047631574e-11,-4.017108466327017e-7,5.526079201146242e-8,-1.1370223430353088e-5,1.1117275045788129e-6,0.00015244465324258197,0.0,3.7795162935511644e-6
0.003,-3.1480935313947004e-7,3.393623348716369e-8,1.0272446763366277e-7,0.00012454656533372445,-0.0003859084919347029,0.0021344959060371448,-3.384919477499628e-10,3.9835249911929576e-12,3.5567779799436e-12,-3.604160631244672e-7,4.953716634335084e-7,-3.97668308116951e-6,8.203998598622622e-6,-7.481527364367022e-5,0.0,2.1485457787074302e-5
0.004,-4.5104813062389636e-7,1.142475225987396e-7,1.3914814622109177e-7,1.2265072040146193e-5,-0.00019007069668237333,0.011206822986449368,-7.197605999973017e-10,7.961350629608806e-11,1.3088423825362042e-10,-3.223312550959187e-7,1.103386254325958e-7,-1.8417899310949417e-6,4.125202282721692e-6,-4.724681189623285e-5,0.0,5.7451316007008585e-6
0.005,-6.753223882664879e-7,1.2938607303120368e-7,-9.823237263129934e-9,-7.716598049636822e-5,0.00016208168580921994,-0.000817398922021614,-1.278095254906677e-9,2.1015739926807665e-10,2.1242660933254936e-10,-4.2439206054824643e-7,-7.713791538864857e-8,9.364506130123417e-6,-4.245457352343769e-7,3.4408277252284675e-5,0.0,1.74731143087929e-5
0.006,-9.987621257487399e-7,6.32868226836e-8,-4.32080844711699e-7,0.0003163902969093447,-3.1895985255410154e-5,-0.0014825356235844901,-2.106778743597171e-9,3.118139217173345e-10,1.626611391077777e-11,-5.4699855426734706e-8,8.309091880813168e-8,8.547077766204029e-6,8.058497821754351e-6,3.381008525347943e-5,0.0,2.97983101102603e-5
0.007,-1.153783970225253e-6,6.159124897313359e-9,-1.0205066790218412e-6,0.00018312449826559196,-3.616041093151206e-6,-0.005154728478072468,-3.1864484612857365e-9,3.38705678546931e-10,-6.958379607923493e-10,2.2855332944230104e-7,5.1210121771264125e-8,7.06438098021122e-6,3.85396598078542e-6,3.798886432442039e-5,0.0,2.5283804215325422e-5
0.008,-1.3535721516406332e-6,-7.97288138393491e-9,-1.4855748417951817e-6,8.178702728658053e-5,-0.00011613842994917471,0.003322695575973228,-4.440398614208207e-9,3.3810917358253496e-10,-1.9564194132600725e-9,3.711524759342014e-7,4.609610773329614e-8,1.9100245250358852e-6,1.245621241202636e-6,-9.574134073142732e-6,0.0,5.130655681571464e-6
0.009000000000000001,-1.533985768285088e-6,-2.2360108877003876e-8,-1.89070975433674e-6,0.00024671752654138355,-0.0001330872044985833,-0.0007701256139317205,-5.8859157291426195e-9,3.227337028785135e-10,-3.6481185128759997e-9,5.960006211818022e-7,-7.022216613082739e-8,5.2325405573799425e-6,7.895921446746018e-6,-1.5257980210468806e-5,0.0,4.775526775978816e-6
0.01,-1.649960709711886e-6,-4.438701318221091e-8,-2.1909415878305203e-6,0.00019855505433796018,0.00026731584933079055,0.00046786956303966794,-7.479948086590648e-9,2.9046893279639156e-10,-5.696470040054357e-9,8.797031311370064e-7,-2.0004497834452463e-7,4.462467607849121e-6,8.647377197400754e-6,-1.4205461153790187e-5,0.0,9.67749161315095e-6
0.011,-1.727932875207308e-6,-6.776027284588756e-8,-2.3950564146202033e-6,0.00029327592523111683,0.0004566715278804495,0.0015950561276884957,-9.171711883750416e-9,2.337776527613889e-10,-7.996064115217337e-9,-0.012466254497664938,-0.003593079048808542,-0.010230599426367476,1.05405631410447e-5,-1.3578336875473756e-5,0.0,9.814882503924426e-6
0.012,-1.6582493224586635e-6,-3.922519906569821e-8,-2.420608245787375e-6,0.0002819624951660084,0.00021988104128433018,-0.003851745615159017,-1.0873073549658833e-8,1.731502671492284e-10,-1.0422215330405521e-8,-0.01246596092979793,-0.003592625587447933,-0.010229004608304273,9.588954659177953e-6,-9.071862660981871e-5,0.0,2.2275345162200995e-5
0.013000000000000001,-1.4008027107805615e-6,1.1148178362836943e-7,-2.0432212068517118e-6,0.0003443391805743121,0.0005346872758942569,-0.0030965995656686415,-1.2421115245677604e-8,1.9703322688649298e-10,-1.2694957592193032e-8,-0.012465651343729284,-0.0035924057379028195,-0.010232856322252775,1.0298419517134534e-5,-8.970363618293118e-5,0.0,5.081712539448302e-5
0.014,-7.008485628347447e-7,5.319328142482209e-7,-7.366230952238369e-7,0.0002916513831211201,0.0003557827059622322,-0.0053305463337586945,-1.3514615485432255e-8,4.88721458636543e-10,-1.4184025126200098e-8,-0.012465308521388259,-0.0035918747489249647,-0.010235953018102699,9.136366060291322e-6,-0.00016204114117414364,0.0,0.0001207188084389182
0.015,6.693467189645919e-7,1.4242780006399576e-6,1.8921704467765636e-6,0.0002209244751417364,0.00016670400070504176,-0.0006108473676936258,-1.3577583450109437e-8,1.4276660571079958e-9,-1.3699637054561113e-8,-0.012465035983131846,-0.0035915244330293077,-0.010241283355873914,7.6066683355596215e-6,-0.0002474915923871845,0.0,0.0001319391890578755
0.016,2.405943167169728e-6,2.793589713894232e-6,5.825898397871832e-6,0.0002765766243305958,0.00031007747136087196,-0.00859062934182249,-1.2074720209319188e-8,3.503943396373098e-9,-9.938511673562742e-9,-0.012464835277166417,-0.003591358533292044,-0.010241894554233603,6.57168058419613e-6,-0.0002084425944336871,0.0,0.00013739940017997256
0.017,4.813169222166554e-6,4.534806643719067e-6,1.0671479269219294e-5,0.00028629340576339415,0.0002787016241809875,-0.0014471765004065275,-8.511503561476855e-9,7.144185030154653e-9,-1.7366184542896113e-9,-0.012464498020897427,-0.0035910520657965487,-0.010250484870153728,8.862993139810806e-6,-0.00021380644224881632,0.0,0.00010081285015418785
0.018000000000000002,7.151844261291822e-6,6.3019273869101435e-6,1.5044932216398773e-5,0.00014785435107025956,0.00019832933646783096,-1.9352057012945404e-5,-2.5517582481629098e-9,1.2589013003440972e-8,1.12066587248107e-8,-0.012464272889567906,-0.0035907768170301913,-0.010251931983061832,6.522670064431398e-6,-0.00025026600654084834,0.0,5.55281396201211e-5
0.019,9.697442548088821e-6,7.796449146958327e-6,1.98123946367352e-5,0.00018662848427600871,0.00013932372298927487,0.004145688466575292,5.855423177716439e-9,1.96608578786475e-8,2.8565108398248934e-8,-0.012464193021166258,-0.0035905805369051288,-0.010251951151218365,4.0713859908003884e-6,-0.0002892460009767257,0.0,6.431891469005717e-5
0.02,1.260233117816357e-5,9.01648450858174e-6,2.5513933232298925e-5,0.00012944377882013195,0.0004473216510722356,0.0026440632758059934,1.697336062499206e-8,2.8084609786118243e-8,5.114525793037326e-8,-0.012464095655669851,-0.003590439496100612,-0.010247805532701788,9.703236193444829e-7,-0.00020422081890869267,0.0,0.00010162214175514209
