time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,0.00011537785577624325,-2.4799993018899135e-5,0.0014578489656826077,0.0,0.0,0.0,1.2497555037670119e-8,-8.953925127294544e-11,1.1581251665226518e-9,1.4532618314767865e-8,-3.833079309231612e-10,0.0,0.0
0.001,2.515476194091232e-9,5.318887366179248e-9,-1.1495209012701504e-9,6.652269855396489e-5,5.5891372399670695e-5,5.95566606641537e-5,1.2660489123926994e-12,2.03569626463297e-12,-5.047281208596297e-13,1.2747378142985159e-7,-2.435284382928396e-8,1.4430555360708794e-6,1.3686624984404982e-8,9.284321028575077e-10,0.0,6.150111660794632e-9
0.002,9.462869735108966e-9,2.2295327883097563e-8,-4.685781760492926e-9,-0.0001775156846678407,8.224133717234045e-5,-0.005296493421374723,7.133019241798885e-12,1.4820572023265935e-11,-3.2745207613723106e-12,1.9250836252291082e-7,3.178844716385768e-8,1.4381594063394478e-6,1.0443375971600086e-8,1.5377438422456567e-9,0.0,2.539566456311313e-8
0.003,-1.6563961532643734e-7,6.6506358838774e-8,-7.458166741523169e-8,-0.00022185789793557393,5.854600224456158e-6,-0.0017512152763667246,-6.192322473714808e-11,5.549815403908954e-11,-3.253380593072934e-11,1.408465358593009e-8,1.1374887042436778e-7,-3.818956350589061e-6,8.463623279937233e-9,8.522365651115254e-10,0.0,1.5067187921322416e-5
0.004,-4.2225760807936797e-7,1.949710378504261e-7,-4.6463512126168833e-7,0.00013069063456482618,0.00020697971928669844,-0.0006367565787520511,-3.4664438954037737e-10,1.773471806645394e-10,-2.759005997812011e-10,-2.0559266855916715e-7,1.200717277977996e-7,-5.5570864993165955e-6,1.321618919159041e-8,1.9929784315642826e-9,0.0,3.3277527778029335e-5
0.005,-8.537589408472225e-7,4.387974843400113e-7,-1.1173974538075528e-6,-0.0005160172439163746,0.0003518714389949756,-0.00028794865080973916,-9.700532657516207e-10,4.861969197476281e-10,-1.045623543439662e-9,-7.91791767301043e-8,3.2735480328045254e-7,-6.189849370800217e-6,3.888479264647287e-9,2.7338115891230454e-9,0.0,3.2449862938594687e-5
0.006,-1.6128884166767274e-6,8.512102591882588e-7,-2.1987235873141822e-6,5.24347080339988e-5,-0.000339539975600317,0.0027859415993005364,-2.1666744847921766e-9,1.1112142076277009e-9,-2.649818978839737e-9,-5.915276219539719e-7,6.766677776956716e-7,-6.4431492748776456e-6,1.1881433731824831e-8,-3.513193772396666e-9,0.0,7.084287305317316e-5
0.007,-2.7224384303170968e-6,1.491471963098194e-6,-3.7874478254098213e-6,-7.211685682177984e-5,-0.00013658148169150546,0.0023187449890421027,-4.3166117512508156e-9,2.2735585724304243e-9,-5.637449166385977e-9,-5.394401911484312e-7,3.3789534259059485e-7,-3.6626523919547987e-6,1.1129236764583578e-8,-1.6402324647770098e-9,0.0,4.142133882590419e-5
0.008,-3.5038440274639775e-6,2.0742620485587336e-6,-5.251052821573052e-6,-0.00022769412468854616,0.0004280194007784523,0.0024162500236045857,-7.431039840268766e-9,4.069886934114945e-9,-1.0171615874575507e-8,-6.126095174895283e-7,2.0292718179881281e-7,-1.3427908353646432e-6,8.835797201895834e-9,2.2949494455933405e-9,0.0,4.487587630723463e-6
0.009000000000000001,-4.386221779529108e-6,2.6200619928965097e-6,-6.7286566010676035e-6,6.0425912020869326e-5,-0.0002025601451553173,0.009987035367081155,-1.1373086882229571e-8,6.4125265147169755e-9,-1.6154658985407087e-8,-8.389672307260951e-7,6.286124884469649e-7,1.1590512721805367e-6,1.1747789622409833e-8,-3.3996957521969483e-9,0.0,7.043057290803536e-6
0.01,-5.2501236304999064e-6,3.1663021063554806e-6,-8.092679665689194e-6,2.0404657962198888e-5,0.0001337765551829665,-0.001515413172097019,-1.6192242388123246e-8,9.309090102218384e-9,-2.357397796541634e-8,-7.792729174606106e-7,4.2714315163387064e-7,1.1013808817004023e-5,1.0152628330573129e-8,-7.360253533477949e-10,0.0,9.36787693387613e-6
0.011,-6.0579337848646e-6,3.6852919950211487e-6,-9.28614197652747e-6,-3.036402420256107e-5,-0.000181734171561448,-0.004664301922940631,-2.1848889042772643e-8,1.273585168945394e-8,-3.227624196249432e-8,0.016192508511176647,0.006347491205935191,-0.002068553546225509,9.16351673819197e-9,-4.35455003241444e-9,0.0,1.4952444293901244e-5
0.012,-6.7996260788537635e-6,4.173108746317464e-6,-1.0371347693482813e-5,7.477402443699855e-5,-0.00023753579778615271,0.0036058332816651713,-2.82820212389214e-8,1.666871798131365e-8,-4.211436117523972e-8,0.016192477913575535,0.006347309469895819,-0.0020731234885739266,9.474152576453162e-9,-4.5121750072296e-9,0.0,1.3453059921830284e-5
0.013000000000000001,-7.483132951984107e-6,4.61328933614275e-6,-1.1328410727049084e-5,-3.333924141689913e-5,2.818970778266502e-6,-0.0025037432508188146,-3.542846254698539e-8,2.106567043589769e-8,-5.297459163627463e-8,0.016192551485852455,0.006347072738447309,-0.0020695931925154253,7.923992881728445e-9,-2.1757174488619563e-9,0.0,1.47478130856316e-5
0.014,-8.101512431948922e-6,5.0003833367190794e-6,-1.2142256196088436e-5,-0.0003144305782093745,0.0001445151819600697,0.0011921240815399347,-4.32262905490865e-8,2.5876941714891157e-8,-6.472149446501094e-8,0.0161925162807758,0.006347076112769758,-0.0020720504951770363,3.8396382739227164e-9,-1.0018554073456555e-9,0.0,1.607489027482394e-5
0.015,-8.756971225714375e-6,5.366234218776378e-6,-1.2901243565719741e-5,0.00022108792074973413,-0.00030078146684901633,0.0033774015528925164,-5.165551656099701e-8,3.105860699369508e-8,-7.725149329235024e-8,0.01619220509741503,0.0063472195987947485,-0.0020708328249457128,1.0275365130859164e-8,-5.088890844237906e-9,0.0,1.1025852725336579e-5
0.016,-9.36424806432065e-6,5.664243062270134e-6,-1.3676605111369751e-5,-0.00034890520945260104,0.00020176979975257712,-0.0024449545357589915,-6.071572913052544e-8,3.6586519882530084e-8,-9.053519475005716e-8,0.016192421713490685,0.006346920180563912,-0.0020675270007815163,1.876742542434286e-9,-6.583442620505646e-10,0.0,1.2792795190951632e-5
0.017,-1.008748427465234e-5,5.841064460488489e-6,-1.4333949187514425e-5,-0.00021726401443771066,6.720096500705745e-6,0.006523931081362597,-7.043605875870364e-8,4.234402990920111e-8,-1.045539392533175e-7,0.01619207394352849,0.006347121791264693,-0.002069866076657625,3.4451351029297526e-9,-2.8000852946362765e-9,0.0,1.742352109433885e-5
0.018000000000000002,-1.0831147702039822e-5,6.033352419225192e-6,-1.4318041413666456e-5,-0.00024190918428114848,9.736238403569011e-5,-0.00774966496669547,-8.087819719441486e-8,4.8272287746283704e-8,-1.1895075933247387e-7,0.016191856331833603,0.006347129483024908,-0.0020635085611571315,2.6534044488266167e-9,-1.526765558191444e-9,0.0,7.640542433784582e-5
