time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.2245939671367666e-5,9.331045872756819e-5,-1.4721105263893805e-5,0.0,0.0,0.0,-0.0007899070568800629,0.0040347146229234325,0.0022478440095696083,1.5412949141315365e-5,1.1514060172517192e-5,0.0,0.0
0.001,0.0,0.0,0.0,2.2483782185691476e-6,-1.2483489084801367e-5,-0.00012730090500097821,0.0,0.0,0.0,-0.0007898558285474096,0.004034807536768879,0.002247766486801654,-0.00017839325301422169,-6.760893397782265e-5,0.0,0.0
0.002,0.0,0.0,0.0,0.00011087325256298662,9.905946447945478e-5,0.00014590650824084143,0.0,0.0,0.0,-0.000789853540203903,0.004034795118984973,0.002247879201338992,8.542945277995888e-5,0.00019247062437607187,0.0,0.0
0.003,0.0,0.0,0.0,0.0001369472302414131,0.00010798175698324773,0.001152382700107012,0.0,0.0,0.0,-0.0007897428933779069,0.004034894379109278,0.0022493778167909004,-1.948836381746617e-5,0.00010567278838572338,0.0,0.0
0.004,0.0,0.0,0.0,0.00018650742415099157,-3.1675237600780174e-5,0.0003469248309574121,0.0,0.0,0.0,-0.0007896061915264696,0.004035002684022846,0.0022493693864148743,-0.00010778586979970336,0.00014577911511500804,0.0,0.0
0.005,0.0,0.0,0.0,0.00019322024000031625,-0.00011028418843389551,0.00040120448174750463,0.0,0.0,0.0,-0.0007894194584914156,0.004034970073532909,0.0022498081054526005,0.00020150994264361155,4.585463392744195e-5,0.0,0.0
0.006,0.0,0.0,0.0,0.00023556963331656454,-0.0003743925821409945,0.0004012496416326774,0.0,0.0,0.0,0.01010356805648132,-0.0005111492488530248,-0.004944366695288139,-0.0002760243647269378,0.00010343583324964291,0.0,0.0
0.007,0.0,0.0,0.0,0.0002970415401888029,-0.00027127532928885825,-0.000649906750538705,0.0,0.0,0.0,0.0101038017773626,-0.0005115247873036524,-0.004944675756140157,-0.00011465212875277447,0.00016422131251222084,0.0,0.0
0.008,0.0,0.0,0.0,0.000425215588684896,-0.00021316770749235745,-5.014404298516004e-5,0.0,0.0,0.0,0.010104097455937686,-0.0005117974885332351,-0.004944662048272668,-0.0006869366105894355,0.00023800209643252265,0.0,0.0
0.009,0.0,0.0,0.0,0.0004130627431930592,-0.00022940064645937905,-0.0004910272047536909,0.0,0.0,0.0,0.010104521621373564,-0.0005120129048296097,-0.004945426333843754,-0.0003919123484499039,-2.4433377649944467e-5,0.0,0.0
0.01,0.0,0.0,0.0,0.0003469835840536433,-0.00026281057107386364,-0.0002266098263715369,0.0,0.0,0.0,0.010104933549808053,-0.0005122443664691663,-0.0049454340455316265,-0.00014313410761462641,-8.11357008546051e-5,0.0,0.0
0.011,0.0,0.0,0.0,0.00034897765153572255,-0.00020910005413794338,-0.0007182401323277286,0.0,0.0,0.0,0.010105279225869986,-0.0005125088694892181,-0.00494665879105693,-0.00028147471448253204,-3.765068928866127e-5,0.0,0.0
0.012,0.0,0.0,0.0,0.0003466645693772959,-0.000191524598980301,-0.00018959626608421314,0.0,0.0,0.0,0.010105627170826349,-0.0005127197382154381,-0.004946207252372682,-3.353348473082512e-5,-0.0001403261094196145,0.0,0.0
0.013,0.0,0.0,0.0,0.00037964127378447714,-0.0001788316637656686,-5.41899895556546e-5,0.0,0.0,0.0,0.010105972758439224,-0.0005129128427234464,-0.004946084535049586,-0.0004122089816413879,-0.00012682186926590828,0.0,0.0
0.014,0.0,0.0,0.0,0.0004934557875007345,-7.150066128813522e-5,0.00029436799434918586,0.0,0.0,0.0,0.01010635150323374,-0.0005130935055271403,-0.004945409045168028,-0.0008099009997182779,7.788974737412723e-5,0.0,0.0
0.015,0.0,0.0,0.0,0.0005656295461366585,-6.966751411126628e-5,2.9688837080909353e-5,0.0,0.0,0.0,0.010106844614796514,-0.000513167440067172,-0.004945691123091087,-0.00036426382505329346,8.486072212526437e-5,0.0,0.0
0.016,0.0,0.0,0.0,0.0005970500196237486,0.0004595659118899127,0.0005003973532444699,0.0,0.0,0.0,-0.008470967620740932,0.004378378802684256,-0.011457171370168256,-0.0004188368580434207,-0.00044085300995610924,0.0,0.0
0.017,0.0,0.0,0.0,0.0007228571538588765,0.0002387755277535628,0.000357104220653655,0.0,0.0,0.0,-0.008470365521693352,0.00437883017803245,-0.011456763475630188,-0.0008995331216178463,-0.0005794242783194435,0.0,0.0
0.018,0.0,0.0,0.0,0.0007455368790310087,0.0003717598996969547,0.0003732896588142949,0.0,0.0,0.0,-0.008469639982786931,0.0043790608115276105,-0.01145638778327246,-0.0012112448838228502,4.8226792732471635e-5,0.0,0.0
0.019,0.0,0.0,0.0,0.000789198713029951,0.0004046735991976722,0.001034645627236829,0.0,0.0,0.0,-0.008468890219964708,0.00437942370291729,-0.011455026101929385,-0.0005546748534895957,-0.0005794897789734561,0.0,0.0
0.02,0.0,0.0,0.0,0.0008795885704893967,0.000363526808814537,0.00039733636093235657,0.0,0.0,0.0,-0.008468096434671068,0.00437981934739263,-0.01145507361824795,-0.00047497109827353897,-0.0005048763937456935,0.0,0.0
0.021,0.0,0.0,0.0,0.0009543117379348569,0.0004237666088625697,0.0010527200135638257,0.0,0.0,0.0,-0.008467212764608647,0.004380172853494883,-0.011453439718922251,-0.0012746580212526625,-0.0003441318175138099,0.0,0.0
