time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.224634170650279e-5,9.330969107605253e-5,-1.666031463906012e-5,0.0,0.0,1.5707963267948966,1.224360885255983e-9,3.208991376908366e-10,-3.170173864093819e-9,1.5412566208699373e-5,1.1514820333932663e-5,0.0,0.0
0.001,1.0154169029206415e-10,9.678927336888125e-12,2.1042282571408242e-11,2.248995156701288e-6,-1.2486856837303856e-5,-0.0001290827936834776,-3.660372267047721e-15,3.918112537774171e-14,1.5707963270209695,5.20220249181038e-8,9.311132011181367e-8,-9.292166386168214e-8,-0.00017837881338232702,-6.760139481451301e-5,0.0,1.630055508621699e-8
0.002,1.0961446550450793e-9,1.307884613932754e-10,2.6129447431864793e-10,0.0001108758599022357,9.905996840831617e-5,0.00014430773149309465,-6.502484236773497e-14,5.75390352847718e-13,1.570796327024346,5.428459097304629e-8,8.068506824379815e-8,3.239917740799021e-8,8.55355331266094e-5,0.0001925001419769669,0.0,1.1534381575047522e-7
0.003,5.093983446857649e-9,7.080841023726714e-10,1.3177615427821027e-9,0.00013695669186891053,0.00010798747822708392,0.0011509256369427222,-4.3671085097105753e-13,3.3714405785698938e-12,1.5707963270247747,1.6515684234669054e-7,1.796967719282389e-7,1.5671332099918943e-6,-1.912958639044946e-5,0.00010576852095673689,0.0,3.8664749743483623e-7
0.004,1.6608996922948092e-8,2.6031811535664823e-9,4.537201790546015e-9,0.000186534828375588,-3.165447252132664e-5,0.00034557581668512435,-1.9615177232088545e-12,1.3497114983610103e-11,1.5707963270273795,3.0211127532093365e-7,2.8769989649273083e-7,1.5389129736849756e-6,-0.00010691087582052993,0.00014600716119296102,0.0,9.389403803014672e-7
0.005,4.3262983033162584e-8,7.433237765102591e-9,1.2211577808676524e-8,0.00019329544069091173,-0.00011009754497828258,0.0003999276202345936,-6.6988596412586875e-12,4.200867913469041e-11,1.5707963270353382,4.887983639717718e-7,2.5469177977666733e-7,1.9772702263572483e-6,0.00020326281509620777,4.617170570540544e-5,0.0,1.8773017712895847e-6
0.006,9.643099105415081e-8,1.7784746831028635e-8,2.7667279705457946e-8,0.00023173666101311384,-0.00023453107490171765,0.000414960264034305,-1.8807974757054684e-11,1.0944400369905091e-10,1.5707963270545664,6.818264606207872e-7,1.440720438256166e-7,2.4067660328259363e-6,-0.0002689845838051214,-3.553198442847206e-5,0.0,3.2932639587024027e-6
0.007,1.918162225634616e-7,3.740652100350269e-8,5.528685044440466e-8,0.00029333315751693705,-0.0001313447778409164,-0.0006370830310316585,-4.557052224152706e-11,2.497537423088702e-10,1.5707963270949195,9.135687688657001e-7,-9.044439748485729e-8,7.318532830076387e-7,-0.00010575634565553171,2.5733675451138468e-5,0.0,5.25596125338577e-6
0.008,3.4963809446907215e-7,7.132375259029539e-8,1.0033267826984596e-7,0.0004217063401130121,-7.313850438708839e-5,-3.760745852836951e-5,-9.863760189972218e-11,5.148011388710131e-10,1.5707963271711243,1.2068839905262156e-6,-2.2174778532196153e-7,1.276975845104149e-6,-0.0006756485083075198,0.00010014462387405102,0.0,7.801742481156561e-6
0.009,5.945263985228257e-7,1.2587844345607063e-7,1.6863460895891187e-7,0.00040985242465215523,-8.92310200437511e-5,-0.000478593428080496,-1.9534874518802355e-10,9.78920902563006e-10,1.5707963273034726,1.6286002642716107e-6,-2.9503434853008424e-7,2.3096028828870423e-7,-0.0003776944786783586,-0.00016151563148317872,0.0,1.0925485555038025e-5
0.01,9.54916737156437e-7,2.0863390712126303e-7,2.6612164451702334e-7,0.0003442040754095066,-0.00012246779325305067,-0.00021455973745928842,-3.5983914294945735e-10,1.7424166237071568e-9,1.5707963275180736,2.038458196492156e-6,-3.8428601891453053e-7,3.581786304999759e-7,-0.00012550240259127823,-0.00021729202406930133,0.0,1.457550296401089e-5
0.011,1.4625752342278744e-6,3.2831905117367443e-7,3.982403006383074e-7,0.0003467928189881535,-6.854857379874202e-5,-0.0007060303489019061,-6.24902276957359e-10,2.9376924679323277e-9,1.5707963278471921,2.3826586369571116e-6,-5.067332033563339e-7,-1.0185752139808322e-6,-0.0002600475631494297,-0.00017274964479310046,0.0,1.8649622489179398e-5
0.012,2.150513323625758e-6,4.943019460418936e-7,5.691814133460961e-7,0.00034527164389723877,-5.0712510997899334e-5,-0.00017764255208132097,-1.0318316144991213e-9,4.727390252106232e-9,1.5707963283274702,2.729457740462208e-6,-5.753267507312865e-7,-4.264436337473514e-7,-8.076601634810854e-6,-0.0002742819582269722,0.0,2.3001149679015752e-5
0.013,3.052098592516048e-6,7.163892749985704e-7,7.812105506231967e-7,0.00037929434559093403,-3.701687219473382e-5,-4.215634177175595e-5,-1.6320343459309773e-9,7.309331974952001e-9,1.570796328999178,3.07460396041669e-6,-6.259011053276006e-7,-2.682091530365804e-7,-0.0003826655278328406,-0.00026027750406862235,0.0,2.744138125153076e-5
0.014,4.198831458536942e-6,1.0042090481613054e-6,1.033949074354926e-6,0.0004943905913507285,7.07854299576171e-5,0.0003068735753255677,-2.4865047412903026e-9,1.0913239688447897e-8,1.5707963299034153,3.4538907717185577e-6,-6.628733021347825e-7,4.5774337628104705e-7,-0.0007764910365430648,-5.4499744470480225e-5,0.0,3.175376743615121e-5
0.015,5.618714963317506e-6,1.3667208741686634e-6,1.3238972166716747e-6,0.0005681336826859922,7.309721506489109e-5,4.155450726369661e-5,-3.6653783819639938e-9,1.5798113637162684e-8,1.5707963310793989,3.948296928676817e-6,-5.920810177526485e-7,1.676406778853312e-7,-0.0003273485183978449,-4.6484841535648746e-5,0.0,3.570875739977542e-5
0.016,7.3342802360760865e-6,1.8116155390375624e-6,1.643893746467931e-6,0.0006158300292860863,5.26530355871683e-5,0.0005508537868525263,-5.247354394752201e-9,2.2248983932019062e-8,1.5707963325610215,4.516428555577824e-6,-5.189715659921196e-7,1.4014018808009138e-6,-0.00039344723453086543,-2.1079790121488947e-5,0.0,3.908094014209345e-5
0.017,9.361289342210294e-6,2.3448502733483454e-6,1.9830720505324726e-6,0.0007437967366688589,-0.00016785809337278493,0.00040651014064738725,-7.3181110626206896e-9,3.05707083909713e-8,1.5707963343736664,5.132076919933967e-6,-4.6772413016553825e-7,1.643430450478335e-6,-0.0008720505934052094,-0.0001586361806890166,0.0,4.166697926895549e-5
0.018,1.1707053727193038e-5,2.970025044574675e-6,2.3268751100458527e-6,0.0007689804464781001,-3.3875015780678966e-5,0.00042259475552842263,-9.96810809615723e-9,4.1079521185060206e-8,1.5707963365297428,5.875865137583936e-6,-6.354277665116173e-7,2.0851579619260775e-6,-0.0011827175813298033,0.00046912121933690516,0.0,4.3310071979459e-5
0.019,1.4369506374947076e-5,3.6879094185592594e-6,2.657604533775619e-6,0.0008154648011424304,-5.933904243204767e-7,0.0010874029955890922,-1.3289605131725366e-8,5.4092598005679605e-8,1.5707963390243902,6.644866598567124e-6,-6.695991129514792e-7,3.980650716180514e-6,-0.0005261672329569294,-0.0001581063706334279,0.0,4.392382456627523e-5
0.02,1.7338147735349313e-5,4.496542781546062e-6,2.9555096547172726e-6,0.000908970951493282,-4.0851125689981405e-5,0.0004459117534055706,-1.7374277858151207e-8,6.992102942352442e-8,1.570796341834534,7.460333889438072e-6,-6.70150942888003e-7,3.6659961055790964e-6,-0.00044756587087137634,-8.377508720674744e-5,0.0,4.349816692964836e-5
0.021,2.059496401396029e-5,5.391310286013715e-6,3.2000187686816673e-6,0.000987076081553111,2.0435998219431322e-5,0.0011063064536888062,-2.231036666806072e-8,8.886137138998294e-8,1.5707963449177489,8.369277408645003e-6,-7.109268344591685e-7,5.579703304950534e-6,-0.0012493524749639996,7.627136422309331e-5,0.0,4.2105423095293234e-5
0.022,2.4115158402213637e-5,6.364984085386114e-6,3.3705781396689375e-6,0.0010268688740143806,3.504199704756476e-5,0.0003743334022256418,-2.8181830537991e-8,1.1119408291530316e-7,1.5707963482106138,9.35636281633819e-6,-6.90397240765039e-7,4.966020933852183e-6,-0.0009661682582785215,0.0002328681330180979,0.0,3.9903491132623706e-5
0.023,2.7869391635694276e-5,7.408106313963161e-6,3.448929987939342e-6,0.0010050411424041754,0.00010360879382948401,-0.00012924261842256458,-3.506377075263177e-8,1.371706860647677e-7,1.5707963516286527,1.0383230323674787e-5,-6.555111687784022e-7,4.1883834929405185e-6,-0.0010102461834611471,-0.00014124116728783426,0.0,3.712983089377708e-5
0.024,3.182813209064486e-5,8.510193716428649e-6,3.4215718443556686e-6,0.0009777604634030935,0.00014752285024366904,-0.0010646933233677057,-4.301840177388187e-8,1.6700338719813623e-7,1.5707963550732318,1.1388259187694363e-5,-5.519294262538383e-7,1.8363498707336383e-6,-0.0013596660659561507,-0.00020476232553903794,0.0,3.4066671352987073e-5
0.025,3.5964170997424746e-5,9.660470458259893e-6,3.2802283400090326e-6,0.0009565773468245707,0.00016508921190344977,-0.002136851513277563,-5.210012776515547e-8,2.0088563339826918e-7,1.5707963584339335,1.2366025874362894e-5,-4.043682555607359e-7,-1.8742768790527707e-6,-0.001167346193128992,-9.402088582371562e-5,0.0,3.1008457686850156e-5
0.026,4.025658399515598e-5,1.0849024718043622e-5,3.024171722434995e-6,0.0010491296175140685,0.00017058963149912983,-0.0005040240477315399,-6.235206890170409e-8,2.38983621514458e-7,1.5707963615955307,1.3322600504202796e-5,-2.392222399274898e-7,-2.8223283873920245e-7,-0.0012489310607562637,2.4935858697693332e-5,0.0,2.824316170724321e-5
0.027,4.469465178519344e-5,1.2068148120527639e-5,2.661268593376124e-6,0.0011385218749295006,0.000106424717686567,-0.0015321215162263768,-7.380846184827884e-8,2.8144760919456567e-7,1.570796364446598,1.4371725802939331e-5,-6.877694512923544e-8,-3.089175160522375e-6,-0.0013679945685546233,-0.000252484046720671,0.0,2.607190856783272e-5
0.028,4.928107141722379e-5,1.3313561790347611e-5,2.2085434397026395e-6,0.001235440527783407,0.00010615125250067883,5.533605350484987e-5,-8.649731792485313e-8,3.2842305621400345e-7,1.5707963668883906,1.55102605777725e-5,3.785909583335596e-8,-1.1626488465997978e-6,-0.0010423415203624836,0.00022882728254048544,0.0,2.490488686180827e-5
0.029,5.403430743067623e-5,1.4585464208669514e-5,1.6920708172216554e-6,0.0012179409342617652,0.0001523917224712689,-0.0011273031083312978,-1.0044474812224506e-7,3.800665483974e-7,1.5707963688432456,1.6745712134823234e-5,1.4382458662978648e-7,-3.8006137032315453e-6,-0.0007839410158499644,-0.00011216069626925751,0.0,2.536736425428545e-5
0.03,5.8990326537656895e-5,1.5889506871386287e-5,1.1463028468673269e-6,0.0012300880548466817,0.00016334383263788956,-0.00022642113784098296,-1.1567947795493778e-7,4.3656097747578464e-7,1.5707963702636962,1.796364809654362e-5,2.9624925965304883e-7,-2.7300067623512894e-6,-0.0009264200447648119,-5.716367106380874e-5,0.0,2.818208078561333e-5
0.031,6.420292190843049e-5,1.7237439007572355e-5,6.124336537522391e-7,0.0012744432810030217,0.00018142917392426257,-0.001154877536345794,-1.3223893872781614e-7,4.9813437153898e-7,1.570796371140507,1.919372665786098e-5,4.5974539368062145e-7,-5.249019520584286e-6,-0.0012161899492639213,0.00032992952326837114,0.0,3.3765618113760865e-5
0.032,6.974227920332784e-5,1.8647221533070073e-5,1.3596969212711247e-7,0.0012730614236027926,0.00019886514100420023,-0.0005085749058618229,-1.5017526432576727e-7,5.650764100228644e-7,1.5707963715079503,2.0468167379286844e-5,6.409997740118387e-7,-4.827874181463512e-6,-0.0013030344538990314,-9.384821791676466e-5,0.0,4.200103449766287e-5
0.033,7.569235469628941e-5,2.0142808291946007e-5,-2.363220348523101e-7,0.00128032709273536,0.00023957870502660554,-0.0006817984272668354,-1.6956220650140356e-7,6.377566111737685e-7,1.5707963714474786,2.174124846093534e-5,8.400086415105334e-7,-5.772320507026054e-6,-0.0008383161755033727,0.00029822710264639673,0.0,5.2384106850011856e-5
0.034,8.2145109671914e-5,2.175283085383962e-5,-4.605751757193294e-7,0.0014475628715041498,0.00025353113461420003,-0.00046741403592635193,-1.90499274823888e-7,7.166296906174923e-7,1.5707963710850688,2.3021552258801768e-5,1.0795012049235365e-6,-5.996008420838462e-6,-0.0014774845779806992,-1.3555636621257177e-5,0.0,6.422115492137333e-5
0.035,8.919608500532394e-5,2.3509552340364514e-5,-4.989278874004621e-7,0.0015158608477360276,0.000497714937335408,0.005475208700198256,-2.1311680173502558e-7,8.022463666616997e-7,1.5707963705884413,0.017671771003691147,0.013816858782813413,1.57381910608093,-0.00148221915602605,-0.00020736509292363026,0.0,7.66990595721714e-5
