time,Vx_true,Vy_true,Vpsi_true,Vx_hat,Vy_hat,Vpsi_hat,Xo_true,Yo_true,psi_true,Xo_hat,Yo_hat,psi_hat,dx_hat,dy_hat,dpsi_hat,slip
0.0,0.0,0.0,0.0,5.079840531717886e-5,7.134891748700207e-5,-8.593479922760797e-5,0.0,0.0,0.0,-0.0007899070558903187,0.004034714617255351,0.0017916267310688235,1.7513783678207316e-5,3.3549772412736406e-5,0.0,0.0
0.001,4.809144408063149e-13,6.577829813989991e-14,7.37864135549783e-12,4.513363552900118e-6,9.773871971070446e-5,-0.0004993334062867539,2.1004120097972347e-16,2.8827511024775777e-17,3.2282806438116153e-15,-0.0007898563929772767,0.0040347860534144155,0.0017913842496127524,-0.00018857390608973098,-0.0001783603630966696,0.0,1.3830158622209376e-9
0.002,5.237071423041468e-12,1.0582027863643802e-12,9.535167498513001e-11,0.00011311581099870374,0.00018789867526838362,0.0007134205062144821,3.4066458393692495e-15,6.592203000231633e-16,6.072279539511144e-14,-0.0007898520537162905,0.004034883800874683,0.001791389416296402,8.642464414269178e-5,0.00010434003261393219,0.0,9.472743281352678e-9
0.003,2.1105308624138066e-11,4.980083026248245e-12,4.196119984436663e-10,0.00013920599130519518,0.00020168659407001914,0.003507403336236471,1.6897832272248222e-14,3.755721049641009e-15,3.246320353069497e-13,-0.0007897392767480029,0.0040350719005282235,0.0017940267843345543,-2.2964382596496862e-5,1.1727343623213764e-5,0.0,2.8982840182884717e-8
0.004,5.986133653365444e-11,1.5645540114729404e-11,1.2757223189286e-9,0.00018877540107429164,5.850185185275975e-5,-0.0003859598652818344,5.682600879911465e-14,1.3923294779595081e-14,1.1606156944024616e-12,-0.0007896004338424589,0.004035273836805614,0.0017956303595079758,-0.00011116298706400275,5.570922001530619e-5,0.0,6.494384706638556e-8
0.005,1.397953984835508e-10,3.933254613706106e-11,3.1630910556024298e-9,0.000192810139466694,0.00014748258660784292,0.00020346424275205879,1.544022163812049e-13,4.0753677344529734e-14,3.3281262762080405e-12,-0.0007894117360991587,0.004035332657384003,0.001795593055652842,0.00020804131654870848,-0.0002124431680216846,0.0,1.221814400865429e-7
0.006,2.8607124488859525e-10,8.500453613825269e-11,6.83098573419503e-9,0.000239187911385469,0.0001570685464540084,0.0003306927648939337,3.6271795377248797e-13,1.0145851561923135e-13,8.20962880047139e-12,0.01015583178484678,-0.0005329570930638194,-0.004971153540623746,-0.0002988616923939373,-0.0004285709337997427,0.0,2.0467362021660352e-7
0.007,5.297044893594782e-10,1.640368764620224e-10,1.3301726280361057e-8,0.0003006525752785625,0.00025548331998386973,-0.002811662046976002,7.630777405645101e-13,2.2346313974772933e-13,1.807290412731117e-11,0.010156071751142146,-0.0005328012151498252,-0.0049718726065536714,-0.00011659687070091884,-0.0003623695817506892,0.0,3.1506119580261767e-7
0.008,9.057179782854398e-10,2.8961882124457005e-10,2.3880756481219404e-8,0.0004288740807225143,0.0003074407990338972,0.00015201151668496268,1.469947241811938e-12,4.465360382799831e-13,3.634871834483924e-11,0.010156373660539269,-0.000532547228514304,-0.0049733757680422526,-0.0006975804355163402,-0.0002824030825929109,0.0,4.5468376107589746e-7
0.009,1.4505368093373505e-9,4.758545435035214e-10,4.014332545332713e-8,0.00041667202033229155,0.00030478441997554257,-0.0012054968163548129,2.6321673292117013e-12,8.235831907206166e-13,6.784908978668765e-11,0.010156804064127955,-0.0005322419286899788,-0.004974262315693058,-0.00039204815628520487,-0.0005593548274727429,0.0,6.237397659309971e-7
0.01,2.199047790677359e-9,7.368024329294399e-10,6.396880197387133e-8,0.0003505573083195015,0.0002751840352943781,-0.00017314330657121,4.438756521345718e-12,1.4233174944412324e-12,1.1928786126693522e-10,0.01015722224947288,-0.0005319392212240812,-0.004974798977427562,-0.0001435762902685604,-0.0006192850003264701,0.0,8.211509916916334e-7
0.011,3.181185797840731e-9,1.0851301713322466e-9,9.745872144859113e-8,0.0003525713576379938,0.00032623012803773005,-0.0016798351786450477,7.107369257106436e-12,2.3263338018155088e-12,1.9919475977376227e-10,0.010157574169436513,-0.0005316657839803132,-0.004976008650934324,-0.00028669726986175516,-0.0005728551493343052,0.0,1.0448419125004842e-6
0.012,4.418333447142591e-9,1.530842450031883e-9,1.4294494781971649e-7,0.00035021514596468106,0.0003496082656840277,9.447852170010613e-5,1.0883037783577484e-11,3.6252277086710607e-12,3.1837870050607033e-10,0.010157928362887368,-0.0005313413135640306,-0.0049763348712990665,-3.407846458724844e-5,-0.0006817415389759,0.0,1.2916835444484024e-6
0.013,5.919897060066187e-9,2.0799585260599433e-9,2.0294213224267504e-7,0.00038591092621084776,0.0003441292699552345,0.00020154614618406573,1.6026627886705838e-11,5.420768405417523e-12,4.900760350445531e-10,0.010158280294788538,-0.0005309934511550877,-0.004976162320114055,-0.000425970136989846,-0.0006497023316437302,0.0,1.5576479937159741e-6
0.014,7.680078189234582e-9,2.7332443015255362e-9,2.8009910433106664e-7,0.0004997679437482326,0.000434451796374879,0.0010332146777970615,2.2801107368963212e-11,7.817241098168035e-12,7.301103554698232e-10,0.010158667911755462,-0.0005306512459354772,-0.004975551224932862,-0.0008215353826505254,-0.0004275010757108957,0.0,1.8379988218415125e-6
0.015,9.67547327340594e-9,3.485208256960204e-9,3.7714840021160316e-7,0.0005718874120805985,0.00043582011637111463,-0.0001978050388697758,3.1455119304747284e-11,1.0916680314742282e-11,1.0570009882615896e-9,0.010159169844349098,-0.0005302192857414109,-0.00497527898228086,-0.00036518993318538463,-0.0004206050055559064,0.0,2.12748647543843e-6
0.016,1.1863647068256439e-8,4.32343232652926e-9,4.968562593700451e-7,0.000614644844508783,0.00042251712074284543,0.0013035456482949192,4.220602650651318e-11,1.4812764720394372e-11,1.4920146523345255e-9,-0.008523136711567514,0.0043920966149935655,-0.011471139386465984,-0.00043719741823595087,-0.00040373884811094443,0.0,2.4205530319780937e-6
0.017,1.418261287702288e-8,5.228188731279715e-9,6.419661789895163e-7,0.0007451683632032454,0.0004735424544916974,0.0003713016614571729,5.5219749102077094e-11,1.958338511435499e-11,2.0591723281162503e-9,-0.008522517286835226,0.004392512035459393,-0.01147011793243552,-0.0009314141312038167,-0.0008148865919428794,0.0,2.7115644113887176e-6
0.018,1.6550583202427007e-8,6.172092137840896e-9,8.151241197127602e-7,0.000767116382792698,0.0005694560753702454,0.00040044747597747695,7.058445591282318e-11,2.5280872299235806e-11,2.7852452500768246e-9,-0.008521766744664433,0.004392977013956707,-0.011469731504249766,-0.0012420125945608407,-0.00014581846837707956,0.0,2.9951216055147727e-6
0.019,1.8870687915712443e-8,7.121719032942795e-9,1.0188754972622127e-6,0.0008107069928174306,0.0006469945862751407,0.00233756429392019,8.830700468584828e-11,3.192995842024615e-11,3.6995397697586686e-9,-0.008520993143632125,0.004393537631703625,-0.01146820208493731,-0.0005687053363245607,-0.0008235288718605384,0.0,3.2660900525243925e-6
0.02,2.1031011066287232e-8,8.03724388322824e-9,1.2555484373201341e-6,0.0009010843212898389,0.000600181488931586,-0.0002017009327918563,1.0827471311503834e-10,3.951347412009537e-11,4.833907312214683e-9,-0.008520175069071774,0.0043941752876792105,-0.011467327192632208,-0.0004954270931260417,-0.0007413587588205519,0.0,3.5200864839232305e-6
0.021,2.2915665125265308e-8,8.87659668367867e-9,1.527340245903251e-6,0.0009759121129379285,0.0006490103121762098,0.0020833346263950466,1.302833612399538e-10,4.798107964837802e-11,6.222284055909068e-9,-0.008519267176333544,0.004394765099487126,-0.01146613198111802,-0.0013061706193474203,-0.0005689645642858757,0.0,3.7531588473594565e-6
