path,status,wall_time,rows,fd_max_residual,error
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,SKIPPED,0.000,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c002_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c002_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c002_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c003_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.001,0,,
C:\Users\vishv\OneDrive\Desktop\Vishvesh_Data\VNIT\mecanum_pinn_head\data\Simulation_Data_MecanumSlipSpin_LugreAdamov\coupled_vomega_c003_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,SKIPPED,0.000,0,,
