file,profile,combo_idx,mu,friction_case,friction_model,chi,error,util_viol_frac,util_budget_frac,msat_rail_frac,track_kind,track_err_V,track_err_w,track_err,track_viol_frac,track_flag
coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,1,0.3,1,lugre_adamov,0.0,,0.0,0.4555449664117524,0.0,vel,0.0099634883066004,0.002496871444417,0.0102715853813181,0.0,tracked
coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,1,0.3,1,lugre_adamov,0.002,,0.0,0.4425745566118872,0.0,vel,0.009213315396758,0.0029617472907192,0.0096776612677972,0.0,tracked
coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,1,0.3,1,lugre_adamov,0.005,,0.0,0.4322772599428186,0.0,vel,0.0091438682964552,0.0031115935458407,0.0096587960853016,0.0,tracked
coupled_vomega_c001_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,1,0.3,1,lugre_adamov,0.008,,0.0,0.4274889007693916,0.0,vel,0.0089741155829722,0.0031938560132748,0.0095255166122409,0.0,tracked
coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,1,0.5,1,lugre_adamov,0.0,,0.0,0.4277213453894609,0.0,vel,0.0070058824412758,0.0017566589725898,0.0072227584430713,0.0,tracked
coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,1,0.5,1,lugre_adamov,0.002,,0.0,0.42674507798517,0.0,vel,0.007594651009365,0.0017723618826405,0.007798717240488,0.0,tracked
coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,1,0.5,1,lugre_adamov,0.005,,0.0,0.4227702749819855,0.0,vel,0.0082083613396589,0.0019155545930863,0.0084289112749809,0.0,tracked
coupled_vomega_c001_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,1,0.5,1,lugre_adamov,0.008,,0.0,0.4177959601125032,0.0,vel,0.0085120521355241,0.0021429664090247,0.0087776612254113,0.0,tracked
coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,1,0.8,1,lugre_adamov,0.0,,0.0,0.4184003161246833,0.0,vel,0.010150853773344,0.0013989262106543,0.0102467959319325,0.0,tracked
coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,1,0.8,1,lugre_adamov,0.002,,0.0,0.4162850700820529,0.0,vel,0.0120009351942931,0.0014081988133862,0.0120832722983323,0.0,tracked
coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,1,0.8,1,lugre_adamov,0.005,,0.0,0.412124311382813,0.0,vel,0.0135356327519193,0.0015490048516963,0.0136239777607499,0.0,tracked
coupled_vomega_c001_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,1,0.8,1,lugre_adamov,0.008,,0.0,0.4074056855954069,0.0,vel,0.014543597647374,0.001606667207313,0.0146320747689368,0.0,tracked
coupled_vomega_c002_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,2,0.3,1,lugre_adamov,0.005,,0.0,0.5142604774412496,0.0,vel,0.0214661534880953,0.0039690605675921,0.0218300065818516,0.0,tracked
coupled_vomega_c002_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,2,0.5,1,lugre_adamov,0.005,,0.0,0.0723135213035494,0.0,vel,0.0123088344176385,0.003122173388087,0.012698636595561,0.0,tracked
coupled_vomega_c002_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,2,0.8,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0052617069360036,0.0020503447001815,0.0056470765241806,0.0,tracked
coupled_vomega_c003_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,3,0.3,1,lugre_adamov,0.005,,0.0,0.9612979707584668,0.0,vel,0.0297267451112791,0.002553229391466,0.029836192036458,0.0,tracked
coupled_vomega_c003_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,3,0.5,1,lugre_adamov,0.005,,0.0,0.0421189651565514,0.0,vel,0.0225988713645401,0.0026223773685808,0.0227505131813389,0.0,tracked
coupled_vomega_c003_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,3,0.8,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0123974371859185,0.0025186333451662,0.0126506902067111,0.0,tracked
coupled_vomega_c004_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,4,0.3,1,lugre_adamov,0.005,,0.0,0.4761395597498896,0.0,vel,0.0383724305439955,0.0471864523543875,0.0608194435328591,9.29778480277074e-05,tracked
coupled_vomega_c004_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,4,0.5,1,lugre_adamov,0.005,,0.0,0.4635410613421352,0.0,vel,0.0665450676991262,0.0355380337649913,0.0754400283600355,0.0,tracked
coupled_vomega_c004_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,4,0.8,1,lugre_adamov,0.005,,0.0,0.4647497733664954,0.0,vel,0.1010927854323746,0.0292122129893409,0.1052288204543354,0.0,tracked
coupled_vomega_c005_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,5,0.3,1,lugre_adamov,0.005,,0.0,0.4366472188001208,0.0,vel,0.0134429915332351,0.0030839278634642,0.0137921946197725,0.0,tracked
coupled_vomega_c005_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,5,0.5,1,lugre_adamov,0.005,,0.0,0.4296506357360359,0.0,vel,0.0167327116565826,0.0030133124316368,0.0170018731671834,0.0,tracked
coupled_vomega_c005_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,5,0.8,1,lugre_adamov,0.005,,0.0,0.430557169754306,0.0,vel,0.0303674212390184,0.0025411202394998,0.0304735551713216,0.0,tracked
coupled_vomega_c006_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,6,0.3,1,lugre_adamov,0.005,,0.0,0.5524046395946166,0.0,vel,0.018124189010638,0.0018108543991854,0.0182144289218296,0.0,tracked
coupled_vomega_c006_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,6,0.5,1,lugre_adamov,0.005,,0.0,2.324446200692685e-05,0.0,vel,0.0099991166945188,0.0019466249730595,0.0101868387371325,0.0,tracked
coupled_vomega_c006_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,6,0.8,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0032832007334253,0.0006100824427569,0.0033394022882732,0.0,tracked
coupled_vomega_c007_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,7,0.3,1,lugre_adamov,0.0,,0.0,0.5416192092234026,0.0,vel,0.1679870946897868,0.1002213173594698,0.1956118003485039,0.0952558053043862,marginal
coupled_vomega_c007_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,7,0.3,1,lugre_adamov,0.002,,0.0,0.5363194718858232,0.0,vel,0.1794409478350349,0.0963134688880631,0.2036549485015958,0.1074359033960159,missed
coupled_vomega_c007_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,7,0.3,1,lugre_adamov,0.005,,0.0,0.5279049766393157,0.0,vel,0.1893064700861038,0.0960093143542428,0.2122609904321393,0.1271704516398968,missed
coupled_vomega_c007_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,7,0.3,1,lugre_adamov,0.008,,0.0,0.5241626182562005,0.0,vel,0.1953400269039446,0.0964925256935751,0.2178727464038563,0.2769577648125334,missed
coupled_vomega_c007_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,7,0.5,1,lugre_adamov,0.0,,0.0,0.528788266195579,0.0,vel,0.2608601925066935,0.0696142355356002,0.2699892253847091,0.3681690337277143,missed
coupled_vomega_c007_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,7,0.5,1,lugre_adamov,0.002,,0.0,0.5304618674600776,0.0,vel,0.2777459596569506,0.0677197727507845,0.2858824683802389,0.3761186397340834,missed
coupled_vomega_c007_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,7,0.5,1,lugre_adamov,0.005,,0.0,0.5307640454661677,0.0,vel,0.289985856331847,0.0663935954259132,0.2974893382729783,0.3831384672601752,missed
coupled_vomega_c007_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,7,0.5,1,lugre_adamov,0.008,,0.0,0.5239301736361311,0.0,vel,0.2977533756769392,0.0657570381219676,0.3049279599997126,0.3878570930475814,missed
coupled_vomega_c007_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,7,0.8,1,lugre_adamov,0.0,,0.0,0.6357592803514562,0.2064805560075312,vel,0.4750842607805851,0.055344382908925,0.4782970369561208,0.414983380209665,missed
coupled_vomega_c007_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,7,0.8,1,lugre_adamov,0.002,,0.0,0.6333651007647428,0.2027614420864229,vel,0.4577911742340108,0.0594709752543937,0.4616379058355836,0.414983380209665,missed
coupled_vomega_c007_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,7,0.8,1,lugre_adamov,0.005,,0.0,0.633620789846819,0.2132214499895399,vel,0.4289456546234784,0.0597903941899803,0.4330926758301942,0.4137514237232979,missed
coupled_vomega_c007_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,7,0.8,1,lugre_adamov,0.008,,0.0,0.6138629971409312,0.2194044768833825,vel,0.4105261575827295,0.0593531923533616,0.4147945605985874,0.4130076009390763,missed
coupled_vomega_c008_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,8,0.3,1,lugre_adamov,0.005,,0.0,0.4706306222542479,0.0,vel,0.0386352479374487,0.0354278351952715,0.0524195945216238,0.0,tracked
coupled_vomega_c008_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,8,0.5,1,lugre_adamov,0.005,,0.0,0.4652611515306478,0.0,vel,0.0744420055743236,0.0036718039669135,0.0745325052463626,0.0,tracked
coupled_vomega_c008_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,8,0.8,1,lugre_adamov,0.005,,0.0,0.4628437274819274,0.0,vel,0.1998752472959176,0.0185586788623196,0.2007349970551197,0.2277492387438692,missed
